## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Ahmad_2012_07_20_Pasta.etg.data\Ahmad-0df6a034-1335-4230-b8bf-a3b7182520f8\Ahmad-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	42081
## Reversed:	none
## [Run]
## Subject:	Ahmad
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
142256127	SMP	1	471.22	465.02	1		Fixation
142288040	SMP	1	473.97	464.50	2		Fixation
142322905	SMP	1	476.16	463.57	2		Fixation
142355957	SMP	1	477.95	462.12	3		Saccade
142388784	SMP	1	484.66	463.86	4		Saccade
142421587	SMP	1	408.25	465.87	5		Saccade
142454827	SMP	1	218.26	425.59	5		Fixation
142488850	SMP	1	197.75	420.87	6		Fixation
142522999	SMP	1	203.53	419.15	7		Fixation
142556195	SMP	1	209.00	415.19	8		Fixation
142588956	SMP	1	212.59	412.20	9		Fixation
142622093	SMP	1	215.70	410.14	9		Fixation
142655145	SMP	1	216.07	408.10	10		Saccade
142688451	SMP	1	229.88	415.25	11		Saccade
142722160	SMP	1	450.84	483.48	12		Saccade
142754479	SMP	1	610.39	541.21	13		Fixation
142787286	SMP	1	609.82	542.11	14		Fixation
142822413	SMP	1	607.15	538.89	14		Fixation
142854723	SMP	1	605.98	539.12	15		Fixation
142887584	SMP	1	603.49	538.31	16		Fixation
142921648	SMP	1	601.12	537.38	17		Fixation
142954130	SMP	1	597.09	537.70	18		Fixation
142987449	SMP	1	596.08	536.57	18		Saccade
143020947	SMP	1	599.82	538.85	19		Saccade
143053687	SMP	1	652.98	545.00	20		Saccade
143087514	SMP	1	731.63	557.69	21		Fixation
143120602	SMP	1	729.78	558.72	22		Fixation
143153495	SMP	1	730.23	559.18	22		Fixation
143187730	SMP	1	730.43	559.14	23		Fixation
143220135	SMP	1	731.04	558.50	24		Fixation
143255355	SMP	1	730.52	558.48	25		Fixation
143287031	SMP	1	731.10	558.52	25		Fixation
143319636	SMP	1	732.17	560.25	26		Saccade
143353568	SMP	1	732.82	557.95	26		Saccade
143386690	SMP	1	611.24	568.69	27		Saccade
143420668	SMP	1	551.08	578.59	29		Fixation
143453375	SMP	1	551.94	574.59	29		Fixation
143487519	SMP	1	551.30	576.19	30		Fixation
143520729	SMP	1	551.23	575.14	31		Fixation
143554463	SMP	1	552.45	574.64	32		Fixation
143586435	SMP	1	550.22	573.85	33		Fixation
143620884	SMP	1	550.54	576.00	33		Fixation
143654201	SMP	1	549.96	576.14	34		Fixation
143685878	SMP	1	549.18	574.17	35		Fixation
143719667	SMP	1	550.12	575.47	36		Fixation
143752565	SMP	1	546.71	577.28	37		Saccade
143786451	SMP	1	538.42	572.36	38		Saccade
143818818	SMP	1	438.48	563.00	38		Fixation
143852527	SMP	1	440.52	560.11	39		Fixation
143885829	SMP	1	439.51	562.77	40		Fixation
143918580	SMP	1	439.95	559.88	41		Fixation
143954057	SMP	1	436.80	560.80	41		Fixation
143985700	SMP	1	439.06	557.84	42		Fixation
144020201	SMP	1	438.07	558.51	43		Fixation
144052079	SMP	1	441.62	557.30	44		Fixation
144085551	SMP	1	440.46	558.10	45		Fixation
144118556	SMP	1	439.19	559.62	45		Fixation
144152461	SMP	1	441.92	559.39	45		Fixation
144185052	SMP	1	443.29	559.13	46		Saccade
144219691	SMP	1	447.33	562.80	48		Saccade
144252693	SMP	1	652.07	547.94	49		Fixation
144285866	SMP	1	689.51	540.63	49		Fixation
144318299	SMP	1	727.42	538.25	50		Fixation
144352263	SMP	1	729.56	538.51	51		Fixation
144386091	SMP	1	727.56	536.54	52		Fixation
144417758	SMP	1	728.21	536.16	53		Fixation
144451593	SMP	1	728.89	536.50	53		Fixation
144485183	SMP	1	726.95	534.82	54		Fixation
144518332	SMP	1	728.15	535.81	55		Fixation
144552380	SMP	1	726.89	534.86	56		Fixation
144585058	SMP	1	726.89	536.30	57		Fixation
144617926	SMP	1	727.26	536.54	57		Fixation
144650553	SMP	1	726.77	536.57	58		Fixation
144684231	SMP	1	726.79	536.58	59		Fixation
144717172	SMP	1	726.44	537.04	59		Saccade
144750756	SMP	1	726.42	538.17	61		Saccade
144784159	SMP	1	658.69	565.32	61		Fixation
144817190	SMP	1	633.27	572.01	62		Fixation
144854217	SMP	1	632.32	572.45	63		Fixation
144884023	SMP	1	631.43	571.23	64		Fixation
144918368	SMP	1	632.55	571.37	65		Fixation
144950728	SMP	1	632.17	567.89	65		Fixation
144983275	SMP	1	631.14	569.75	65		Fixation
145016737	SMP	1	631.89	567.32	66		Fixation
145049946	SMP	1	630.23	568.39	67		Fixation
145083203	SMP	1	629.92	568.99	69		Fixation
145116431	SMP	1	628.64	567.64	69		Saccade
145149639	SMP	1	626.60	569.01	70		Saccade
145182977	SMP	1	710.50	601.24	71		Fixation
145216241	SMP	1	716.89	585.65	72		Fixation
145250167	SMP	1	714.20	592.58	73		Fixation
145283141	SMP	1	714.07	588.34	73		Fixation
145316111	SMP	1	712.93	585.75	74		Fixation
145350433	SMP	1	711.86	587.74	75		Fixation
145386663	SMP	1	713.83	586.55	76		Fixation
145418584	SMP	1	712.58	586.16	77		Fixation
145453151	SMP	1	712.61	588.89	77		Fixation
145483790	SMP	1	710.51	589.12	78		Fixation
145515857	SMP	1	710.59	587.61	79		Fixation
145549697	SMP	1	711.67	590.29	80		Fixation
145583814	SMP	1	712.26	588.87	80		Fixation
145615476	SMP	1	711.38	590.34	81		Fixation
145654545	SMP	1	710.85	588.19	83		Fixation
145684491	SMP	1	710.70	590.35	83		Fixation
145727399	SMP	1	711.02	588.28	84		Fixation
145749308	SMP	1	711.67	592.43	84		Fixation
145783424	SMP	1	711.66	592.27	85		Fixation
145815820	SMP	1	711.96	589.20	86		Saccade
145850454	SMP	1	684.36	603.91	87		Saccade
145883565	SMP	1	641.91	618.70	88		Fixation
145915751	SMP	1	641.28	615.90	88		Fixation
145949152	SMP	1	640.89	619.40	89		Fixation
145982782	SMP	1	641.59	615.53	90		Fixation
146015744	SMP	1	641.37	619.93	91		Fixation
146049408	SMP	1	641.96	617.54	92		Fixation
146081940	SMP	1	640.55	620.70	92		Fixation
146114862	SMP	1	641.14	621.14	93		Fixation
146149461	SMP	1	642.54	620.89	94		Fixation
146181481	SMP	1	641.42	621.73	95		Fixation
146215149	SMP	1	643.00	621.52	96		Fixation
146248670	SMP	1	643.45	622.81	96		Fixation
146281692	SMP	1	647.46	622.80	97		Fixation
146315044	SMP	1	647.30	623.89	98		Fixation
146348435	SMP	1	650.65	625.35	99		Fixation
146383114	SMP	1	652.03	624.57	100		Fixation
146414302	SMP	1	655.82	624.04	101		Fixation
146447494	SMP	1	657.45	621.40	101		Fixation
146481865	SMP	1	658.94	620.29	102		Fixation
146514523	SMP	1	659.92	617.72	103		Fixation
146548150	SMP	1	660.80	616.67	104		Fixation
146580629	SMP	1	660.06	616.52	104		Fixation
146614833	SMP	1	660.95	617.22	105		Fixation
146648347	SMP	1	661.14	615.16	105		Fixation
146680383	SMP	1	661.16	617.85	106		Fixation
146714731	SMP	1	660.85	616.83	108		Fixation
146748058	SMP	1	660.17	616.36	108		Fixation
146780760	SMP	1	659.11	620.98	109		Saccade
146814725	SMP	1	656.33	606.72	110		Saccade
146847109	SMP	1	615.99	410.50	111		Saccade
146881339	SMP	1	606.72	341.43	112		Fixation
146915108	SMP	1	601.82	344.12	112		Fixation
146947902	SMP	1	598.30	348.54	113		Fixation
146980930	SMP	1	593.46	349.61	114		Fixation
147013552	SMP	1	590.74	347.63	115		Fixation
147047027	SMP	1	586.34	349.00	116		Fixation
147080057	SMP	1	578.95	350.59	117		Fixation
147112955	SMP	1	572.67	350.48	117		Fixation
147147284	SMP	1	565.23	349.15	118		Fixation
147180300	SMP	1	557.68	312.81	119		Fixation
147213445	SMP	1	555.33	312.75	120		Fixation
147246654	SMP	1	549.59	309.30	120		Fixation
147281991	SMP	1	544.20	303.61	121		Fixation
147313413	SMP	1	542.41	298.39	122		Fixation
147348204	SMP	1	542.86	294.32	123		Fixation
147381535	SMP	1	542.01	290.02	124		Fixation
147412632	SMP	1	541.54	284.78	124		Fixation
147445810	SMP	1	538.51	282.07	125		Fixation
147480432	SMP	1	532.64	278.13	125		Fixation
147512214	SMP	1	526.03	276.48	126		Fixation
147546412	SMP	1	518.99	277.54	128		Fixation
147579968	SMP	1	512.73	284.54	128		Fixation
147612704	SMP	1	505.76	290.12	129		Fixation
