## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Ahmad_2012_07_17_Turkey.etg.data\Ahmad-3db70ceb-5db8-40cf-a4ba-e3fb49219131\Ahmad-2-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	14898
## Reversed:	none
## [Run]
## Subject:	Ahmad
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
1611931665	SMP	1	439.68	382.94	1		Saccade
1611965487	SMP	1	463.77	399.74	1		Saccade
1611999513	SMP	1	483.57	412.86	2		Saccade
1612032170	SMP	1	490.72	423.50	3		Saccade
1612065589	SMP	1	451.22	484.68	4		Saccade
1612099027	SMP	1	395.67	555.17	4		Saccade
1612131357	SMP	1	367.92	611.76	5		Fixation
1612166110	SMP	1	384.26	620.39	6		Fixation
1612199492	SMP	1	396.69	623.61	7		Fixation
1612231637	SMP	1	408.58	627.40	7		Fixation
1612264885	SMP	1	412.59	640.85	8		Fixation
1612298179	SMP	1	392.11	666.28	9		Fixation
1612331930	SMP	1	400.82	669.90	10		Fixation
1612364915	SMP	1	405.59	678.95	11		Fixation
1612398662	SMP	1	412.23	673.73	11		Saccade
1612431742	SMP	1	416.91	673.68	12		Saccade
1612463939	SMP	1	470.28	612.77	13		Saccade
1612498078	SMP	1	562.00	515.35	14		Saccade
1612531141	SMP	1	677.09	406.25	15		Fixation
1612565327	SMP	1	671.32	419.56	16		Fixation
1612598712	SMP	1	667.78	435.67	17		Fixation
1612630856	SMP	1	663.61	450.85	17		Fixation
1612665337	SMP	1	662.97	469.02	18		Fixation
1612697005	SMP	1	678.77	465.07	19		Fixation
1612730792	SMP	1	696.87	450.72	20		Fixation
1612764072	SMP	1	691.44	471.43	21		Fixation
1612797573	SMP	1	686.28	486.40	21		Fixation
1612830181	SMP	1	682.05	496.08	22		Fixation
1612864164	SMP	1	675.27	500.05	23		Saccade
1612898706	SMP	1	667.22	500.31	24		Saccade
1612930503	SMP	1	647.09	334.11	24		Saccade
1612962957	SMP	1	646.76	259.77	25		Fixation
1612998060	SMP	1	641.66	267.52	26		Fixation
1613029970	SMP	1	638.75	269.61	27		Fixation
1613065379	SMP	1	635.20	269.93	27		Saccade
1613097013	SMP	1	639.69	268.95	28		Saccade
1613129826	SMP	1	708.07	251.25	29		Saccade
1613163554	SMP	1	787.73	226.50	30		Fixation
1613196598	SMP	1	777.11	230.15	31		Fixation
1613230221	SMP	1	766.85	235.38	32		Fixation
1613263044	SMP	1	759.16	243.83	32		Fixation
1613296365	SMP	1	755.09	248.26	33		Fixation
1613330552	SMP	1	753.10	258.32	34		Saccade
1613362860	SMP	1	754.77	260.69	35		Saccade
1613397349	SMP	1	588.27	286.82	36		Fixation
1613430791	SMP	1	558.64	290.46	37		Fixation
1613463322	SMP	1	568.67	288.51	37		Fixation
1613496361	SMP	1	578.74	288.39	38		Fixation
1613529086	SMP	1	587.77	289.50	39		Fixation
1613562113	SMP	1	594.29	290.50	39		Saccade
1613597010	SMP	1	601.88	289.94	40		Saccade
1613629301	SMP	1	718.07	315.09	41		Saccade
1613662885	SMP	1	823.97	336.81	42		Saccade
1613695111	SMP	1	1095.04	377.95	43		Fixation
1613729164	SMP	1	1085.28	375.47	44		Fixation
1613762356	SMP	1	1073.50	373.54	44		Fixation
1613796964	SMP	1	1064.38	368.98	45		Fixation
1613829663	SMP	1	1055.69	366.96	46		Fixation
1613864090	SMP	1	1049.51	363.86	47		Fixation
1613896077	SMP	1	1041.83	360.58	47		Fixation
1613928823	SMP	1	1039.88	360.93	48		Fixation
1613962038	SMP	1	1038.98	359.67	49		Saccade
1613995230	SMP	1	1036.59	360.72	50		Saccade
1614028303	SMP	1	922.16	413.27	50		Saccade
1614061922	SMP	1	793.24	484.11	51		Fixation
1614095344	SMP	1	794.93	481.50	52		Fixation
1614128525	SMP	1	794.11	477.88	53		Fixation
1614161415	SMP	1	795.26	474.98	54		Fixation
1614194444	SMP	1	798.54	474.81	55		Fixation
1614227793	SMP	1	798.05	471.97	56		Saccade
1614261971	SMP	1	799.39	470.25	56		Saccade
1614294883	SMP	1	860.14	493.74	57		Fixation
1614328803	SMP	1	868.39	493.95	58		Fixation
1614362297	SMP	1	871.13	490.85	59		Fixation
1614395140	SMP	1	874.76	490.94	60		Fixation
1614428724	SMP	1	875.68	494.15	60		Fixation
1614462805	SMP	1	875.93	494.37	61		Fixation
1614494347	SMP	1	874.73	496.48	62		Fixation
1614527584	SMP	1	872.50	496.83	63		Fixation
1614560383	SMP	1	872.21	495.45	64		Fixation
1614594303	SMP	1	871.85	495.85	64		Saccade
