## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Ahmad_2012_07_13_Snack.etg.data\Ahmad-a0819b6c-f5be-4e7d-a56d-7d5f1072b0b1\Ahmad-2-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	14725
## Reversed:	none
## [Run]
## Subject:	Ahmad
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
2686472168	SMP	1	432.07	382.17	0		Saccade
2686506049	SMP	1	433.44	381.52	1		Saccade
2686542129	SMP	1	435.36	381.30	2		Saccade
2686571802	SMP	1	367.65	458.42	3		Saccade
2686605237	SMP	1	285.31	521.62	3		Fixation
2686638665	SMP	1	303.82	509.78	4		Fixation
2686671402	SMP	1	307.46	507.60	5		Fixation
2686704257	SMP	1	309.81	504.27	6		Fixation
2686738515	SMP	1	311.34	502.37	6		Fixation
2686771085	SMP	1	314.12	502.21	7		Fixation
2686803625	SMP	1	316.54	500.21	7		Fixation
2686836632	SMP	1	319.53	497.41	9		Fixation
2686872292	SMP	1	325.77	542.49	10		Fixation
2686904669	SMP	1	326.32	538.96	10		Fixation
2686937454	SMP	1	329.63	537.06	11		Fixation
2686971460	SMP	1	332.37	534.10	12		Fixation
2687004319	SMP	1	338.17	531.09	13		Saccade
2687036709	SMP	1	341.16	529.14	14		Fixation
2687071153	SMP	1	348.94	521.29	14		Fixation
2687104199	SMP	1	355.67	515.14	15		Fixation
2687136975	SMP	1	363.24	511.56	16		Saccade
2687171378	SMP	1	506.18	523.63	17		Saccade
2687203796	SMP	1	568.87	517.07	18		Fixation
2687237016	SMP	1	638.66	520.14	18		Fixation
2687270637	SMP	1	642.81	521.68	19		Fixation
2687304198	SMP	1	647.47	521.32	20		Fixation
2687336378	SMP	1	648.99	520.36	21		Fixation
2687370420	SMP	1	650.96	520.08	22		Fixation
2687403807	SMP	1	650.78	517.97	23		Fixation
2687436814	SMP	1	651.21	518.83	23		Fixation
2687469454	SMP	1	649.52	515.22	24		Fixation
2687502892	SMP	1	648.00	514.50	25		Fixation
2687535973	SMP	1	631.25	523.42	26		Saccade
2687570158	SMP	1	564.91	555.97	26		Fixation
2687603226	SMP	1	506.42	578.18	27		Fixation
2687636841	SMP	1	503.75	575.41	27		Fixation
2687668852	SMP	1	501.70	574.74	28		Fixation
2687702914	SMP	1	498.08	573.06	30		Fixation
2687738612	SMP	1	494.36	572.61	30		Fixation
2687769119	SMP	1	490.65	569.98	31		Fixation
2687802188	SMP	1	488.22	568.39	32		Fixation
2687839092	SMP	1	557.11	573.46	33		Saccade
2687868841	SMP	1	607.82	567.55	34		Fixation
2687902061	SMP	1	652.92	572.07	34		Fixation
2687936539	SMP	1	649.79	573.13	35		Fixation
2687968693	SMP	1	643.92	574.35	36		Fixation
2688001909	SMP	1	639.22	574.69	37		Saccade
2688037217	SMP	1	704.00	556.07	38		Saccade
2688069287	SMP	1	817.52	504.29	38		Saccade
2688102582	SMP	1	1165.39	411.29	39		Fixation
2688135865	SMP	1	1218.17	384.10	40		Fixation
2688169211	SMP	1	1192.05	381.83	41		Fixation
2688202859	SMP	1	1169.16	375.58	42		Fixation
2688234237	SMP	1	1159.16	373.01	42		Saccade
2688268501	SMP	1	1353.19	595.82	43		Saccade
2688302572	SMP	1	1347.45	594.02	44		Saccade
2688334662	SMP	1	1549.28	839.89	45		Saccade
2688368169	SMP	1	1547.01	837.40	45		-
2688402156	SMP	1	287.27	654.81	46		Saccade
2688435271	SMP	1	209.77	514.75	47		Fixation
2688467657	SMP	1	232.53	505.44	47		Fixation
2688500585	SMP	1	251.95	498.66	48		Fixation
2688535221	SMP	1	268.83	491.17	50		Saccade
2688569155	SMP	1	288.96	482.26	50		Fixation
2688601962	SMP	1	310.30	473.24	51		Fixation
2688635133	SMP	1	331.32	466.39	52		Fixation
2688669983	SMP	1	352.27	454.59	53		Fixation
2688700016	SMP	1	356.17	452.86	54		Saccade
2688734456	SMP	1	235.80	503.42	54		Saccade
2688767460	SMP	1	167.27	524.58	55		Saccade
2688800751	SMP	1	42.91	575.12	56		Fixation
2688833950	SMP	1	61.15	569.60	57		Fixation
2688868036	SMP	1	76.42	566.51	58		Fixation
2688900712	SMP	1	92.55	561.46	58		Fixation
2688934060	SMP	1	103.78	559.99	59		Fixation
2688967086	SMP	1	110.79	556.32	60		Saccade
2689000654	SMP	1	121.44	552.64	61		Fixation
2689034823	SMP	1	129.12	547.84	62		Fixation
2689066938	SMP	1	140.39	546.17	62		Fixation
2689099836	SMP	1	147.16	542.74	63		Fixation
2689133065	SMP	1	150.63	549.29	64		Saccade
2689167559	SMP	1	80.80	674.75	65		Fixation
2689199829	SMP	1	84.82	675.06	65		Fixation
2689233848	SMP	1	84.13	675.29	66		Fixation
2689267039	SMP	1	93.81	673.67	67		Fixation
2689300365	SMP	1	100.92	667.70	67		Fixation
2689332343	SMP	1	109.23	661.22	68		Fixation
2689366832	SMP	1	118.56	651.40	70		Fixation
2689401546	SMP	1	130.53	637.73	70		Saccade
2689433329	SMP	1	148.39	623.86	71		Fixation
2689466049	SMP	1	166.62	608.02	72		Fixation
2689500386	SMP	1	178.79	596.13	73		Fixation
2689532987	SMP	1	185.29	584.09	74		Fixation
2689566778	SMP	1	186.08	572.93	74		Saccade
2689599183	SMP	1	212.42	567.17	75		Saccade
2689632469	SMP	1	497.06	485.08	76		Fixation
2689666392	SMP	1	518.20	477.37	77		Fixation
2689699525	SMP	1	509.76	473.73	77		Fixation
2689731602	SMP	1	499.41	470.73	78		Fixation
2689766260	SMP	1	486.39	470.37	79		Fixation
2689798358	SMP	1	474.89	469.02	80		Fixation
2689833355	SMP	1	462.35	472.16	81		Fixation
2689865350	SMP	1	448.49	473.04	82		Saccade
2689898065	SMP	1	431.24	470.07	82		Saccade
2689931723	SMP	1	469.56	455.83	83		Saccade
2689965058	SMP	1	576.40	417.71	84		Saccade
2689999197	SMP	1	706.26	369.57	85		Fixation
2690031048	SMP	1	695.30	368.12	85		Fixation
2690064684	SMP	1	685.02	371.62	86		Fixation
2690098269	SMP	1	675.76	375.24	87		Fixation
2690131020	SMP	1	664.21	377.38	87		Fixation
2690164308	SMP	1	654.44	381.24	88		Fixation
2690198410	SMP	1	647.65	382.46	89		Fixation
2690233036	SMP	1	644.78	383.55	90		Fixation
2690264981	SMP	1	641.43	386.26	91		Fixation
2690301485	SMP	1	638.18	386.52	92		Fixation
2690332414	SMP	1	632.40	389.83	93		Saccade
2690364892	SMP	1	625.89	391.81	93		Fixation
2690397803	SMP	1	617.97	398.85	94		Fixation
2690430759	SMP	1	612.29	403.01	95		Fixation
2690464776	SMP	1	606.54	412.03	96		Fixation
2690497185	SMP	1	596.97	423.33	97		Fixation
2690531935	SMP	1	622.54	419.55	97		Saccade
2690564055	SMP	1	687.39	396.94	98		Fixation
2690596803	SMP	1	755.67	379.23	99		Fixation
2690631589	SMP	1	744.17	380.33	100		Fixation
2690664374	SMP	1	738.58	384.59	100		Fixation
2690696768	SMP	1	732.08	391.74	102		Fixation
2690730049	SMP	1	728.04	400.41	102		Fixation
2690763123	SMP	1	725.54	408.21	103		Saccade
2690796684	SMP	1	792.22	383.03	104		Saccade
2690829790	SMP	1	848.78	360.77	105		Saccade
2690864228	SMP	1	980.04	315.76	105		Fixation
2690896439	SMP	1	973.80	327.64	106		Fixation
2690929679	SMP	1	963.34	340.30	107		Fixation
2690962777	SMP	1	952.06	352.27	107		Fixation
2690996041	SMP	1	940.42	360.06	108		Saccade
2691030620	SMP	1	930.25	367.14	109		Saccade
2691064320	SMP	1	919.44	372.64	110		Saccade
2691096485	SMP	1	865.79	342.88	111		Fixation
2691129130	SMP	1	852.33	355.32	111		Fixation
2691162463	SMP	1	839.99	364.71	113		Fixation
2691196399	SMP	1	829.86	374.78	113		Fixation
2691229026	SMP	1	821.36	381.64	114		Fixation
2691262952	SMP	1	817.05	386.02	115		Fixation
2691308771	SMP	1	812.53	389.57	118		Saccade
2691431293	SMP	1	749.05	388.44	120		Fixation
2691462577	SMP	1	747.17	394.58	121		Fixation
2691497986	SMP	1	742.85	395.19	122		Fixation
2691537092	SMP	1	738.83	393.84	122		Fixation
2691596162	SMP	1	722.52	396.49	123		Fixation
2691628947	SMP	1	711.72	403.31	124		Fixation
2691662199	SMP	1	702.43	409.61	125		Fixation
2691704268	SMP	1	697.74	413.81	126		Saccade
2691762611	SMP	1	743.81	345.94	127		Saccade
2691797858	SMP	1	782.90	284.16	128		Fixation
2691834535	SMP	1	819.83	228.47	129		Fixation
2691861224	SMP	1	814.20	235.45	129		Fixation
2691895496	SMP	1	809.40	239.31	130		Fixation
2691928242	SMP	1	807.19	242.51	131		Fixation
2691965250	SMP	1	807.23	246.32	132		Fixation
2691995796	SMP	1	809.18	250.95	133		Fixation
2692028248	SMP	1	812.60	254.77	133		Fixation
2692061380	SMP	1	817.65	256.38	134		Fixation
2692094842	SMP	1	825.73	259.02	135		Saccade
2692128955	SMP	1	691.43	341.45	136		Saccade
2692160868	SMP	1	569.45	404.73	136		Fixation
2692193955	SMP	1	576.33	403.66	137		Fixation
2692228747	SMP	1	579.22	401.85	138		Fixation
2692261295	SMP	1	581.82	401.84	139		Fixation
2692294246	SMP	1	584.60	399.80	140		Fixation
2692329523	SMP	1	587.92	400.15	141		Fixation
2692361969	SMP	1	590.62	398.36	141		Fixation
2692394423	SMP	1	593.70	395.22	142		Saccade
2692428448	SMP	1	636.31	429.93	143		Fixation
2692460676	SMP	1	645.89	432.69	144		Fixation
2692493448	SMP	1	647.80	428.53	145		Fixation
2692527421	SMP	1	651.26	428.05	145		Fixation
2692561136	SMP	1	653.96	425.03	146		Fixation
2692593979	SMP	1	655.46	426.02	147		Fixation
2692627381	SMP	1	657.72	424.95	147		Fixation
2692660483	SMP	1	660.26	425.71	148		Fixation
2692693638	SMP	1	662.86	424.66	149		Fixation
2692728318	SMP	1	664.22	422.67	150		Fixation
2692760830	SMP	1	664.56	419.67	151		Fixation
2692793783	SMP	1	665.46	419.05	152		Fixation
2692827446	SMP	1	665.36	417.90	152		Fixation
2692860248	SMP	1	666.76	417.49	153		Fixation
2692892948	SMP	1	668.97	416.57	154		Fixation
2692927126	SMP	1	670.12	415.07	155		Fixation
2692960251	SMP	1	672.30	415.48	156		Fixation
2692992528	SMP	1	672.66	413.99	156		Fixation
2693027338	SMP	1	672.13	412.53	157		Fixation
2693059200	SMP	1	672.50	412.97	158		Fixation
2693093572	SMP	1	674.53	412.35	159		Fixation
2693126850	SMP	1	674.88	410.92	160		Fixation
2693160592	SMP	1	668.93	421.27	161		Fixation
2693193330	SMP	1	633.86	464.40	161		Fixation
2693226160	SMP	1	635.28	463.22	162		Fixation
2693259437	SMP	1	636.00	459.34	163		Fixation
2693292019	SMP	1	636.98	458.30	164		Fixation
2693327035	SMP	1	639.60	456.47	164		Fixation
2693360384	SMP	1	642.28	454.54	165		Fixation
2693392626	SMP	1	645.71	453.25	166		Fixation
2693426189	SMP	1	649.18	452.36	167		Fixation
2693459065	SMP	1	651.54	451.01	167		Saccade
2693491784	SMP	1	555.12	487.92	168		Saccade
2693526813	SMP	1	497.45	503.23	169		Fixation
2693558861	SMP	1	458.09	510.56	170		Fixation
2693592615	SMP	1	459.99	507.91	171		Fixation
2693626555	SMP	1	460.65	509.16	172		Fixation
2693659386	SMP	1	461.31	507.84	172		Fixation
2693692401	SMP	1	462.60	508.62	173		Fixation
2693725946	SMP	1	464.52	508.11	174		Fixation
2693759670	SMP	1	465.24	507.56	175		Fixation
2693792513	SMP	1	467.55	506.76	176		Fixation
2693825090	SMP	1	473.69	507.89	176		Saccade
2693859397	SMP	1	566.51	505.83	177		Saccade
2693892727	SMP	1	609.87	496.29	178		Saccade
2693925575	SMP	1	748.88	498.26	179		Fixation
2693958183	SMP	1	750.39	498.45	180		Fixation
2693992229	SMP	1	749.28	497.49	180		Fixation
2694024181	SMP	1	749.59	497.23	181		Fixation
2694058278	SMP	1	748.10	494.78	182		Fixation
2694091733	SMP	1	746.51	498.99	183		Fixation
2694123910	SMP	1	746.62	499.83	184		Fixation
2694158187	SMP	1	744.84	496.39	184		Fixation
2694191602	SMP	1	742.96	499.13	185		Fixation
2694224482	SMP	1	742.48	499.59	186		Fixation
2694257619	SMP	1	743.25	502.84	187		Saccade
2694292180	SMP	1	693.41	552.39	187		Saccade
2694323707	SMP	1	627.51	633.02	188		Fixation
2694358847	SMP	1	628.00	631.21	189		Fixation
2694390618	SMP	1	625.03	631.98	190		Fixation
2694425628	SMP	1	622.66	630.05	191		Fixation
2694457635	SMP	1	621.97	631.45	192		Fixation
2694491184	SMP	1	621.31	629.76	193		Fixation
2694524731	SMP	1	622.54	630.92	193		Fixation
2694557083	SMP	1	622.59	628.66	194		Fixation
2694590631	SMP	1	604.51	650.93	195		Saccade
2694623763	SMP	1	577.31	683.09	196		Fixation
2694658166	SMP	1	586.57	693.02	196		Fixation
2694691629	SMP	1	578.98	684.29	198		Fixation
2694726390	SMP	1	581.75	690.41	198		Fixation
2694757940	SMP	1	584.57	677.33	199		Fixation
2694789951	SMP	1	585.85	675.04	199		Fixation
2694823149	SMP	1	586.72	684.68	201		Fixation
2694857148	SMP	1	587.74	675.39	201		Fixation
2694890042	SMP	1	590.46	675.05	202		Fixation
2694923089	SMP	1	588.97	668.76	203		Fixation
2694957770	SMP	1	591.38	672.26	204		Fixation
2694989106	SMP	1	592.61	670.89	204		Fixation
2695022775	SMP	1	592.01	670.19	205		Fixation
2695056108	SMP	1	597.39	671.07	206		Fixation
2695089571	SMP	1	598.92	662.71	207		Fixation
2695123176	SMP	1	609.99	673.38	207		Fixation
2695155655	SMP	1	604.71	651.03	208		Saccade
2695190736	SMP	1	541.16	682.79	209		Fixation
2695222495	SMP	1	499.63	679.51	210		Fixation
2695257016	SMP	1	503.94	680.12	211		Fixation
2695289068	SMP	1	510.79	681.84	212		Fixation
2695322581	SMP	1	517.12	683.21	213		Fixation
2695355207	SMP	1	523.95	678.91	213		Fixation
2695389053	SMP	1	534.66	672.68	214		Fixation
2695423267	SMP	1	546.65	663.54	215		Fixation
2695455200	SMP	1	563.07	651.64	216		Saccade
2695488704	SMP	1	574.87	647.63	216		Saccade
2695522763	SMP	1	504.52	649.32	217		Saccade
2695555990	SMP	1	324.37	655.01	218		Saccade
2695590415	SMP	1	358.21	639.33	219		Fixation
2695624128	SMP	1	382.42	636.44	220		Fixation
2695655897	SMP	1	404.77	633.12	220		Fixation
2695688408	SMP	1	425.89	620.86	221		Saccade
2695722243	SMP	1	449.82	602.52	222		Fixation
2695755985	SMP	1	475.12	588.60	223		Fixation
2695787703	SMP	1	501.24	582.65	224		Fixation
2695822209	SMP	1	523.05	583.28	224		Saccade
2695855005	SMP	1	546.85	582.95	225		Saccade
2695887661	SMP	1	450.52	545.61	226		Fixation
2695921450	SMP	1	456.17	531.59	227		Fixation
2695956590	SMP	1	476.79	519.85	227		Fixation
2695987442	SMP	1	493.24	511.16	228		Saccade
2696021153	SMP	1	518.96	505.74	229		Saccade
2696054843	SMP	1	596.51	479.24	230		Saccade
2696089650	SMP	1	657.76	448.65	231		Saccade
2696122487	SMP	1	742.56	432.75	232		Fixation
