## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Ahmad_2012_07_17_Burger.etg.data\Ahmad-aa3f4eda-f84b-4419-aa5e-9560ebc1dc7b\Ahmad-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	19951
## Reversed:	none
## [Run]
## Subject:	Ahmad
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
426037401	SMP	1	194.96	721.03	0		Fixation
426071440	SMP	1	219.74	725.33	1		Fixation
426103890	SMP	1	243.94	724.21	1		Fixation
426136942	SMP	1	261.83	726.64	2		Fixation
426203804	SMP	1	291.65	728.51	4		Fixation
426236390	SMP	1	305.92	728.87	5		Fixation
426270418	SMP	1	321.89	726.14	5		Fixation
426303734	SMP	1	331.25	728.85	6		Fixation
426336409	SMP	1	338.76	731.52	7		Fixation
426369897	SMP	1	344.34	734.95	8		Fixation
426405127	SMP	1	345.55	739.27	9		Fixation
426437378	SMP	1	348.65	739.62	10		Fixation
426470451	SMP	1	348.25	738.42	10		Fixation
426502918	SMP	1	347.82	738.42	11		Fixation
426537192	SMP	1	348.74	735.95	12		Fixation
426569827	SMP	1	346.50	733.54	13		Fixation
426602402	SMP	1	343.97	735.94	13		Fixation
426636487	SMP	1	342.14	732.51	14		Fixation
426669368	SMP	1	344.95	732.38	15		Fixation
426703671	SMP	1	344.56	731.57	16		Fixation
426736836	SMP	1	342.35	735.46	16		Fixation
426768997	SMP	1	341.47	734.38	17		Fixation
426802331	SMP	1	338.52	736.79	18		Fixation
426837290	SMP	1	339.99	733.60	19		Fixation
426871268	SMP	1	340.33	733.27	19		Fixation
426902962	SMP	1	339.87	733.08	20		Fixation
426936728	SMP	1	334.94	732.17	21		Fixation
426970397	SMP	1	338.33	727.61	22		Fixation
427001916	SMP	1	339.86	721.57	23		Fixation
427036715	SMP	1	343.55	716.34	24		Fixation
427069682	SMP	1	342.81	714.26	25		Fixation
427101923	SMP	1	345.15	709.42	25		Fixation
427135078	SMP	1	346.91	706.25	26		Fixation
427168303	SMP	1	350.63	697.04	27		Fixation
427202360	SMP	1	352.27	692.17	28		Fixation
427235122	SMP	1	355.92	694.49	29		Fixation
427269001	SMP	1	354.30	697.42	29		Fixation
427302335	SMP	1	352.86	704.75	30		Fixation
427335399	SMP	1	356.92	703.27	31		Fixation
427368615	SMP	1	356.23	703.28	32		Fixation
427401748	SMP	1	358.81	701.76	33		Saccade
427435113	SMP	1	364.79	707.51	33		Saccade
427467994	SMP	1	413.05	777.94	34		Fixation
427501220	SMP	1	418.72	754.93	35		Fixation
427534651	SMP	1	420.68	750.22	36		Fixation
427567443	SMP	1	420.90	750.07	36		Fixation
427601348	SMP	1	421.96	745.48	37		Fixation
427634892	SMP	1	419.60	743.21	38		Fixation
427668630	SMP	1	418.64	746.73	39		Fixation
427701053	SMP	1	413.55	752.72	39		Fixation
427734498	SMP	1	412.30	753.06	40		Fixation
427768084	SMP	1	413.22	752.25	41		Fixation
427800969	SMP	1	408.98	755.56	42		Saccade
427835481	SMP	1	421.65	750.83	43		Saccade
427868297	SMP	1	485.43	694.05	44		Fixation
427901020	SMP	1	483.15	705.95	44		Fixation
427934473	SMP	1	479.23	705.69	45		Fixation
427967911	SMP	1	480.26	701.72	46		Fixation
428001092	SMP	1	474.63	701.32	47		Fixation
428034728	SMP	1	474.33	699.41	48		Fixation
428066224	SMP	1	465.31	707.59	48		Saccade
428100393	SMP	1	467.85	698.78	49		Saccade
428133563	SMP	1	451.32	759.29	50		Fixation
428166361	SMP	1	439.82	774.51	51		Fixation
428200569	SMP	1	435.24	765.65	52		Fixation
428234260	SMP	1	431.69	768.11	53		Fixation
428267215	SMP	1	431.90	775.03	53		Fixation
428300224	SMP	1	428.21	762.34	54		Fixation
428333533	SMP	1	422.57	760.84	55		Fixation
428366897	SMP	1	426.14	751.11	56		Fixation
428399996	SMP	1	424.21	754.13	56		Fixation
428433732	SMP	1	425.12	755.54	57		Fixation
428467073	SMP	1	422.58	763.46	58		Fixation
428501347	SMP	1	421.97	759.69	59		Fixation
428534792	SMP	1	416.50	765.75	60		Fixation
428565841	SMP	1	425.03	761.98	60		Fixation
428600300	SMP	1	421.15	766.88	61		Fixation
428633258	SMP	1	421.69	771.61	62		Fixation
428666317	SMP	1	424.31	770.96	63		Saccade
428702291	SMP	1	426.13	764.85	64		Saccade
428733092	SMP	1	357.47	722.63	65		Saccade
428766426	SMP	1	292.86	690.92	65		Fixation
428800155	SMP	1	293.20	688.10	66		Fixation
428832388	SMP	1	301.62	686.74	67		Fixation
428865743	SMP	1	303.29	682.72	68		Fixation
428900195	SMP	1	300.20	682.65	68		Fixation
428932227	SMP	1	299.29	688.82	69		Fixation
428965513	SMP	1	304.56	682.89	70		Fixation
428998436	SMP	1	302.01	683.06	71		Fixation
429033102	SMP	1	302.47	683.18	72		Fixation
429065123	SMP	1	302.94	685.33	72		Fixation
429098779	SMP	1	287.54	692.88	73		Fixation
429131727	SMP	1	277.79	696.58	74		Fixation
429164629	SMP	1	285.75	687.11	75		Fixation
429199258	SMP	1	286.00	685.80	76		Fixation
429231259	SMP	1	284.42	688.29	76		Fixation
429264670	SMP	1	283.87	686.97	77		Fixation
429298273	SMP	1	285.10	688.10	77		Fixation
429332275	SMP	1	283.48	687.95	79		Fixation
429364430	SMP	1	284.90	686.66	79		Fixation
429397931	SMP	1	283.46	687.37	81		Fixation
429431398	SMP	1	285.88	684.78	81		Fixation
429464708	SMP	1	284.84	683.95	82		Fixation
429498992	SMP	1	285.43	681.46	83		Fixation
429532498	SMP	1	285.86	681.40	84		Fixation
429564518	SMP	1	282.27	683.52	84		Fixation
429597728	SMP	1	281.72	682.34	85		Fixation
429631240	SMP	1	281.61	683.56	86		Fixation
429666373	SMP	1	282.78	684.31	87		Fixation
429697180	SMP	1	279.59	688.30	88		Fixation
429730376	SMP	1	279.18	690.25	88		Fixation
429764482	SMP	1	282.21	688.42	89		Fixation
429797080	SMP	1	280.98	689.88	90		Fixation
429830165	SMP	1	283.61	686.73	91		Fixation
429864261	SMP	1	283.15	685.94	92		Fixation
429896803	SMP	1	283.26	686.94	92		Fixation
429930712	SMP	1	281.79	687.07	93		Fixation
429963806	SMP	1	281.23	688.88	94		Fixation
429998085	SMP	1	283.59	689.09	95		Fixation
430032276	SMP	1	281.60	689.90	96		Fixation
430063442	SMP	1	280.02	692.58	96		Fixation
430097170	SMP	1	283.51	689.02	97		Fixation
430129589	SMP	1	281.90	690.62	98		Fixation
430163451	SMP	1	281.73	689.05	98		Fixation
430197270	SMP	1	283.73	686.43	99		Fixation
430231024	SMP	1	283.78	686.68	101		Fixation
430263627	SMP	1	282.51	684.95	101		Fixation
430296334	SMP	1	285.59	683.36	102		Fixation
430330165	SMP	1	286.71	682.78	103		Fixation
430363367	SMP	1	286.91	682.68	104		Fixation
430396267	SMP	1	283.70	685.18	105		Fixation
430430363	SMP	1	285.17	682.89	105		Fixation
430462745	SMP	1	287.21	684.87	106		Fixation
430496323	SMP	1	286.42	685.45	107		Fixation
430528908	SMP	1	284.59	687.35	108		Fixation
430563344	SMP	1	280.76	691.74	108		Fixation
430596113	SMP	1	271.92	701.04	109		Saccade
430630344	SMP	1	261.09	713.64	110		Saccade
430663439	SMP	1	340.65	698.70	111		Saccade
430696073	SMP	1	605.90	503.81	111		Saccade
430728562	SMP	1	737.41	393.47	112		Saccade
430762544	SMP	1	827.88	321.00	113		Saccade
430795922	SMP	1	1174.84	169.09	114		Saccade
430829510	SMP	1	1331.98	-74.23	115		Saccade
430862870	SMP	1	1414.58	-108.31	116		Saccade
430896092	SMP	1	1273.37	-56.56	116		Saccade
