## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Ahmad_2012_07_13_Pizza.etg.data\Ahmad-cd3ae536-107d-4c9c-a85c-8143e9312ca5\Ahmad-3-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	36962
## Reversed:	none
## [Run]
## Subject:	Ahmad
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
4146250190	SMP	1	799.76	657.32	0		Fixation
4146284222	SMP	1	799.00	652.71	2		Fixation
4146318558	SMP	1	800.68	652.29	2		Fixation
4146350492	SMP	1	801.64	656.33	3		Fixation
4146384028	SMP	1	799.25	651.16	4		Fixation
4146416810	SMP	1	796.97	650.52	4		Fixation
4146449853	SMP	1	797.22	654.62	5		Fixation
4146483504	SMP	1	796.53	657.30	6		Fixation
4146516248	SMP	1	795.63	658.48	7		Fixation
4146548491	SMP	1	794.06	660.27	7		Fixation
4146582161	SMP	1	790.06	660.92	7		Fixation
4146615665	SMP	1	788.09	660.91	9		Fixation
4146649702	SMP	1	787.46	663.86	10		Fixation
4146681757	SMP	1	786.55	665.97	11		Fixation
4146715908	SMP	1	783.97	663.75	11		Fixation
4146749364	SMP	1	783.23	667.27	12		Fixation
4146782904	SMP	1	779.84	664.34	13		Fixation
4146816606	SMP	1	778.76	661.92	14		Fixation
4146848419	SMP	1	776.53	661.03	15		Fixation
4146883253	SMP	1	773.89	658.62	15		Fixation
4146916061	SMP	1	773.91	659.25	16		Fixation
4146948728	SMP	1	773.29	655.61	17		Fixation
4146981326	SMP	1	773.40	656.75	18		Fixation
4147014653	SMP	1	773.35	652.76	18		Fixation
4147048574	SMP	1	773.84	650.33	19		Fixation
4147082907	SMP	1	773.64	653.00	20		Fixation
4147115462	SMP	1	774.75	649.63	21		Fixation
4147148705	SMP	1	773.17	648.22	22		Fixation
4147180697	SMP	1	773.57	648.53	23		Fixation
4147214620	SMP	1	774.05	649.29	23		Fixation
4147247958	SMP	1	774.60	650.36	24		Fixation
4147281957	SMP	1	775.09	649.03	25		Fixation
4147315645	SMP	1	774.61	648.49	26		Fixation
4147348239	SMP	1	774.05	645.97	27		Fixation
4147380999	SMP	1	774.34	646.27	27		Fixation
4147413994	SMP	1	773.65	645.18	27		Fixation
4147447223	SMP	1	775.00	643.07	28		Fixation
4147480965	SMP	1	774.10	643.45	30		Fixation
4147515001	SMP	1	772.95	646.97	31		Fixation
4147546813	SMP	1	771.93	640.37	31		Fixation
4147580221	SMP	1	771.81	640.87	32		Fixation
4147614053	SMP	1	770.62	643.15	33		Fixation
4147647451	SMP	1	766.91	641.20	34		Fixation
4147680736	SMP	1	765.33	641.26	35		Fixation
4147714288	SMP	1	761.79	645.56	35		Fixation
4147747006	SMP	1	758.59	642.91	36		Fixation
4147780902	SMP	1	756.20	640.33	37		Fixation
4147813630	SMP	1	753.38	642.75	38		Fixation
4147846751	SMP	1	746.01	635.38	39		Fixation
4147880688	SMP	1	741.97	634.47	39		Fixation
4147913569	SMP	1	736.42	632.93	40		Saccade
4147946819	SMP	1	730.79	630.13	41		Fixation
4147980212	SMP	1	728.91	631.08	42		Fixation
4148015222	SMP	1	723.08	631.19	43		Fixation
4148047590	SMP	1	717.47	626.65	43		Fixation
4148080317	SMP	1	713.62	623.31	44		Fixation
4148112626	SMP	1	706.93	625.38	45		Fixation
4148147042	SMP	1	701.95	623.58	46		Fixation
4148179642	SMP	1	697.70	628.41	47		Fixation
4148213340	SMP	1	694.70	628.44	47		Fixation
4148246064	SMP	1	690.76	631.98	47		Fixation
4148278884	SMP	1	687.55	630.84	48		Fixation
4148312198	SMP	1	684.19	628.25	50		Fixation
4148346653	SMP	1	682.36	629.48	51		Fixation
4148379216	SMP	1	679.17	631.05	51		Fixation
4148413180	SMP	1	678.24	627.25	52		Fixation
4148445388	SMP	1	676.43	626.99	53		Fixation
4148478653	SMP	1	674.47	623.03	54		Fixation
4148512219	SMP	1	671.67	621.07	55		Fixation
4148545187	SMP	1	667.06	620.78	55		Fixation
4148578636	SMP	1	664.95	610.68	56		Fixation
4148611768	SMP	1	664.26	605.78	57		Fixation
4148646822	SMP	1	662.78	602.45	58		Saccade
4148679334	SMP	1	665.81	598.36	58		Fixation
4148711311	SMP	1	665.91	596.19	59		Fixation
4148744738	SMP	1	666.41	595.15	60		Fixation
4148777996	SMP	1	668.68	594.27	61		Fixation
4148811574	SMP	1	668.76	593.11	61		Fixation
4148844421	SMP	1	670.96	592.90	63		Fixation
4148877952	SMP	1	671.60	592.83	63		Fixation
4148911089	SMP	1	671.60	589.99	64		Fixation
4148944298	SMP	1	672.95	592.34	65		Fixation
4148977823	SMP	1	671.66	590.52	66		Fixation
4149011357	SMP	1	669.32	591.23	66		Fixation
4149044069	SMP	1	666.56	590.50	67		Fixation
4149089271	SMP	1	663.77	585.80	68		Fixation
4149114822	SMP	1	658.06	583.33	69		Fixation
4149145677	SMP	1	651.35	580.81	69		Fixation
4149180164	SMP	1	643.12	580.98	71		Fixation
4149211429	SMP	1	631.82	579.39	71		Fixation
4149244422	SMP	1	621.74	574.86	72		Fixation
4149277895	SMP	1	610.99	568.55	73		Saccade
4149312844	SMP	1	600.98	562.47	74		Fixation
4149357305	SMP	1	588.40	559.96	75		Fixation
4149378226	SMP	1	582.44	554.13	76		Fixation
4149419718	SMP	1	575.35	554.17	76		Fixation
4149444143	SMP	1	569.25	555.39	77		Fixation
4149477835	SMP	1	565.05	557.64	78		Fixation
4149511419	SMP	1	564.51	558.24	79		Fixation
