## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Alireza_2012_04_06_002.etg.data\Alireza-f0751da9-ebc6-4b86-a314-67d4bc62bb71\Alireza-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	10372
## Reversed:	none
## [Run]
## Subject:	Alireza
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
124689559	SMP	1	738.81	494.31	1		Saccade
124721409	SMP	1	736.62	517.32	2		Saccade
124787107	SMP	1	736.84	517.40	3		Saccade
124821381	SMP	1	685.20	388.37	3		Fixation
124854099	SMP	1	701.45	384.37	4		Fixation
124888356	SMP	1	701.57	385.26	5		Fixation
124925402	SMP	1	702.36	379.16	6		Fixation
124987474	SMP	1	706.06	376.08	8		Fixation
125021768	SMP	1	707.75	377.80	8		Fixation
125054347	SMP	1	709.96	374.24	10		Fixation
125087221	SMP	1	707.94	374.12	10		Fixation
125120993	SMP	1	705.62	376.81	11		Fixation
125155271	SMP	1	707.95	376.71	12		Fixation
125187054	SMP	1	707.94	376.45	13		Fixation
125221796	SMP	1	710.54	378.99	14		Fixation
125253239	SMP	1	710.15	379.63	15		Fixation
125287519	SMP	1	711.29	381.02	15		Fixation
125321408	SMP	1	713.42	383.22	16		Fixation
125353403	SMP	1	713.38	384.21	16		Fixation
125386727	SMP	1	713.88	382.81	17		Fixation
125420691	SMP	1	713.35	384.72	18		Fixation
125454807	SMP	1	713.28	384.58	19		Fixation
125487560	SMP	1	715.65	384.10	20		Fixation
125519134	SMP	1	716.38	383.06	21		Fixation
125553916	SMP	1	718.06	387.94	21		Fixation
125587644	SMP	1	715.54	406.34	22		Fixation
125619382	SMP	1	715.52	406.35	23		Fixation
125653405	SMP	1	715.52	406.33	23		Fixation
125685796	SMP	1	719.13	414.81	24		Fixation
125719433	SMP	1	714.59	421.11	25		Fixation
125753488	SMP	1	721.89	425.16	26		Fixation
125788215	SMP	1	731.10	419.02	27		Fixation
125819220	SMP	1	739.50	416.37	28		Fixation
125852538	SMP	1	748.02	413.97	29		Fixation
125886864	SMP	1	754.71	410.79	30		Fixation
125919319	SMP	1	762.88	408.96	31		Fixation
125952722	SMP	1	770.18	408.39	31		Saccade
125986168	SMP	1	774.75	406.58	32		Saccade
126018862	SMP	1	646.01	468.01	33		Saccade
126053762	SMP	1	480.73	532.43	34		Saccade
126087035	SMP	1	381.87	544.95	34		Saccade
126152072	SMP	1	254.47	556.34	36		Saccade
126185571	SMP	1	264.77	549.00	37		Saccade
126218064	SMP	1	278.07	542.77	38		Saccade
126252230	SMP	1	293.12	537.05	38		Saccade
126285530	SMP	1	182.81	585.70	39		Fixation
126319020	SMP	1	157.05	601.33	40		Fixation
126352349	SMP	1	183.63	592.96	41		Fixation
126385379	SMP	1	192.93	588.45	42		Fixation
126419529	SMP	1	208.41	582.69	42		Fixation
126452986	SMP	1	222.83	578.47	43		Fixation
126484987	SMP	1	239.82	575.68	43		Saccade
126517380	SMP	1	245.93	593.45	44		Saccade
126551266	SMP	1	195.14	721.83	45		Saccade
126584885	SMP	1	175.73	821.71	46		Saccade
126619747	SMP	1	128.23	1017.87	47		Fixation
126651134	SMP	1	138.62	999.04	47		Fixation
