## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Alireza_2012_04_13.etg.data\alireza-48cb8285-a8fd-4d97-a0d5-885d978343de\alireza-1-recording.idf
## Date:	13.04.2012 14:44:53
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	22200
## Reversed:	none
## [Run]
## Subject:	alireza
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
617440745	SMP	1	803.02	299.40	0		Saccade
617475047	SMP	1	797.18	333.08	1		Saccade
617509156	SMP	1	798.52	335.53	2		Saccade
617541079	SMP	1	798.25	410.45	3		Saccade
617575182	SMP	1	806.39	281.23	4		Fixation
617607641	SMP	1	802.92	286.92	5		Fixation
617642349	SMP	1	803.50	284.19	5		Fixation
617676053	SMP	1	800.67	278.33	6		Fixation
617708285	SMP	1	809.04	273.71	7		Fixation
617740105	SMP	1	808.75	274.89	8		Fixation
617774565	SMP	1	804.46	275.38	8		Saccade
617808059	SMP	1	805.27	279.09	9		Saccade
617841522	SMP	1	812.14	385.17	10		Saccade
617875041	SMP	1	1193.68	512.13	11		Saccade
617908336	SMP	1	1563.44	756.28	12		Saccade
617941238	SMP	1	1521.80	743.27	12		-
617974556	SMP	1	802.19	244.42	13		Fixation
618007218	SMP	1	817.24	236.21	14		Fixation
618040884	SMP	1	819.83	230.72	15		Fixation
618073691	SMP	1	819.12	228.66	16		Fixation
618105838	SMP	1	824.54	224.76	16		Fixation
618140504	SMP	1	817.68	227.60	17		Fixation
618173139	SMP	1	822.19	226.71	18		Fixation
618207129	SMP	1	812.91	227.77	19		Fixation
618239233	SMP	1	823.47	228.63	19		Fixation
618272711	SMP	1	824.12	231.87	20		Fixation
618307291	SMP	1	816.80	237.23	21		Fixation
618339462	SMP	1	810.04	274.45	22		Saccade
618374062	SMP	1	810.07	274.42	23		Saccade
618405972	SMP	1	1108.86	227.29	24		Saccade
618439132	SMP	1	1072.59	190.92	24		Saccade
618472949	SMP	1	1064.77	300.02	25		Saccade
618507420	SMP	1	766.19	246.40	26		Fixation
618538676	SMP	1	759.12	247.54	27		Fixation
618572465	SMP	1	753.23	252.49	27		Fixation
618606155	SMP	1	740.17	249.59	29		Fixation
618640709	SMP	1	733.42	253.10	29		Fixation
618672033	SMP	1	721.79	253.93	30		Saccade
618707099	SMP	1	719.15	272.21	31		Saccade
618771573	SMP	1	813.35	463.97	32		Fixation
618805568	SMP	1	804.95	461.82	33		Fixation
618839098	SMP	1	792.80	462.08	34		Fixation
618872106	SMP	1	780.98	460.43	35		Saccade
618904581	SMP	1	781.64	468.68	35		Saccade
618938907	SMP	1	838.09	499.87	36		Saccade
618972055	SMP	1	907.79	536.79	38		Fixation
619005646	SMP	1	894.83	528.64	39		Fixation
619073044	SMP	1	877.09	526.09	39		Fixation
619104251	SMP	1	858.10	501.75	40		Saccade
619138253	SMP	1	857.85	498.67	41		Saccade
619171641	SMP	1	871.98	745.28	41		Saccade
619204523	SMP	1	958.09	414.27	42		Fixation
619240317	SMP	1	965.97	406.27	43		Fixation
619272969	SMP	1	968.01	407.11	44		Fixation
619304625	SMP	1	965.04	404.76	46		Fixation
619339005	SMP	1	965.28	407.25	46		Fixation
619371881	SMP	1	965.31	407.27	47		Fixation
619404313	SMP	1	962.13	406.11	48		Fixation
619438405	SMP	1	964.19	404.57	49		Fixation
619471205	SMP	1	962.79	408.21	49		Fixation
619538025	SMP	1	958.48	413.43	51		Fixation
619571050	SMP	1	950.84	412.75	52		Fixation
619603772	SMP	1	953.44	419.35	52		Saccade
619639273	SMP	1	949.62	438.18	53		Saccade
619671154	SMP	1	945.40	599.81	54		Saccade
619704659	SMP	1	933.27	501.72	55		Saccade
619737015	SMP	1	989.83	495.57	55		Saccade
619771186	SMP	1	727.03	545.74	56		Fixation
619804075	SMP	1	714.72	531.02	57		Fixation
619838009	SMP	1	724.60	522.38	58		Fixation
619869781	SMP	1	728.08	518.74	59		Fixation
619904961	SMP	1	736.92	513.76	59		Fixation
619936031	SMP	1	736.45	509.92	60		Fixation
619970469	SMP	1	739.53	507.09	61		Fixation
620003523	SMP	1	745.78	501.55	62		Saccade
620036445	SMP	1	747.34	502.84	63		Saccade
620069566	SMP	1	798.78	477.22	63		Saccade
620102410	SMP	1	910.36	416.93	64		Saccade
620135647	SMP	1	845.72	429.94	65		Saccade
620169124	SMP	1	848.60	432.45	66		Saccade
620202334	SMP	1	851.87	442.52	67		Saccade
620235603	SMP	1	865.66	554.67	67		Saccade
620269275	SMP	1	866.89	550.22	68		Saccade
620302757	SMP	1	867.69	547.24	69		Saccade
620335248	SMP	1	819.31	400.80	70		Fixation
620369836	SMP	1	820.39	397.57	71		Fixation
620403590	SMP	1	816.40	399.50	72		Fixation
620435722	SMP	1	815.36	396.34	72		Fixation
620468395	SMP	1	814.72	395.03	74		Fixation
620502887	SMP	1	813.60	394.97	75		Saccade
620536097	SMP	1	810.55	391.36	77		Saccade
620602783	SMP	1	864.78	473.78	78		Saccade
620635878	SMP	1	918.79	531.68	79		Fixation
620674850	SMP	1	914.73	529.78	79		Fixation
620736016	SMP	1	913.47	535.19	80		Fixation
620769094	SMP	1	897.47	525.48	81		Fixation
620802920	SMP	1	896.77	522.91	82		Saccade
620835143	SMP	1	896.88	522.79	82		Saccade
620868360	SMP	1	806.75	507.39	83		Fixation
620900996	SMP	1	819.25	496.87	85		Fixation
620944841	SMP	1	814.84	487.01	85		Fixation
621002016	SMP	1	814.20	485.99	87		Fixation
621050445	SMP	1	806.61	482.85	88		Fixation
621102510	SMP	1	793.94	510.25	89		Fixation
621135251	SMP	1	792.89	512.45	89		Saccade
621169391	SMP	1	792.86	512.47	90		Saccade
621201247	SMP	1	754.04	464.83	91		Fixation
621233744	SMP	1	752.29	469.09	91		Fixation
621269557	SMP	1	756.15	459.74	92		Fixation
621302229	SMP	1	759.00	457.84	93		Saccade
621335003	SMP	1	759.01	456.12	94		Saccade
621369389	SMP	1	796.10	486.17	95		Saccade
621400513	SMP	1	838.35	510.57	96		Saccade
621434170	SMP	1	947.77	569.38	97		Fixation
621468207	SMP	1	946.45	567.92	97		Fixation
621501361	SMP	1	948.80	569.51	98		Fixation
621533799	SMP	1	948.58	572.51	99		Fixation
621567750	SMP	1	951.33	566.26	99		Fixation
621600280	SMP	1	948.43	566.84	99		Fixation
621633104	SMP	1	950.44	568.05	101		Fixation
621668019	SMP	1	948.37	566.61	102		Fixation
621702283	SMP	1	949.65	569.50	103		Fixation
621735240	SMP	1	949.01	567.81	104		Fixation
621766684	SMP	1	949.76	565.05	105		Fixation
621801269	SMP	1	950.34	570.91	106		Fixation
621833588	SMP	1	950.06	569.30	107		Saccade
621867170	SMP	1	947.05	568.36	107		Saccade
621902045	SMP	1	857.75	544.17	108		Fixation
621934814	SMP	1	820.71	529.76	109		Fixation
621966544	SMP	1	822.78	529.26	110		Fixation
622001239	SMP	1	823.33	527.72	111		Fixation
622032931	SMP	1	823.67	526.35	112		Fixation
622066795	SMP	1	826.52	566.05	113		Fixation
622101989	SMP	1	832.75	568.82	113		Saccade
622132659	SMP	1	832.66	569.00	113		Saccade
622198727	SMP	1	785.07	392.19	115		Fixation
622232602	SMP	1	792.98	390.35	115		Fixation
622265859	SMP	1	794.13	386.50	116		Fixation
622299881	SMP	1	792.63	385.66	117		Fixation
622332759	SMP	1	787.01	385.05	118		Fixation
622365770	SMP	1	784.68	386.71	119		Fixation
622400512	SMP	1	784.63	385.32	119		Fixation
622431800	SMP	1	782.64	387.19	119		Fixation
622465067	SMP	1	781.61	386.83	121		Saccade
622499543	SMP	1	776.32	394.89	122		Saccade
622532476	SMP	1	820.95	612.22	123		Saccade
622567124	SMP	1	1732.81	739.67	124		Saccade
622599282	SMP	1	1938.78	951.61	124		Saccade
622632671	SMP	1	1946.96	949.46	125		Saccade
622664743	SMP	1	790.71	412.57	126		Fixation
622698099	SMP	1	784.88	401.74	127		Fixation
622732269	SMP	1	782.35	401.10	127		Fixation
622764733	SMP	1	786.81	398.11	128		Fixation
622798564	SMP	1	782.37	399.95	129		Fixation
622832018	SMP	1	784.41	397.09	130		Fixation
622866418	SMP	1	785.94	395.96	131		Fixation
622898330	SMP	1	783.89	396.50	132		Fixation
622932123	SMP	1	785.23	396.46	132		Fixation
622965796	SMP	1	785.62	397.71	133		Fixation
622998436	SMP	1	785.88	398.13	134		Fixation
623031118	SMP	1	786.07	396.82	135		Fixation
623064729	SMP	1	786.53	395.65	135		Fixation
623098537	SMP	1	786.58	396.14	136		Fixation
623131004	SMP	1	783.62	397.44	137		Fixation
623164554	SMP	1	782.75	397.03	138		Fixation
623197247	SMP	1	781.96	398.89	139		Saccade
623230424	SMP	1	782.95	411.12	139		Saccade
623265650	SMP	1	791.77	551.81	139		Saccade
623296779	SMP	1	793.03	542.24	140		Saccade
623331421	SMP	1	781.90	400.47	142		Fixation
623365291	SMP	1	786.50	386.20	142		Fixation
623397100	SMP	1	782.41	387.60	143		Fixation
623431109	SMP	1	786.42	383.25	144		Fixation
623466138	SMP	1	786.22	382.83	145		Fixation
623497309	SMP	1	787.67	381.38	146		Fixation
623531207	SMP	1	786.34	383.72	147		Fixation
623564870	SMP	1	784.95	385.49	148		Fixation
623632664	SMP	1	777.79	405.15	149		Fixation
623665154	SMP	1	777.53	404.15	150		Saccade
623696907	SMP	1	777.68	404.13	150		Saccade
623729537	SMP	1	757.14	446.07	152		Fixation
623764305	SMP	1	766.49	447.89	152		Fixation
623797972	SMP	1	767.41	446.19	153		Fixation
623829259	SMP	1	771.36	442.20	154		Fixation
623863163	SMP	1	770.29	437.95	155		Fixation
623897429	SMP	1	766.90	439.50	156		Saccade
623931314	SMP	1	764.25	448.97	156		Saccade
623962973	SMP	1	788.64	593.44	157		Saccade
623996300	SMP	1	776.33	557.99	158		Saccade
624030190	SMP	1	736.64	758.29	158		Saccade
624065571	SMP	1	810.65	578.96	159		Fixation
624097007	SMP	1	799.20	546.81	159		Fixation
624128791	SMP	1	799.19	542.28	161		Fixation
624164239	SMP	1	798.91	539.17	162		Fixation
624197941	SMP	1	797.80	538.85	163		Saccade
624230003	SMP	1	816.88	562.27	164		Saccade
624262792	SMP	1	859.31	640.14	164		Saccade
624299119	SMP	1	900.32	689.77	166		Fixation
624329942	SMP	1	894.06	681.56	166		Fixation
624362075	SMP	1	889.00	676.71	168		Fixation
624397107	SMP	1	881.89	671.45	168		Fixation
624429925	SMP	1	871.66	669.90	169		Fixation
624462973	SMP	1	865.56	666.78	170		Fixation
624495344	SMP	1	858.15	660.49	171		Saccade
