## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Alireza_2012_04_13_002.etg.data\Alireza_2012_04_13_002-383c7b8c-8db0-43b9-becc-b8a31d2aeada\Alireza_2012_04_13_002-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	12905
## Reversed:	none
## [Run]
## Subject:	Alireza_2012_04_13_002
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
254047169	SMP	1	777.62	641.65	2		Saccade
254081372	SMP	1	867.03	656.20	3		Saccade
254116472	SMP	1	1176.23	707.12	3		Fixation
254180984	SMP	1	1172.85	681.19	4		Fixation
254213913	SMP	1	1167.81	677.60	5		Fixation
254248053	SMP	1	1165.64	672.86	5		Fixation
254280287	SMP	1	1165.42	658.58	6		Fixation
254314166	SMP	1	1161.05	665.70	7		Fixation
254346531	SMP	1	1156.85	663.21	8		Fixation
254379241	SMP	1	1146.98	658.84	9		Fixation
254413370	SMP	1	1131.85	654.95	9		Fixation
254446231	SMP	1	1125.16	656.06	9		Fixation
254479348	SMP	1	1104.91	652.67	11		Fixation
254513317	SMP	1	1087.20	651.29	12		Fixation
254547332	SMP	1	1074.50	665.73	13		Saccade
254579666	SMP	1	1074.44	666.28	13		Saccade
254646429	SMP	1	1031.30	626.12	15		Fixation
254680389	SMP	1	1017.42	613.32	16		Fixation
254712610	SMP	1	1007.18	612.23	17		Fixation
254746242	SMP	1	996.72	619.07	17		Fixation
254779444	SMP	1	986.44	622.81	18		Fixation
254812164	SMP	1	976.42	626.74	19		Fixation
254845789	SMP	1	966.94	629.77	20		Saccade
254879539	SMP	1	965.34	636.93	21		Saccade
254912526	SMP	1	1092.29	694.21	22		Saccade
254945585	SMP	1	1055.77	663.75	22		Fixation
254979192	SMP	1	1044.61	660.47	23		Fixation
255012213	SMP	1	1032.69	657.45	24		Fixation
255046523	SMP	1	1025.18	656.09	25		Fixation
255079120	SMP	1	1024.37	657.05	25		Fixation
255112917	SMP	1	1014.46	654.09	26		Fixation
255147105	SMP	1	1010.79	653.98	27		Fixation
255179309	SMP	1	1010.10	654.61	28		Fixation
255212125	SMP	1	1004.40	655.91	29		Fixation
255246228	SMP	1	1000.37	660.65	29		Fixation
255278571	SMP	1	997.87	660.83	30		Fixation
255311365	SMP	1	997.17	665.07	31		Saccade
255345357	SMP	1	996.15	667.65	32		Saccade
255412563	SMP	1	892.21	673.81	34		Saccade
255445000	SMP	1	793.04	656.94	34		Saccade
255478693	SMP	1	797.20	657.06	35		Saccade
255511616	SMP	1	786.13	667.81	36		Saccade
255543781	SMP	1	729.44	770.23	36		Saccade
255579452	SMP	1	515.79	658.09	38		Saccade
255611102	SMP	1	449.58	630.11	38		Saccade
255644320	SMP	1	409.14	570.01	39		Saccade
255677386	SMP	1	422.37	569.94	40		Saccade
255711960	SMP	1	439.53	568.62	41		Saccade
255744859	SMP	1	454.21	573.93	41		Saccade
255777819	SMP	1	481.99	613.84	42		Saccade
255810777	SMP	1	1030.17	863.02	43		Saccade
255844024	SMP	1	1023.93	870.96	43		Saccade
255877443	SMP	1	483.90	584.65	44		Saccade
255910685	SMP	1	494.31	541.49	45		Fixation
255944348	SMP	1	520.38	538.50	46		Fixation
255980087	SMP	1	545.10	535.14	47		Fixation
256010951	SMP	1	572.13	533.11	48		Saccade
256043566	SMP	1	602.40	534.59	49		Saccade
256077197	SMP	1	428.99	609.95	49		Saccade
256109772	SMP	1	234.54	661.14	50		Fixation
256145205	SMP	1	266.29	650.18	51		Fixation
256176732	SMP	1	297.22	647.50	52		Fixation
256211695	SMP	1	325.22	644.28	53		Fixation
256243113	SMP	1	351.02	643.15	53		Fixation
256277369	SMP	1	374.62	642.19	54		Fixation
256309694	SMP	1	395.53	643.44	55		Fixation
256342769	SMP	1	410.23	645.47	56		Fixation
256377044	SMP	1	424.74	647.40	57		Fixation
256444873	SMP	1	448.21	649.64	58		Fixation
256477105	SMP	1	460.50	651.48	59		Fixation
256509955	SMP	1	471.60	654.31	60		Fixation
256543671	SMP	1	481.88	654.41	61		Fixation
256576239	SMP	1	488.56	656.61	62		Fixation
256609802	SMP	1	495.98	657.11	63		Fixation
256643033	SMP	1	503.63	656.42	64		Fixation
256676949	SMP	1	508.51	656.98	64		Fixation
256710029	SMP	1	514.03	662.03	65		Fixation
256743350	SMP	1	514.03	662.03	65		Fixation
256775622	SMP	1	514.03	662.03	66		Saccade
256809710	SMP	1	478.92	681.07	67		Saccade
256842772	SMP	1	480.61	636.45	68		Fixation
256875557	SMP	1	479.25	633.11	68		Fixation
256908623	SMP	1	479.30	638.48	69		Fixation
256941969	SMP	1	480.54	641.68	70		Fixation
256974901	SMP	1	478.75	641.47	71		Saccade
257009978	SMP	1	479.02	641.74	72		Saccade
257075592	SMP	1	600.41	688.19	73		Saccade
257108605	SMP	1	599.07	665.95	74		Saccade
257142461	SMP	1	592.34	585.62	75		Saccade
257175063	SMP	1	589.20	586.62	76		Saccade
257208891	SMP	1	586.66	588.61	76		Saccade
257241631	SMP	1	587.56	608.68	77		Saccade
257274548	SMP	1	1085.70	862.58	78		Saccade
257308256	SMP	1	556.08	625.82	79		Fixation
257342198	SMP	1	552.75	630.95	79		Fixation
257375440	SMP	1	558.73	606.17	80		Fixation
257407863	SMP	1	558.35	604.35	81		Saccade
257441080	SMP	1	560.25	603.81	82		Saccade
257475680	SMP	1	505.12	645.02	83		Saccade
257507905	SMP	1	423.62	695.10	84		Fixation
257541761	SMP	1	439.30	689.30	84		Fixation
257576286	SMP	1	443.16	688.49	86		Fixation
257608582	SMP	1	445.50	688.76	87		Fixation
257644030	SMP	1	447.72	688.51	88		Fixation
