## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Alireza_2012_04_15_005.etg.data\Alireza_2012_04_15_005-241ff65c-1a16-4627-b7c0-635493ba9961\Alireza_2012_04_15_005-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	17547
## Reversed:	none
## [Run]
## Subject:	Alireza_2012_04_15_005
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
170272958	SMP	1	907.32	201.01	1		Fixation
170308742	SMP	1	908.33	202.08	2		Fixation
170336357	SMP	1	908.56	208.05	3		Fixation
170370763	SMP	1	910.02	208.69	4		Saccade
170403497	SMP	1	905.21	235.79	5		Saccade
170438769	SMP	1	900.16	295.91	5		Saccade
170470548	SMP	1	899.02	285.34	6		Saccade
170504146	SMP	1	730.27	495.15	7		Saccade
170536540	SMP	1	930.69	271.52	8		Fixation
170569373	SMP	1	950.00	292.95	8		Fixation
170603246	SMP	1	949.22	287.25	9		Fixation
170637390	SMP	1	950.97	283.80	10		Fixation
170671173	SMP	1	950.36	279.57	11		Fixation
170702680	SMP	1	950.80	279.03	12		Saccade
170737430	SMP	1	952.80	281.17	12		Saccade
170769526	SMP	1	912.14	304.71	12		Fixation
170802176	SMP	1	886.66	324.50	14		Fixation
170836672	SMP	1	885.09	323.43	15		Fixation
170870211	SMP	1	886.96	321.99	16		Fixation
170903975	SMP	1	887.94	323.61	16		Fixation
170936844	SMP	1	887.92	324.79	17		Fixation
170969698	SMP	1	886.88	326.45	18		Saccade
171002382	SMP	1	888.32	320.19	19		Saccade
171035395	SMP	1	851.37	376.56	20		Saccade
171070557	SMP	1	813.03	442.47	21		Fixation
171102945	SMP	1	813.32	438.99	21		Fixation
171135985	SMP	1	813.68	436.53	22		Fixation
171169181	SMP	1	814.31	461.43	23		Saccade
171201474	SMP	1	814.87	461.75	23		Saccade
171235712	SMP	1	381.30	529.09	24		Saccade
171268696	SMP	1	788.08	438.04	25		Saccade
171302995	SMP	1	840.44	419.82	26		Fixation
171336535	SMP	1	845.06	423.89	27		Fixation
171368127	SMP	1	843.36	417.03	27		Fixation
171401409	SMP	1	842.26	412.26	28		Saccade
171434711	SMP	1	841.28	411.25	29		Saccade
171468838	SMP	1	761.84	445.94	30		Saccade
171501634	SMP	1	648.46	477.25	31		Fixation
171535512	SMP	1	648.99	472.72	31		Fixation
171568369	SMP	1	647.69	470.08	32		Fixation
171602363	SMP	1	646.29	466.17	33		Fixation
171634136	SMP	1	645.12	463.29	34		Fixation
171668312	SMP	1	644.06	461.83	35		Fixation
171702339	SMP	1	642.65	463.24	35		Saccade
171734539	SMP	1	676.24	482.83	36		Saccade
171769074	SMP	1	791.66	542.58	37		Saccade
171802423	SMP	1	772.56	524.00	38		Saccade
171834128	SMP	1	771.54	520.36	39		Saccade
171868236	SMP	1	774.54	525.63	40		Saccade
171900673	SMP	1	908.19	782.88	40		Saccade
171934864	SMP	1	911.49	794.18	41		Saccade
171968151	SMP	1	906.94	811.22	42		Saccade
172000532	SMP	1	750.47	544.37	43		Saccade
172034127	SMP	1	821.81	551.16	44		Saccade
172066601	SMP	1	871.43	553.16	44		Fixation
172100638	SMP	1	869.35	548.09	45		Fixation
172135180	SMP	1	870.15	543.48	46		Fixation
172168055	SMP	1	867.85	541.87	47		Fixation
172200305	SMP	1	866.36	542.79	48		Fixation
172234365	SMP	1	863.59	540.79	49		Fixation
172267447	SMP	1	862.00	538.97	49		Fixation
172333974	SMP	1	853.69	535.61	51		Fixation
172367004	SMP	1	850.61	533.54	52		Fixation
172400779	SMP	1	849.38	532.28	52		Fixation
172433942	SMP	1	849.03	529.03	52		Fixation
172465926	SMP	1	850.85	527.21	54		Fixation
172500532	SMP	1	850.01	527.34	55		Fixation
172535574	SMP	1	849.09	526.64	56		Fixation
172567772	SMP	1	847.26	526.38	57		Saccade
172600343	SMP	1	845.48	526.63	58		Saccade
172638758	SMP	1	793.29	519.41	59		Fixation
