## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Carlos_2012_07_18_Pasta.etg.data\Carlos-63569019-55ea-4fbe-9bf6-8cbb687e74f4\Carlos-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	22832
## Reversed:	none
## [Run]
## Subject:	Carlos
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
210252849	SMP	1	827.94	527.68	0		Saccade
210291852	SMP	1	820.12	576.72	0		Fixation
210318109	SMP	1	818.59	575.91	1		Fixation
210351958	SMP	1	819.99	572.88	2		Fixation
210385642	SMP	1	819.97	572.31	3		Fixation
210419339	SMP	1	819.28	595.83	4		Fixation
210451628	SMP	1	818.10	606.59	5		Fixation
210484796	SMP	1	817.64	601.65	5		Fixation
210518764	SMP	1	819.67	603.28	6		Fixation
210552246	SMP	1	819.57	601.98	8		Fixation
210585124	SMP	1	819.69	603.76	8		Fixation
210618836	SMP	1	819.87	603.11	9		Fixation
210653170	SMP	1	819.91	601.89	10		Saccade
210684814	SMP	1	822.91	601.77	11		Saccade
210719234	SMP	1	879.96	616.91	11		Saccade
210751363	SMP	1	955.39	629.23	12		Fixation
210784943	SMP	1	955.21	629.30	13		Fixation
210818067	SMP	1	954.15	627.89	14		Fixation
210852102	SMP	1	950.95	625.08	15		Fixation
210884941	SMP	1	949.23	622.56	15		Fixation
210918452	SMP	1	946.79	621.38	16		Fixation
210951514	SMP	1	949.56	632.09	17		Fixation
210985056	SMP	1	946.44	638.83	17		Fixation
211018387	SMP	1	945.54	631.16	18		Fixation
211051300	SMP	1	914.44	623.61	20		Fixation
