## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Carlos_2012_07_18_Burger.etg.data\Carlos-2caa799e-6a99-4199-8a29-fafd4fbca34c\Carlos-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	24500
## Reversed:	none
## [Run]
## Subject:	Carlos
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
219752812	SMP	1	265.20	756.68	1		Saccade
219789687	SMP	1	261.25	761.96	1		Saccade
219817307	SMP	1	249.75	781.47	2		Saccade
219850545	SMP	1	245.39	764.25	3		Saccade
219884276	SMP	1	301.82	786.35	4		Saccade
219918646	SMP	1	398.37	746.83	4		Saccade
219950167	SMP	1	509.06	726.87	5		Saccade
219982947	SMP	1	450.12	799.55	6		Saccade
220017686	SMP	1	507.95	723.31	7		Fixation
220050602	SMP	1	514.39	730.73	8		Fixation
220082846	SMP	1	509.92	718.35	8		Fixation
220116985	SMP	1	512.28	717.01	9		Fixation
220150047	SMP	1	517.27	730.43	10		Fixation
220183707	SMP	1	517.56	721.18	11		Fixation
220217396	SMP	1	518.92	715.04	12		Fixation
220250921	SMP	1	523.21	744.31	13		Fixation
220283681	SMP	1	516.30	719.51	13		Saccade
220316852	SMP	1	491.02	739.98	14		Saccade
220350160	SMP	1	387.45	730.43	15		Saccade
220382689	SMP	1	247.41	777.04	16		Fixation
220416111	SMP	1	250.05	780.18	16		Fixation
220449099	SMP	1	256.36	774.26	17		Fixation
220483590	SMP	1	257.12	772.22	18		Fixation
220516218	SMP	1	256.69	763.99	19		Fixation
220550567	SMP	1	264.31	771.76	20		Fixation
220582578	SMP	1	266.31	771.25	20		Fixation
220615386	SMP	1	264.59	768.88	21		Fixation
220649167	SMP	1	267.34	767.90	22		Fixation
220682343	SMP	1	271.03	778.33	23		Fixation
220715750	SMP	1	274.49	775.42	24		Fixation
220749649	SMP	1	269.36	758.63	24		Saccade
220782349	SMP	1	273.37	767.45	25		Saccade
220815557	SMP	1	187.25	802.24	26		Saccade
220849731	SMP	1	113.79	811.17	27		Saccade
220882592	SMP	1	37.64	836.74	28		Fixation
220915337	SMP	1	39.95	831.22	28		Fixation
220949273	SMP	1	35.42	834.94	29		Fixation
220983159	SMP	1	35.54	834.37	30		Fixation
221015002	SMP	1	48.91	833.11	31		Fixation
221048626	SMP	1	40.37	851.15	31		Fixation
221081746	SMP	1	56.08	839.21	32		Fixation
221115052	SMP	1	62.55	833.35	33		Fixation
221148558	SMP	1	66.38	836.70	34		Fixation
221183105	SMP	1	69.66	827.62	35		Fixation
221215795	SMP	1	72.79	824.52	36		Fixation
221247516	SMP	1	78.15	829.07	36		Fixation
221281420	SMP	1	76.53	828.32	38		Fixation
221314828	SMP	1	70.57	827.15	38		Fixation
221347959	SMP	1	76.76	829.31	39		Fixation
221380910	SMP	1	75.68	830.29	40		Fixation
221415634	SMP	1	69.77	837.01	40		Fixation
221448879	SMP	1	65.23	830.40	41		Fixation
221480460	SMP	1	65.55	826.26	42		Fixation
221514217	SMP	1	61.93	828.24	42		Fixation
221547052	SMP	1	52.40	823.16	44		Fixation
221582317	SMP	1	58.11	833.13	44		Fixation
221614900	SMP	1	43.35	843.77	45		Fixation
221647092	SMP	1	49.45	839.79	46		Saccade
221680502	SMP	1	43.84	843.64	47		Saccade
221714534	SMP	1	194.60	835.99	47		Saccade
221747078	SMP	1	269.82	860.12	48		Saccade
221780067	SMP	1	327.10	849.53	49		Saccade
221814432	SMP	1	355.32	860.39	50		Saccade
221847823	SMP	1	546.75	914.55	50		Saccade
221880670	SMP	1	544.72	912.03	52		Saccade
221914234	SMP	1	543.66	904.65	52		Saccade
221947423	SMP	1	536.58	979.82	53		Saccade
221980090	SMP	1	546.11	917.53	54		Saccade
222014917	SMP	1	541.58	927.17	55		Saccade
222045938	SMP	1	560.89	998.55	56		Saccade
222080000	SMP	1	567.62	1047.51	56		Saccade
222113770	SMP	1	571.28	1134.56	58		Saccade
222147609	SMP	1	653.14	1169.58	58		Saccade
222180434	SMP	1	734.35	1216.90	59		Fixation
222212889	SMP	1	710.18	1217.90	60		Fixation
222246738	SMP	1	743.48	1227.55	60		Fixation
222281099	SMP	1	729.84	1198.22	62		Saccade
222345849	SMP	1	708.91	1226.48	63		Saccade
222379397	SMP	1	659.96	1209.18	64		Saccade
222412410	SMP	1	639.13	1215.26	64		Saccade
222446250	SMP	1	682.02	1125.39	66		Saccade
222479856	SMP	1	595.82	1178.30	66		Fixation
222513135	SMP	1	619.60	1195.87	67		Fixation
222545414	SMP	1	622.42	1190.40	67		Fixation
222579944	SMP	1	621.32	1182.73	68		Fixation
222612820	SMP	1	620.66	1170.79	68		Fixation
222645652	SMP	1	624.58	1156.92	70		Fixation
222678860	SMP	1	624.39	1151.29	71		Fixation
222713536	SMP	1	624.15	1140.29	72		Fixation
222750235	SMP	1	614.44	1109.36	72		Fixation
222778733	SMP	1	609.28	1094.93	73		Fixation
222812639	SMP	1	623.05	1074.80	74		Fixation
222845080	SMP	1	622.77	1068.93	75		Fixation
222878358	SMP	1	621.78	1068.88	76		Saccade
222912321	SMP	1	611.39	1089.28	76		Saccade
222945236	SMP	1	609.60	1188.57	77		Fixation
222979223	SMP	1	622.15	1175.55	78		Fixation
223011864	SMP	1	588.41	1192.44	79		Fixation
223044861	SMP	1	618.77	1184.29	79		Fixation
223077330	SMP	1	624.66	1180.87	81		Fixation
223111990	SMP	1	604.35	1219.78	81		Fixation
223144346	SMP	1	597.09	1202.56	82		Fixation
223179851	SMP	1	606.38	1212.15	83		Fixation
223211323	SMP	1	610.89	1193.52	84		Fixation
223245705	SMP	1	617.33	1184.43	84		Saccade
223278048	SMP	1	620.97	1188.91	85		Saccade
223311357	SMP	1	783.73	1134.11	86		Saccade
223345196	SMP	1	793.65	1189.01	87		Saccade
223377826	SMP	1	796.98	1195.14	87		Saccade
223411626	SMP	1	380.93	972.13	88		Saccade
223444227	SMP	1	345.87	912.34	89		Fixation
223477257	SMP	1	358.21	939.32	90		Fixation
223512053	SMP	1	364.96	926.75	91		Fixation
223544919	SMP	1	347.41	934.01	91		Saccade
223577959	SMP	1	349.37	933.76	92		Saccade
223610792	SMP	1	358.99	981.91	93		Saccade
223644092	SMP	1	352.87	975.64	94		-
223678017	SMP	1	211.25	851.37	95		Saccade
223709919	SMP	1	147.37	744.60	96		Fixation
223745149	SMP	1	145.65	746.35	96		Fixation
223777118	SMP	1	147.69	752.54	97		Fixation
223810614	SMP	1	150.37	757.62	98		Fixation
223843304	SMP	1	150.94	738.01	99		Fixation
223877517	SMP	1	158.03	755.40	99		Fixation
223910249	SMP	1	158.58	756.56	100		Fixation
223944136	SMP	1	159.67	764.09	101		Fixation
223976444	SMP	1	158.60	759.14	102		Fixation
224011000	SMP	1	159.38	764.42	103		Fixation
224043268	SMP	1	158.78	751.11	104		Fixation
224077308	SMP	1	159.57	767.41	104		Fixation
224109132	SMP	1	156.47	756.62	105		Fixation
224142333	SMP	1	154.90	757.28	106		Fixation
224175813	SMP	1	157.67	756.31	107		Fixation
224209440	SMP	1	154.73	761.46	107		Fixation
224242277	SMP	1	151.92	769.59	108		Fixation
224275442	SMP	1	153.16	757.36	108		Fixation
224308734	SMP	1	154.33	763.24	110		Fixation
224342603	SMP	1	155.83	764.57	110		Saccade
224375404	SMP	1	175.14	753.68	111		Saccade
224408781	SMP	1	264.55	772.22	112		Saccade
224441957	SMP	1	464.04	761.38	113		Saccade
224475156	SMP	1	481.66	704.95	114		Saccade
224508465	SMP	1	554.63	589.49	114		Fixation
224542261	SMP	1	560.28	562.51	116		Fixation
224575394	SMP	1	559.61	554.76	116		Fixation
224608369	SMP	1	565.67	559.72	117		Fixation
224641567	SMP	1	571.36	563.82	118		Fixation
224676077	SMP	1	575.13	561.41	119		Fixation
224709510	SMP	1	584.64	580.60	119		Fixation
224741415	SMP	1	588.16	584.17	120		Fixation
224776461	SMP	1	588.99	584.14	122		Fixation
224814541	SMP	1	594.17	603.68	123		Fixation
224842735	SMP	1	600.15	602.93	125		Fixation
224913354	SMP	1	603.99	620.52	126		Saccade
224947922	SMP	1	605.66	624.58	127		Saccade
224974756	SMP	1	541.09	617.93	127		Saccade
225008630	SMP	1	437.71	609.44	127		Saccade
225041653	SMP	1	-17.07	788.78	128		Saccade
225077535	SMP	1	-24.46	790.60	128		Saccade
225107867	SMP	1	-18.78	791.41	128		Saccade
225141072	SMP	1	147.56	594.90	130		Saccade
225179924	SMP	1	154.20	597.70	131		Saccade
225209596	SMP	1	157.84	601.94	132		Saccade
225276627	SMP	1	840.29	617.79	134		Saccade
225343420	SMP	1	268.53	577.94	136		Saccade
225380560	SMP	1	686.60	384.96	136		Fixation
225407925	SMP	1	680.44	370.86	137		Fixation
225441334	SMP	1	671.18	382.32	137		Fixation
225475530	SMP	1	664.10	388.92	138		Fixation
225507190	SMP	1	655.99	392.63	139		Fixation
225541232	SMP	1	649.89	394.28	139		Fixation
225574195	SMP	1	643.57	395.97	140		Fixation
225606815	SMP	1	637.40	397.42	141		Fixation
225641158	SMP	1	631.64	400.63	142		Fixation
225674668	SMP	1	627.90	401.91	143		Fixation
225706519	SMP	1	624.80	401.61	144		Fixation
225740448	SMP	1	621.94	400.21	144		Saccade
225773243	SMP	1	621.82	401.88	145		Saccade
225807050	SMP	1	562.67	397.89	146		Fixation
225839597	SMP	1	536.03	398.74	147		Fixation
225872979	SMP	1	533.83	397.68	148		Fixation
225907295	SMP	1	531.48	396.16	148		Fixation
225940180	SMP	1	531.77	395.57	148		Fixation
225973181	SMP	1	531.81	395.19	149		Fixation
226006730	SMP	1	529.70	394.07	151		Fixation
226039534	SMP	1	527.73	394.39	151		Fixation
226073292	SMP	1	528.71	393.04	152		Fixation
226106994	SMP	1	525.36	393.80	153		Fixation
226139854	SMP	1	522.22	386.83	154		Fixation
226172666	SMP	1	520.04	393.38	155		Fixation
226206120	SMP	1	512.36	395.52	155		Fixation
226239167	SMP	1	509.64	397.71	156		Fixation
226272506	SMP	1	504.91	395.91	157		Fixation
226305935	SMP	1	503.94	396.30	158		Fixation
226338419	SMP	1	502.28	394.89	159		Fixation
226373173	SMP	1	499.70	394.72	159		Fixation
226405604	SMP	1	499.99	395.74	160		Fixation
226438784	SMP	1	497.70	395.26	161		Fixation
226472676	SMP	1	497.70	388.75	162		Fixation
226506136	SMP	1	498.91	387.38	163		Fixation
226538691	SMP	1	498.22	392.09	164		Fixation
226571937	SMP	1	498.55	381.29	164		Fixation
226605279	SMP	1	498.55	380.68	165		Saccade
226638474	SMP	1	497.30	389.64	166		Saccade
226671704	SMP	1	561.73	521.62	166		Saccade
226705137	SMP	1	558.16	572.77	167		Fixation
226738740	SMP	1	559.96	566.16	168		Fixation
226771480	SMP	1	560.58	565.65	168		Fixation
226804377	SMP	1	558.13	566.86	169		Fixation
226837813	SMP	1	559.25	568.62	171		Fixation
226871824	SMP	1	556.01	588.25	171		Fixation
226904443	SMP	1	558.37	609.68	172		Fixation
226938767	SMP	1	558.26	607.30	173		Fixation
226971522	SMP	1	557.78	609.25	174		Fixation
227004296	SMP	1	556.38	610.51	175		Fixation
227038578	SMP	1	555.87	609.92	175		Fixation
227071690	SMP	1	553.25	605.95	176		Fixation
227105171	SMP	1	551.88	615.39	177		Saccade
