## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Carlos_2012_07_18_Greek.etg.data\Carlos-cb1a4174-8a42-44f6-baff-8ec81526e336\Carlos-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	23186
## Reversed:	none
## [Run]
## Subject:	Carlos
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
509978815	SMP	1	380.74	762.75	1		Fixation
510012911	SMP	1	379.57	768.03	2		Fixation
510050272	SMP	1	381.19	782.29	3		Fixation
510082362	SMP	1	384.19	780.93	4		Fixation
510112252	SMP	1	383.63	784.10	5		Fixation
510146169	SMP	1	386.97	804.22	6		Fixation
510180308	SMP	1	382.16	794.68	6		Fixation
510212937	SMP	1	373.36	804.00	7		Fixation
510245905	SMP	1	387.68	774.28	8		Fixation
510279795	SMP	1	386.23	769.19	9		Fixation
510311896	SMP	1	384.56	770.13	9		Fixation
510346381	SMP	1	391.07	778.78	10		Fixation
510378322	SMP	1	390.26	778.78	11		Fixation
510412375	SMP	1	389.36	784.35	12		Fixation
510444936	SMP	1	390.09	774.37	13		Fixation
510479235	SMP	1	390.97	776.90	13		Fixation
510511961	SMP	1	388.99	816.41	14		Fixation
510544952	SMP	1	388.37	784.33	15		Fixation
510578990	SMP	1	391.26	780.92	16		Fixation
510612518	SMP	1	393.14	771.80	17		Fixation
510644747	SMP	1	391.79	784.41	18		Fixation
510678494	SMP	1	390.01	782.21	18		Fixation
510711595	SMP	1	390.30	784.16	19		Fixation
510744730	SMP	1	376.13	788.60	20		Fixation
510777714	SMP	1	381.88	791.66	20		Fixation
510812315	SMP	1	393.69	782.78	21		Fixation
510844510	SMP	1	392.90	788.60	22		Fixation
510877692	SMP	1	394.75	779.56	23		Fixation
510910875	SMP	1	394.03	782.62	24		Fixation
510944222	SMP	1	396.23	783.80	24		Fixation
510978040	SMP	1	395.02	786.24	25		Fixation
511011185	SMP	1	388.12	789.60	26		Fixation
511045883	SMP	1	393.66	789.84	27		Fixation
511078274	SMP	1	391.66	779.84	28		Fixation
511111761	SMP	1	392.96	782.94	29		Fixation
511143399	SMP	1	391.31	775.29	30		Fixation
511177326	SMP	1	390.12	803.83	30		Fixation
511210468	SMP	1	389.91	777.41	31		Fixation
511243522	SMP	1	389.32	776.65	32		Fixation
