## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Rahul_2012_06_29_Snack.etg.data\Rahul-65943801-b9b1-4f00-a397-a1fe01c5b88f\Rahul-3-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	16115
## Reversed:	none
## [Run]
## Subject:	Rahul
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
3764241257	SMP	1	578.45	659.96	0		Fixation
3764275041	SMP	1	578.42	657.94	1		Fixation
3764310075	SMP	1	579.12	657.14	2		Fixation
3764343058	SMP	1	581.79	657.52	3		Fixation
3764377385	SMP	1	599.51	670.94	4		Fixation
3764413472	SMP	1	599.87	668.04	5		Fixation
3764443743	SMP	1	601.18	664.41	5		Fixation
3764475763	SMP	1	600.85	661.02	6		Fixation
3764507675	SMP	1	599.59	659.50	6		Fixation
3764541786	SMP	1	596.84	657.47	7		Fixation
3764574231	SMP	1	594.17	657.76	8		Fixation
3764608893	SMP	1	592.47	657.54	9		Fixation
3764644046	SMP	1	592.05	658.29	10		Fixation
3764676151	SMP	1	590.64	658.32	11		Fixation
3764708229	SMP	1	589.87	657.80	11		Fixation
3764741380	SMP	1	591.48	655.54	12		Fixation
3764776517	SMP	1	591.18	652.06	13		Fixation
3764813207	SMP	1	591.79	647.50	13		Fixation
3764842292	SMP	1	591.93	643.55	13		Fixation
3764874528	SMP	1	591.32	639.85	13		Fixation
3764907441	SMP	1	590.20	635.41	16		Fixation
3764942078	SMP	1	587.14	633.74	16		Fixation
3764976776	SMP	1	584.62	636.10	16		Fixation
3765008757	SMP	1	583.70	631.51	19		Fixation
3765043676	SMP	1	583.78	631.37	20		Fixation
3765076780	SMP	1	585.18	632.71	21		Fixation
3765115835	SMP	1	584.24	631.81	22		Fixation
3765142442	SMP	1	584.87	631.21	23		Fixation
3765206918	SMP	1	585.17	630.40	24		Fixation
3765275825	SMP	1	588.00	630.90	26		Fixation
3765310344	SMP	1	590.15	630.39	26		Fixation
3765349915	SMP	1	592.57	629.06	27		Fixation
3765378449	SMP	1	595.46	627.00	28		Fixation
3765406462	SMP	1	597.77	621.98	29		Fixation
3765441689	SMP	1	599.83	621.03	30		Saccade
3765474485	SMP	1	600.70	618.65	30		Saccade
3765540441	SMP	1	594.73	668.31	32		Saccade
3765573481	SMP	1	593.34	676.19	32		Saccade
3765607095	SMP	1	1096.43	1069.78	33		Saccade
3765640013	SMP	1	1069.76	1047.44	34		Saccade
3765673709	SMP	1	581.03	594.91	34		Fixation
3765705356	SMP	1	591.38	580.53	36		Fixation
3765739240	SMP	1	593.74	579.37	36		Fixation
3765773986	SMP	1	599.91	586.44	37		Fixation
3765806721	SMP	1	597.12	575.73	38		Fixation
3765839667	SMP	1	597.64	578.56	39		Fixation
3765873984	SMP	1	597.11	579.96	39		Fixation
3765906157	SMP	1	599.20	581.76	40		Fixation
3765940036	SMP	1	599.31	584.33	41		Fixation
3765972735	SMP	1	600.70	583.64	42		Fixation
3766009785	SMP	1	601.25	582.90	43		Fixation
3766038571	SMP	1	603.54	583.26	43		Fixation
3766072141	SMP	1	604.97	585.69	45		Fixation
3766107633	SMP	1	607.18	587.13	45		Fixation
3766139805	SMP	1	609.33	588.61	46		Fixation
3766171799	SMP	1	611.26	591.02	46		Fixation
3766205171	SMP	1	613.36	590.89	47		Fixation
3766238373	SMP	1	616.33	591.97	48		Fixation
3766272517	SMP	1	618.09	597.33	49		Fixation
3766309486	SMP	1	619.95	595.02	50		Fixation
3766339301	SMP	1	619.62	600.24	51		Fixation
3766372164	SMP	1	617.23	601.31	51		Fixation
3766404940	SMP	1	615.45	599.69	52		Fixation
3766438590	SMP	1	614.54	599.52	53		Fixation
3766471180	SMP	1	614.36	599.88	54		Fixation
3766507774	SMP	1	615.65	599.48	55		Fixation
3766537970	SMP	1	617.71	599.89	55		Fixation
3766571786	SMP	1	619.07	599.57	56		Fixation
3766605623	SMP	1	619.99	599.91	57		Fixation
3766638132	SMP	1	620.49	602.48	58		Fixation
3766673073	SMP	1	619.35	604.05	59		Saccade
3766704299	SMP	1	599.17	629.71	60		Saccade
3766738474	SMP	1	506.43	778.20	60		Fixation
3766772319	SMP	1	506.59	801.97	61		Fixation
3766804253	SMP	1	509.94	803.77	62		Fixation
3766837659	SMP	1	512.47	807.10	63		Fixation
3766871135	SMP	1	511.93	803.67	63		Fixation
3766905657	SMP	1	512.86	800.77	64		Fixation
