## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Rahul_2012_07_18_Greek.etg.data\Rahul-57d674e5-0cd9-43e6-bafa-6ee85a751c39\Rahul-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	10665
## Reversed:	none
## [Run]
## Subject:	Rahul
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
300236855	SMP	1	183.94	561.65	0		Fixation
300270204	SMP	1	186.26	562.75	1		Fixation
300303688	SMP	1	206.14	561.66	2		Fixation
300336226	SMP	1	197.60	566.47	3		Fixation
300370223	SMP	1	194.35	564.73	3		Fixation
300403050	SMP	1	189.09	564.19	4		Fixation
300436830	SMP	1	193.49	566.80	5		Fixation
300469528	SMP	1	192.29	569.26	5		Fixation
300502084	SMP	1	192.33	570.49	6		Fixation
300537938	SMP	1	191.75	573.32	7		Fixation
300570445	SMP	1	211.74	589.32	8		Fixation
300603091	SMP	1	205.85	589.44	9		Fixation
300636999	SMP	1	198.20	594.45	10		Fixation
300671554	SMP	1	194.49	588.81	11		Fixation
300702584	SMP	1	185.04	601.57	12		Fixation
300737175	SMP	1	181.10	594.02	12		Fixation
300769825	SMP	1	175.45	613.13	13		Fixation
300802106	SMP	1	180.10	611.42	14		Fixation
300836379	SMP	1	174.10	611.34	15		Fixation
300876808	SMP	1	160.53	617.90	16		Fixation
300902817	SMP	1	150.70	616.91	17		Fixation
300939956	SMP	1	130.06	621.75	18		Fixation
300969275	SMP	1	128.54	620.47	19		Fixation
301009619	SMP	1	111.95	619.72	20		Fixation
301036755	SMP	1	99.18	616.49	21		Fixation
301068659	SMP	1	95.00	615.95	22		Saccade
301111268	SMP	1	109.78	613.69	23		Saccade
301137207	SMP	1	280.83	627.14	23		Fixation
301173952	SMP	1	262.36	615.16	24		Fixation
301202793	SMP	1	237.61	619.15	25		Fixation
301235058	SMP	1	231.17	625.03	25		Fixation
301268408	SMP	1	232.58	639.96	25		Fixation
301301300	SMP	1	230.35	639.38	26		Fixation
301335421	SMP	1	228.63	639.21	27		Fixation
301367892	SMP	1	228.71	637.39	28		Fixation
301401175	SMP	1	232.03	639.81	29		Fixation
301435226	SMP	1	232.98	640.91	29		Fixation
301467390	SMP	1	236.79	647.01	30		Fixation
301502248	SMP	1	236.64	654.18	31		Fixation
301534524	SMP	1	241.67	650.69	32		Fixation
301568929	SMP	1	233.62	653.03	32		Fixation
301601000	SMP	1	242.61	652.08	33		Fixation
301633480	SMP	1	249.88	670.64	34		Fixation
301668467	SMP	1	262.67	669.65	35		Fixation
301699946	SMP	1	257.23	669.69	36		Fixation
301733598	SMP	1	279.30	678.93	36		Saccade
301767210	SMP	1	283.15	683.38	37		Saccade
301800653	SMP	1	238.89	620.16	38		Saccade
301833759	SMP	1	206.93	610.70	39		Saccade
301867900	SMP	1	125.27	638.84	39		Fixation
301900204	SMP	1	124.78	624.76	40		Fixation
301933755	SMP	1	145.20	625.70	41		Fixation
301967537	SMP	1	149.62	620.19	42		Fixation
301999730	SMP	1	151.31	623.02	43		Fixation
302034061	SMP	1	142.58	617.65	44		Fixation
302066634	SMP	1	153.42	617.16	44		Fixation
302099733	SMP	1	155.07	615.64	45		Fixation
302133718	SMP	1	152.98	615.20	45		Fixation
302165995	SMP	1	151.05	608.82	46		Fixation
302201004	SMP	1	151.24	606.99	47		Fixation
302232914	SMP	1	154.48	611.35	48		Fixation
302268077	SMP	1	153.66	608.30	49		Fixation
302302247	SMP	1	155.91	615.94	50		Fixation
302333929	SMP	1	148.07	619.23	51		Fixation
302366813	SMP	1	145.55	611.19	52		Fixation
302400202	SMP	1	148.35	613.64	53		Saccade
302436410	SMP	1	185.99	625.08	53		Saccade
302467643	SMP	1	245.45	680.16	54		Fixation
302499318	SMP	1	236.76	659.37	55		Fixation
302532626	SMP	1	230.07	665.69	55		Fixation
302567034	SMP	1	231.24	658.41	56		Fixation
302600030	SMP	1	244.06	654.99	57		Fixation
302632735	SMP	1	250.81	665.27	58		Fixation
302667974	SMP	1	244.02	656.61	59		Fixation
302700020	SMP	1	247.42	661.99	59		Fixation
302732943	SMP	1	236.60	649.16	60		Fixation
302766671	SMP	1	241.17	657.18	61		Fixation
302801817	SMP	1	239.87	657.00	62		Fixation
302832030	SMP	1	231.66	655.78	63		Fixation
302865651	SMP	1	208.74	659.40	64		Fixation
302898923	SMP	1	208.10	657.82	64		Fixation
302932012	SMP	1	199.76	657.80	65		Fixation
302966200	SMP	1	204.96	656.81	65		Fixation
302997753	SMP	1	198.27	660.38	66		Fixation
303031727	SMP	1	209.22	653.69	67		Fixation
303065525	SMP	1	187.25	648.61	68		Fixation
303099223	SMP	1	203.75	666.11	69		Fixation
303131635	SMP	1	194.67	666.77	70		Fixation
303164715	SMP	1	196.24	665.56	71		Fixation
303198593	SMP	1	186.00	661.89	71		Fixation
303232068	SMP	1	185.81	667.77	73		Saccade
303264612	SMP	1	205.03	669.27	73		Saccade
303297951	SMP	1	373.85	632.15	74		Saccade
303330904	SMP	1	541.85	587.94	74		Saccade
303365091	SMP	1	597.54	581.86	75		Saccade
303397901	SMP	1	749.66	663.35	76		Saccade
303431055	SMP	1	846.93	539.38	77		Saccade
303466243	SMP	1	910.99	533.86	78		Saccade
303497577	SMP	1	961.93	555.62	79		Saccade
303531666	SMP	1	991.88	572.34	79		Saccade
303564099	SMP	1	886.83	559.83	80		Saccade
303597016	SMP	1	790.74	567.12	81		Saccade
303630214	SMP	1	703.36	570.10	82		Saccade
303664982	SMP	1	770.96	556.48	82		Saccade
303697091	SMP	1	788.45	534.30	83		Saccade
303731685	SMP	1	696.32	524.63	84		Saccade
303763499	SMP	1	614.02	522.95	85		Saccade
303797248	SMP	1	544.57	523.63	85		Saccade
303829912	SMP	1	711.87	509.51	86		Saccade
303863176	SMP	1	790.82	506.21	86		Fixation
303896250	SMP	1	754.44	506.18	88		Fixation
303931114	SMP	1	723.31	509.37	89		Fixation
303964912	SMP	1	705.52	513.64	90		Fixation
304001347	SMP	1	691.93	520.12	91		Fixation
304033194	SMP	1	686.55	520.97	92		Fixation
304097136	SMP	1	681.67	532.77	93		Fixation
304130230	SMP	1	680.56	542.30	94		Fixation
304162881	SMP	1	680.45	554.97	95		Fixation
304195713	SMP	1	678.66	571.75	96		Saccade
304230044	SMP	1	683.43	578.79	96		Saccade
304262902	SMP	1	694.47	471.30	97		Saccade
304296336	SMP	1	694.68	472.06	97		Saccade
304329335	SMP	1	693.18	418.70	99		Saccade
304362713	SMP	1	676.90	375.63	99		Saccade
304395296	SMP	1	665.87	422.35	100		Saccade
304428601	SMP	1	661.88	472.97	101		Saccade
304462234	SMP	1	658.30	526.87	101		Saccade
304495652	SMP	1	654.19	578.96	102		Fixation
304528354	SMP	1	654.61	617.77	103		Fixation
304561615	SMP	1	658.55	657.90	104		Fixation
304595024	SMP	1	658.76	689.95	105		Fixation
304628367	SMP	1	660.87	720.63	105		Fixation
304661666	SMP	1	660.09	744.49	106		Fixation
304694781	SMP	1	660.33	779.92	107		Fixation
304728179	SMP	1	657.20	802.68	107		Saccade
304761385	SMP	1	658.44	831.23	109		Saccade
304794797	SMP	1	623.15	781.28	110		Saccade
304828027	SMP	1	589.02	737.66	110		Fixation
304861609	SMP	1	602.17	746.62	111		Fixation
304894576	SMP	1	610.40	760.24	112		Fixation
304928909	SMP	1	625.07	771.16	113		Fixation
304962331	SMP	1	636.60	781.14	114		Fixation
304996032	SMP	1	649.16	780.00	115		Fixation
305030211	SMP	1	661.47	780.10	116		Fixation
305069155	SMP	1	665.80	782.85	117		Fixation
305095901	SMP	1	671.79	778.06	117		Fixation
305131429	SMP	1	677.09	768.56	118		Fixation
305161890	SMP	1	675.91	751.25	119		Fixation
305194441	SMP	1	675.72	735.11	119		Fixation
305227013	SMP	1	672.30	723.62	120		Fixation
305260305	SMP	1	667.25	707.79	121		Fixation
305297324	SMP	1	666.30	688.91	122		Fixation
305329475	SMP	1	676.68	684.23	123		Fixation
305363666	SMP	1	694.91	669.91	124		Fixation
305394275	SMP	1	720.28	663.66	125		Fixation
305435344	SMP	1	746.00	652.06	126		Saccade
305460983	SMP	1	750.57	647.99	126		Saccade
305494618	SMP	1	586.54	678.34	127		Saccade
305527508	SMP	1	484.03	718.98	127		Fixation
305561495	SMP	1	519.43	717.35	128		Fixation
305594310	SMP	1	553.68	707.49	129		Fixation
305628068	SMP	1	589.67	693.02	130		Fixation
305660725	SMP	1	623.19	680.45	130		Saccade
305693755	SMP	1	588.68	686.18	131		Saccade
305727052	SMP	1	508.97	732.65	132		Saccade
305760520	SMP	1	433.54	741.28	133		Saccade
305793029	SMP	1	279.91	799.59	133		Saccade
305826683	SMP	1	333.22	770.81	135		Saccade
305860998	SMP	1	383.74	746.70	135		Saccade
305892801	SMP	1	436.62	718.90	136		Saccade
305927924	SMP	1	378.12	710.51	137		Saccade
305959256	SMP	1	326.26	694.41	138		Saccade
305994057	SMP	1	325.47	691.17	139		Saccade
306027099	SMP	1	325.03	690.04	139		Saccade
306059594	SMP	1	62.07	844.68	140		Saccade
306093438	SMP	1	76.61	876.19	141		Saccade
306127475	SMP	1	40.29	921.98	142		Saccade
306159745	SMP	1	12.29	946.81	142		Saccade
306193413	SMP	1	79.62	907.87	143		Saccade
306227191	SMP	1	144.77	878.32	144		Saccade
306259226	SMP	1	202.44	859.18	145		Saccade
306292928	SMP	1	249.36	837.37	145		Saccade
306326661	SMP	1	289.76	821.13	146		Saccade
306358982	SMP	1	339.78	808.33	147		Saccade
306392828	SMP	1	366.84	783.80	148		Saccade
306426329	SMP	1	392.02	786.16	149		Saccade
306461547	SMP	1	318.14	832.55	150		Saccade
306493311	SMP	1	252.48	872.60	151		Fixation
306526424	SMP	1	261.64	858.23	151		Fixation
306559343	SMP	1	278.32	847.66	152		Fixation
306591668	SMP	1	282.18	849.43	153		Fixation
306625769	SMP	1	283.66	843.88	154		Fixation
306660369	SMP	1	295.26	825.30	155		Fixation
306691190	SMP	1	291.53	815.80	155		Fixation
306725041	SMP	1	286.59	810.96	156		Fixation
306758812	SMP	1	281.46	793.08	157		Fixation
306791620	SMP	1	276.69	784.58	158		Fixation
306825435	SMP	1	270.70	770.03	158		Fixation
306858304	SMP	1	268.50	765.72	159		Fixation
306892877	SMP	1	270.89	761.32	160		Fixation
306924218	SMP	1	272.60	760.48	161		Fixation
306958597	SMP	1	270.26	760.39	162		Fixation
306991585	SMP	1	271.85	758.29	163		Saccade
307025293	SMP	1	259.70	719.12	163		Saccade
307058631	SMP	1	281.63	651.42	164		Fixation
307091479	SMP	1	276.94	648.75	165		Fixation
307124825	SMP	1	274.75	645.59	165		Fixation
307157556	SMP	1	248.11	634.55	166		Fixation
307190888	SMP	1	258.34	625.19	167		Fixation
307225173	SMP	1	250.57	637.02	168		Fixation
307257610	SMP	1	255.42	632.40	168		Fixation
307292363	SMP	1	236.86	635.13	169		Fixation
307326229	SMP	1	241.80	633.26	170		Fixation
307358145	SMP	1	231.09	632.96	171		Fixation
307395762	SMP	1	220.37	634.32	172		Fixation
307424064	SMP	1	218.92	635.11	173		Fixation
307457495	SMP	1	194.52	629.77	174		Saccade
307491271	SMP	1	221.17	625.84	175		Saccade
307524049	SMP	1	394.41	640.67	176		Saccade
307558211	SMP	1	360.57	648.73	176		Saccade
307590287	SMP	1	333.97	659.04	177		Saccade
307622917	SMP	1	295.96	682.23	177		Saccade
307656591	SMP	1	400.48	651.48	178		Saccade
307689796	SMP	1	510.31	619.73	179		Saccade
307723210	SMP	1	598.77	636.31	180		Saccade
307756897	SMP	1	629.01	638.85	181		Saccade
307789683	SMP	1	548.60	645.35	182		Saccade
307825343	SMP	1	485.00	652.14	183		Saccade
307857437	SMP	1	432.37	649.19	183		Saccade
307891439	SMP	1	387.21	655.55	184		Fixation
307923512	SMP	1	347.37	645.85	185		Fixation
307959452	SMP	1	315.09	641.60	185		Fixation
307989255	SMP	1	296.26	646.26	186		Saccade
308023149	SMP	1	285.40	658.17	187		Saccade
308057361	SMP	1	388.25	652.01	188		Saccade
308088949	SMP	1	442.47	667.96	189		Fixation
308123329	SMP	1	435.04	656.14	189		Fixation
308156027	SMP	1	412.54	660.29	190		Fixation
308188983	SMP	1	415.45	649.92	191		Fixation
308223013	SMP	1	418.44	644.39	192		Fixation
308256481	SMP	1	421.70	640.51	193		Fixation
308289778	SMP	1	432.13	620.02	194		Fixation
308324074	SMP	1	426.00	648.13	194		Fixation
308355432	SMP	1	426.05	647.97	195		Saccade
308390743	SMP	1	426.05	647.97	196		Saccade
308422172	SMP	1	254.28	803.34	197		Saccade
308456571	SMP	1	187.08	889.26	198		Saccade
308489489	SMP	1	224.49	868.63	198		Saccade
308522518	SMP	1	285.34	871.95	199		Saccade
308555719	SMP	1	335.82	821.00	200		Saccade
308589492	SMP	1	397.66	789.11	201		Saccade
308622677	SMP	1	387.40	772.81	201		Saccade
308655401	SMP	1	363.85	826.85	202		Saccade
308688693	SMP	1	433.84	811.96	203		Saccade
308722376	SMP	1	491.96	787.22	204		Saccade
308755316	SMP	1	497.27	735.75	205		Fixation
308788269	SMP	1	510.90	713.67	205		Fixation
308824643	SMP	1	536.77	696.86	206		Fixation
308854235	SMP	1	545.18	679.02	207		Fixation
308888813	SMP	1	539.37	676.31	208		Fixation
308921768	SMP	1	540.99	677.34	208		Fixation
308955078	SMP	1	541.74	662.40	209		Fixation
308989473	SMP	1	548.99	631.00	211		Fixation
309021638	SMP	1	524.78	643.65	211		Fixation
309055813	SMP	1	528.97	643.27	212		Saccade
309087623	SMP	1	540.54	643.94	213		Saccade
309121633	SMP	1	651.52	621.77	213		Fixation
309154889	SMP	1	638.79	627.94	214		Fixation
309188174	SMP	1	623.28	620.36	215		Fixation
309222232	SMP	1	625.01	618.04	216		Fixation
309254117	SMP	1	634.74	628.00	217		Saccade
309287236	SMP	1	631.24	645.96	217		Saccade
309320618	SMP	1	620.07	697.66	218		Saccade
309354051	SMP	1	618.56	708.18	219		Saccade
309387177	SMP	1	619.55	728.64	220		Saccade
309421528	SMP	1	608.61	725.81	221		Saccade
309454701	SMP	1	637.17	656.98	221		Saccade
309487864	SMP	1	605.13	657.71	222		Saccade
309520193	SMP	1	638.16	610.18	223		Saccade
309553428	SMP	1	641.14	615.90	224		Saccade
309587757	SMP	1	466.26	646.61	225		Saccade
309620063	SMP	1	541.42	681.60	225		Saccade
309653479	SMP	1	523.43	698.89	225		Saccade
309686679	SMP	1	502.02	704.20	227		Saccade
309720429	SMP	1	543.99	695.33	228		Saccade
309752899	SMP	1	439.66	737.95	228		Saccade
309786380	SMP	1	437.89	739.28	230		Saccade
309820514	SMP	1	561.36	698.60	231		Saccade
309857104	SMP	1	693.05	659.78	232		Saccade
309893337	SMP	1	640.75	666.33	232		Saccade
309953202	SMP	1	562.57	685.17	233		Saccade
309986253	SMP	1	583.86	678.44	234		Saccade
310019403	SMP	1	695.00	619.31	235		Saccade
310052665	SMP	1	828.28	538.84	236		Saccade
310086411	SMP	1	809.82	550.83	237		Saccade
310118539	SMP	1	765.59	570.69	237		Saccade
310153497	SMP	1	693.35	601.99	238		Saccade
310186414	SMP	1	650.20	617.38	239		Saccade
310220037	SMP	1	610.95	623.70	239		Saccade
310252762	SMP	1	591.81	632.36	240		Saccade
310285913	SMP	1	543.11	645.47	241		Fixation
310318827	SMP	1	543.07	660.97	242		Fixation
310353630	SMP	1	536.84	671.56	243		Fixation
310386206	SMP	1	534.91	685.72	244		Fixation
310420015	SMP	1	541.89	693.68	245		Fixation
