## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Shaghayegh_2012_07_05_Snack2.etg.data\Shaghayegh_Snack-2a18a12a-27b8-4fc4-a983-57abdaa46b98\Shaghayegh_Snack-1-recording.idf
## Date:	05.07.2012 19:38:56
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	14049
## Reversed:	none
## [Run]
## Subject:	Shaghayegh_Snack
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
278817734	SMP	1	669.83	243.66	0		Fixation
278853680	SMP	1	667.31	245.97	1		Fixation
278886683	SMP	1	663.92	247.22	2		Fixation
278951766	SMP	1	665.19	236.89	3		Fixation
278984529	SMP	1	678.50	216.45	4		Fixation
279017067	SMP	1	676.54	214.45	5		Fixation
279050102	SMP	1	676.43	211.29	5		Fixation
279083914	SMP	1	677.72	211.24	6		Fixation
279116601	SMP	1	676.69	206.95	7		Fixation
279150656	SMP	1	674.98	205.24	8		Fixation
279184617	SMP	1	663.14	187.62	9		Fixation
279217330	SMP	1	655.56	186.71	10		Fixation
279252052	SMP	1	652.07	188.13	10		Fixation
279283195	SMP	1	652.17	192.29	11		Fixation
279317109	SMP	1	652.32	193.62	11		Fixation
279349805	SMP	1	656.78	195.30	13		Fixation
279383936	SMP	1	657.22	197.71	13		Fixation
279417968	SMP	1	658.47	197.61	14		Fixation
279450071	SMP	1	659.30	198.15	15		Fixation
279483890	SMP	1	655.39	197.42	16		Fixation
279516309	SMP	1	657.80	200.26	17		Fixation
279549781	SMP	1	656.41	201.63	17		Fixation
279583702	SMP	1	657.42	203.69	18		Fixation
279616491	SMP	1	655.12	210.32	19		Fixation
279649368	SMP	1	650.58	204.45	20		Fixation
279682581	SMP	1	646.63	202.44	21		Fixation
279716586	SMP	1	639.02	204.14	22		Fixation
279749380	SMP	1	638.40	204.95	22		Fixation
279783212	SMP	1	641.54	204.37	23		Fixation
279816600	SMP	1	642.29	201.09	24		Fixation
279849509	SMP	1	642.46	196.69	25		Fixation
279881916	SMP	1	641.72	193.18	26		Fixation
279916367	SMP	1	644.53	191.62	26		Fixation
279949346	SMP	1	645.41	199.27	27		Saccade
279982429	SMP	1	640.50	239.27	28		Saccade
280015901	SMP	1	396.66	488.18	29		Saccade
280049419	SMP	1	1106.26	644.27	29		Saccade
280082169	SMP	1	906.55	785.48	30		Saccade
280115716	SMP	1	911.29	789.56	31		Saccade
280149332	SMP	1	600.29	642.62	32		Saccade
280182130	SMP	1	654.65	436.04	33		Saccade
280215231	SMP	1	656.00	424.37	33		Saccade
280248358	SMP	1	657.50	421.40	34		Saccade
280282039	SMP	1	669.39	369.57	35		Saccade
280315919	SMP	1	694.36	302.18	36		Fixation
280347886	SMP	1	692.15	303.85	37		Fixation
280382182	SMP	1	691.90	304.47	37		Fixation
280415064	SMP	1	690.18	304.96	38		Fixation
280447614	SMP	1	687.57	313.00	39		Saccade
280481393	SMP	1	681.57	324.72	40		Saccade
280514686	SMP	1	1279.90	642.60	41		Saccade
280547404	SMP	1	856.01	861.18	41		Saccade
280581272	SMP	1	839.50	925.02	42		Saccade
280614536	SMP	1	841.91	954.76	43		Saccade
280649364	SMP	1	686.54	250.58	44		Fixation
280681330	SMP	1	686.12	245.19	45		Fixation
280713842	SMP	1	683.81	238.72	45		Fixation
280747809	SMP	1	679.17	235.14	46		Fixation
280780662	SMP	1	677.00	230.67	47		Fixation
280815021	SMP	1	674.43	227.67	48		Fixation
280847943	SMP	1	669.76	226.91	49		Fixation
280881567	SMP	1	670.24	228.53	50		Fixation
280914299	SMP	1	668.48	231.99	50		Saccade
280946602	SMP	1	655.37	252.29	51		Saccade
280980562	SMP	1	610.78	360.81	51		Fixation
281013107	SMP	1	611.50	366.59	52		Fixation
281046864	SMP	1	615.53	366.63	53		Fixation
281081296	SMP	1	617.50	367.98	54		Fixation
281114779	SMP	1	619.55	368.68	55		Fixation
281149397	SMP	1	621.35	369.48	56		Fixation
281179706	SMP	1	623.76	371.01	57		Fixation
281213101	SMP	1	626.95	372.49	57		Fixation
281247364	SMP	1	629.49	373.96	58		Fixation
281280946	SMP	1	629.28	374.79	59		Fixation
281313117	SMP	1	630.90	377.64	60		Fixation
281347386	SMP	1	630.56	375.43	61		Fixation
281379303	SMP	1	629.69	375.52	62		Fixation
281413346	SMP	1	628.62	375.68	62		Fixation
281446947	SMP	1	628.00	375.47	63		Fixation
281480237	SMP	1	626.98	376.48	64		Fixation
281513851	SMP	1	626.81	374.34	64		Fixation
281545869	SMP	1	625.30	375.41	65		Fixation
281579060	SMP	1	623.90	375.16	66		Fixation
281613318	SMP	1	620.00	374.41	67		Fixation
281647636	SMP	1	624.23	365.40	68		Fixation
281679605	SMP	1	653.40	333.43	69		Fixation
281712560	SMP	1	651.71	331.31	69		Fixation
