## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Yin_2012_04_06_001.etg.data\Yin_2012_04_06_001-9d55d66c-5409-4d36-a038-b6701f96e768\Yin_2012_04_06_001-1-recording.idf
## Date:	06.04.2012 16:24:07
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	14921
## Reversed:	none
## [Run]
## Subject:	Yin_2012_04_06_001
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
216357496	SMP	1	664.83	846.62	1		Saccade
216389536	SMP	1	663.15	820.72	2		Saccade
216422369	SMP	1	721.73	638.02	2		Fixation
216455530	SMP	1	722.35	639.47	3		Fixation
216490666	SMP	1	723.17	638.52	4		Fixation
216523925	SMP	1	722.99	638.74	5		Saccade
216556360	SMP	1	721.34	643.31	5		Saccade
216589933	SMP	1	677.34	755.27	6		Fixation
216622892	SMP	1	677.97	754.88	7		Fixation
216656159	SMP	1	678.05	756.03	8		Fixation
216689104	SMP	1	678.72	754.77	9		Fixation
216722607	SMP	1	678.79	753.95	9		Fixation
216756126	SMP	1	678.70	754.10	10		Fixation
216789148	SMP	1	678.97	753.81	11		Fixation
216823478	SMP	1	678.82	753.87	12		Fixation
216856179	SMP	1	679.64	754.82	12		Fixation
216888258	SMP	1	678.55	753.14	13		Saccade
216922106	SMP	1	657.64	753.13	14		Saccade
216955681	SMP	1	591.15	881.20	15		Saccade
216989453	SMP	1	479.77	1023.48	16		Saccade
217023384	SMP	1	184.82	1091.81	17		Saccade
217055671	SMP	1	398.58	947.31	17		Saccade
217088785	SMP	1	507.07	488.44	19		Fixation
217121616	SMP	1	508.69	491.74	19		Fixation
217154812	SMP	1	507.50	483.24	20		Fixation
217188157	SMP	1	507.60	482.91	20		Saccade
217221557	SMP	1	497.25	479.93	22		Saccade
217255358	SMP	1	260.59	424.12	22		Saccade
217287977	SMP	1	136.85	402.06	23		Fixation
217321850	SMP	1	129.31	387.49	24		Fixation
217354593	SMP	1	130.10	372.35	24		Fixation
217389198	SMP	1	125.45	379.71	25		Saccade
217420759	SMP	1	119.11	376.84	27		Saccade
217454717	SMP	1	12.49	344.79	27		Fixation
217487429	SMP	1	1.18	343.58	28		Fixation
217521082	SMP	1	-1.45	343.38	29		Fixation
217554806	SMP	1	-1.65	341.90	29		Fixation
217587544	SMP	1	-10.20	336.01	30		Fixation
217620408	SMP	1	-9.68	332.64	31		Fixation
217653859	SMP	1	-11.35	331.13	32		Fixation
217689793	SMP	1	-7.16	324.06	32		Fixation
217720838	SMP	1	-6.38	323.28	33		Fixation
217753790	SMP	1	-7.48	321.09	34		Fixation
217787630	SMP	1	-7.86	320.71	35		Fixation
217820768	SMP	1	-18.52	317.96	36		Fixation
217854104	SMP	1	15.62	317.51	36		Fixation
217887442	SMP	1	18.32	316.93	37		Fixation
217920179	SMP	1	16.05	316.96	38		Fixation
217953099	SMP	1	11.05	316.84	39		Fixation
217987152	SMP	1	13.31	318.46	40		Saccade
218021045	SMP	1	14.03	323.12	41		Saccade
218053267	SMP	1	136.45	369.44	41		Saccade
218086343	SMP	1	139.02	381.70	42		Saccade
218120329	SMP	1	138.49	383.35	43		Saccade
218155442	SMP	1	766.91	475.38	44		Saccade
218186477	SMP	1	934.26	497.41	45		Saccade
218220385	SMP	1	1092.50	579.72	45		Saccade
218253609	SMP	1	1190.76	646.11	46		Fixation
218286760	SMP	1	1208.40	643.24	47		Fixation
218319967	SMP	1	1189.17	634.82	48		Fixation
218355751	SMP	1	1199.91	632.39	49		Fixation
218387424	SMP	1	1220.39	638.94	49		Fixation
218419251	SMP	1	1220.17	639.09	50		Fixation
218452217	SMP	1	1217.43	634.81	51		Fixation
218487124	SMP	1	1217.44	634.77	52		Fixation
218519254	SMP	1	1217.44	634.77	52		Fixation
218551873	SMP	1	1177.08	635.06	53		Fixation
218585078	SMP	1	1174.64	634.33	54		Fixation
218619902	SMP	1	1184.49	638.58	55		Fixation
218652182	SMP	1	1183.41	634.72	55		Fixation
218686520	SMP	1	1171.36	622.22	56		Saccade
218718393	SMP	1	1172.76	621.72	57		Saccade
218752308	SMP	1	980.78	541.90	58		Saccade
218785521	SMP	1	832.11	490.56	59		Fixation
218818466	SMP	1	830.75	475.43	60		Fixation
218852495	SMP	1	833.59	478.97	61		Fixation
218884549	SMP	1	834.47	484.55	61		Fixation
218918271	SMP	1	834.59	484.76	62		Saccade
218952672	SMP	1	834.59	484.76	63		Saccade
218984885	SMP	1	998.12	766.04	64		Saccade
219017733	SMP	1	826.02	477.61	64		Fixation
219051205	SMP	1	830.48	449.40	65		Fixation
219084529	SMP	1	830.50	468.18	66		Fixation
219117430	SMP	1	830.01	470.94	67		Saccade
219152715	SMP	1	830.01	471.01	68		Saccade
219185748	SMP	1	488.73	1003.31	68		Saccade
219217821	SMP	1	791.97	415.35	69		-
219251223	SMP	1	801.95	387.09	70		Fixation
219283819	SMP	1	809.89	370.11	71		Fixation
219317810	SMP	1	804.29	375.98	72		Fixation
219350346	SMP	1	803.29	375.67	72		Fixation
219383828	SMP	1	801.15	373.17	72		Fixation
219417144	SMP	1	799.56	372.48	74		Fixation
219450811	SMP	1	798.62	375.34	75		Fixation
219484243	SMP	1	796.89	376.65	75		Fixation
219517050	SMP	1	794.61	411.21	76		Fixation
219550294	SMP	1	794.46	410.85	77		Fixation
219584642	SMP	1	806.67	411.36	78		Blink
219617653	SMP	1	2023.38	1421.14	79		Blink
219652437	SMP	1	2017.35	1425.91	80		Blink
219684385	SMP	1	1395.36	920.78	80		Blink
219716519	SMP	1	765.31	317.66	81		Fixation
219750033	SMP	1	766.71	317.04	82		Fixation
219783478	SMP	1	769.90	311.92	83		Fixation
219819873	SMP	1	769.27	306.86	84		Fixation
219853123	SMP	1	770.81	307.50	87		Fixation
219921113	SMP	1	772.45	307.42	87		Fixation
219963578	SMP	1	772.52	306.86	88		Fixation
219984105	SMP	1	771.80	309.37	89		Fixation
220023844	SMP	1	770.42	338.88	90		Fixation
220052844	SMP	1	757.48	328.29	90		Blink
220085949	SMP	1	757.48	328.29	92		Blink
220118166	SMP	1	270.69	1165.08	92		Blink
220151987	SMP	1	611.01	628.83	92		Fixation
220185103	SMP	1	630.88	643.99	92		Fixation
220216174	SMP	1	631.98	652.32	93		Fixation
220249494	SMP	1	629.61	650.12	94		Fixation
220284727	SMP	1	628.52	650.13	95		Fixation
220317526	SMP	1	626.34	648.84	96		Fixation
220352510	SMP	1	625.65	646.96	97		Fixation
220386783	SMP	1	624.45	644.80	98		Fixation
220418629	SMP	1	622.95	643.48	99		Fixation
220456302	SMP	1	622.28	641.63	100		Saccade
220487801	SMP	1	621.12	639.86	100		Saccade
220518378	SMP	1	598.74	683.61	101		Saccade
220550444	SMP	1	581.18	759.17	102		Fixation
220617973	SMP	1	577.48	764.42	103		Fixation
220649707	SMP	1	576.70	763.87	104		Fixation
220682121	SMP	1	574.67	763.15	105		Fixation
220715645	SMP	1	573.03	762.94	105		Fixation
220748876	SMP	1	570.01	762.63	106		Fixation
220781452	SMP	1	567.51	762.13	107		Fixation
220815941	SMP	1	558.31	779.61	107		Fixation
220848527	SMP	1	560.14	783.29	108		Fixation
220882512	SMP	1	557.15	787.16	109		Fixation
220914417	SMP	1	556.86	788.38	110		Fixation
220947946	SMP	1	554.81	789.51	110		Fixation
220981691	SMP	1	556.40	785.64	112		Fixation
221015680	SMP	1	556.84	783.39	112		Fixation
221048281	SMP	1	554.87	783.93	112		Fixation
221080649	SMP	1	550.27	785.93	114		Fixation
221115355	SMP	1	549.59	784.36	115		Fixation
221148375	SMP	1	545.40	782.02	115		Fixation
221181366	SMP	1	538.62	782.08	116		Fixation
221214565	SMP	1	535.06	784.37	118		Fixation
221247833	SMP	1	534.40	781.50	118		Fixation
221280786	SMP	1	532.31	781.91	119		Fixation
221314261	SMP	1	530.60	782.68	120		Fixation
221347539	SMP	1	529.50	782.98	121		Fixation
221380750	SMP	1	529.41	784.99	121		Fixation
221413929	SMP	1	528.27	786.94	122		Fixation
221448025	SMP	1	530.71	787.42	123		Saccade
221482638	SMP	1	531.86	785.23	124		Saccade
221513921	SMP	1	470.59	834.71	124		Saccade
221548287	SMP	1	294.52	1047.95	125		Saccade
221580120	SMP	1	435.59	786.04	126		Saccade
221613512	SMP	1	455.07	647.83	127		Fixation
221647212	SMP	1	455.97	636.13	127		Fixation
221681280	SMP	1	458.62	647.07	128		Fixation
221714702	SMP	1	460.84	646.99	129		Fixation
221747712	SMP	1	461.86	638.92	130		Fixation
221781058	SMP	1	463.16	637.86	131		Fixation
221813458	SMP	1	464.17	637.49	132		Fixation
221848145	SMP	1	464.73	632.96	132		Fixation
221879618	SMP	1	464.71	633.01	133		-
221912478	SMP	1	0.00	0.00	133		Blink
221947099	SMP	1	457.07	619.03	135		Blink
221980131	SMP	1	0.00	0.00	135		Blink
222013221	SMP	1	278.25	1193.98	136		Saccade
