## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Yin_2012_04_13_003.etg.data\Yin_2012_04_13_003-e4cf130c-8b6a-41a9-a9ec-0e747c089a52\Yin_2012_04_13_003-1-recording.idf
## Date:	13.04.2012 16:55:46
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	20071
## Reversed:	none
## [Run]
## Subject:	Yin_2012_04_13_003
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
156870375	SMP	1	0.00	0.00	2		Blink
156907762	SMP	1	0.00	0.00	3		Blink
156937648	SMP	1	0.00	0.00	3		Blink
156970866	SMP	1	0.00	0.00	4		Blink
157003390	SMP	1	0.00	0.00	5		Blink
157037414	SMP	1	0.00	0.00	5		Blink
157068743	SMP	1	0.00	0.00	6		Blink
157103082	SMP	1	1155.60	543.76	7		Blink
157136352	SMP	1	854.31	287.57	8		Saccade
157169022	SMP	1	1230.11	454.46	9		Fixation
157202490	SMP	1	1228.74	459.85	10		Fixation
157236874	SMP	1	1231.23	460.94	10		Fixation
157269181	SMP	1	1234.47	458.47	11		Fixation
157302016	SMP	1	1233.98	457.13	12		Saccade
157336799	SMP	1	1239.26	461.13	13		Saccade
157369923	SMP	1	1018.10	738.10	13		Saccade
157402219	SMP	1	1398.39	445.63	14		Fixation
157436595	SMP	1	1399.30	434.11	15		Fixation
157469007	SMP	1	1403.29	431.30	16		Fixation
157503257	SMP	1	1404.48	433.84	17		Fixation
157535218	SMP	1	1408.28	471.71	18		Fixation
157568799	SMP	1	1411.27	467.14	19		Fixation
157602977	SMP	1	1413.10	467.05	19		Fixation
157635237	SMP	1	1416.18	464.05	19		Fixation
157668101	SMP	1	1415.82	464.40	20		Fixation
157701706	SMP	1	1415.82	464.41	21		Fixation
157734981	SMP	1	1415.59	450.76	22		Fixation
157767982	SMP	1	1418.45	414.85	23		Fixation
157801333	SMP	1	1421.36	408.58	24		Fixation
157834775	SMP	1	1419.63	431.90	24		Fixation
157867358	SMP	1	1419.98	433.36	26		Fixation
157901932	SMP	1	1424.24	431.40	27		Fixation
157935618	SMP	1	1412.74	435.96	27		Fixation
157968636	SMP	1	1419.35	431.28	28		Fixation
158000591	SMP	1	1419.21	426.37	29		Fixation
158033678	SMP	1	1418.80	422.66	30		Saccade
158068712	SMP	1	1379.87	419.59	30		Saccade
158101683	SMP	1	1264.82	404.69	31		Fixation
158136258	SMP	1	1262.95	396.72	32		Fixation
158168436	SMP	1	1258.79	375.04	33		Fixation
158200170	SMP	1	1260.97	372.44	33		Fixation
158234118	SMP	1	1261.46	374.18	34		Fixation
158268473	SMP	1	1259.97	372.74	35		Fixation
158301540	SMP	1	1258.63	372.83	36		Fixation
158334366	SMP	1	1256.83	373.21	37		Fixation
158367069	SMP	1	1263.24	402.91	38		Fixation
158400885	SMP	1	1265.96	410.67	38		Saccade
158434368	SMP	1	1270.31	393.08	39		Saccade
158468452	SMP	1	1161.98	426.34	39		Saccade
158500297	SMP	1	876.21	542.03	40		Saccade
158533771	SMP	1	806.84	555.52	41		Fixation
158566987	SMP	1	805.70	558.54	42		Fixation
158599752	SMP	1	809.08	546.41	43		Fixation
158633427	SMP	1	812.70	544.24	44		Saccade
158667326	SMP	1	815.88	543.91	45		Saccade
158699792	SMP	1	736.55	537.52	45		Saccade
158734736	SMP	1	684.62	524.02	47		Fixation
158766841	SMP	1	686.75	517.02	47		Fixation
158799506	SMP	1	688.82	514.98	48		Fixation
158832622	SMP	1	691.48	512.33	49		Fixation
158866107	SMP	1	693.83	511.18	50		Fixation
158900201	SMP	1	695.79	510.16	51		Fixation
158933075	SMP	1	696.45	505.46	51		Fixation
158965552	SMP	1	697.29	509.58	52		Fixation
158999109	SMP	1	697.06	512.29	53		Fixation
159033798	SMP	1	697.41	511.53	53		Fixation
159066864	SMP	1	697.57	515.62	54		Fixation
159099107	SMP	1	694.73	519.13	55		Fixation
159132961	SMP	1	696.59	519.99	56		Fixation
159166031	SMP	1	694.29	525.73	57		Fixation
159199011	SMP	1	695.86	520.40	58		Fixation
159232940	SMP	1	695.87	520.80	58		Saccade
159265396	SMP	1	696.77	523.57	59		Saccade
159298651	SMP	1	630.26	438.06	59		Saccade
159331937	SMP	1	613.94	391.73	60		Fixation
159364957	SMP	1	613.58	382.93	62		Fixation
159399446	SMP	1	610.99	382.87	62		Fixation
159432697	SMP	1	611.17	382.92	63		Fixation
159465372	SMP	1	612.35	380.79	64		Fixation
159498812	SMP	1	613.52	394.35	64		Fixation
159532357	SMP	1	613.65	394.18	65		Fixation
159565442	SMP	1	613.65	394.18	66		Saccade
159599120	SMP	1	613.65	394.18	67		Saccade
159631200	SMP	1	668.82	394.35	68		Saccade
159665321	SMP	1	757.13	369.50	69		Saccade
159697339	SMP	1	757.44	368.88	69		Saccade
159732587	SMP	1	757.32	367.78	70		Saccade
159764801	SMP	1	770.84	373.08	71		Saccade
159797948	SMP	1	1023.50	461.22	72		Saccade
159831992	SMP	1	1153.14	502.90	73		Saccade
159863759	SMP	1	1189.52	505.50	73		Saccade
159898599	SMP	1	1189.01	500.89	74		Saccade
159931787	SMP	1	1334.97	510.97	75		Fixation
159965500	SMP	1	1345.34	533.14	76		Fixation
159997114	SMP	1	1345.09	530.48	77		Fixation
160030748	SMP	1	1378.05	516.42	77		Fixation
160064341	SMP	1	1372.06	516.21	78		Fixation
160097296	SMP	1	1370.90	516.27	79		Fixation
160130731	SMP	1	1370.91	516.25	79		Fixation
160163421	SMP	1	1384.13	504.13	80		Fixation
160197103	SMP	1	1369.27	499.64	81		Fixation
160233101	SMP	1	1370.18	496.67	82		Fixation
160265897	SMP	1	1367.20	494.15	83		Fixation
160297363	SMP	1	1362.66	488.82	84		Fixation
160330468	SMP	1	1357.94	487.85	84		Fixation
160364662	SMP	1	1356.96	490.82	85		Fixation
160397658	SMP	1	1354.80	488.38	86		Fixation
160429514	SMP	1	1355.31	487.46	87		Fixation
160463329	SMP	1	1346.63	490.54	88		Fixation
160495911	SMP	1	1353.54	513.06	89		Fixation
160530006	SMP	1	1354.39	508.34	89		Fixation
160563615	SMP	1	1348.76	512.03	90		Fixation
160596291	SMP	1	1350.69	507.58	91		Fixation
160631865	SMP	1	1345.80	505.56	92		Fixation
160663954	SMP	1	1344.24	501.74	93		Fixation
160697458	SMP	1	1340.93	496.17	93		Fixation
160729256	SMP	1	1336.14	490.72	94		Fixation
160766932	SMP	1	1331.25	491.40	95		Fixation
160796603	SMP	1	1328.76	506.52	96		Fixation
160829811	SMP	1	1314.62	510.78	97		Fixation
160862706	SMP	1	1315.82	497.79	98		Fixation
160897056	SMP	1	1322.96	496.98	98		Fixation
160929787	SMP	1	1315.32	499.68	99		Fixation
160963126	SMP	1	1315.08	499.14	99		Fixation
160995366	SMP	1	1313.17	505.17	100		Fixation
161029472	SMP	1	1313.17	505.21	101		Fixation
161062460	SMP	1	1314.80	506.91	102		Fixation
161096782	SMP	1	1316.00	505.61	103		Fixation
161129874	SMP	1	1314.52	509.74	103		Fixation
161163141	SMP	1	1314.52	509.74	104		Fixation
161196534	SMP	1	1315.77	508.86	105		Fixation
161229685	SMP	1	1316.28	508.25	106		Fixation
161262255	SMP	1	1316.28	508.24	107		Fixation
161297054	SMP	1	1315.24	505.77	108		Fixation
161330231	SMP	1	1318.21	506.76	109		Fixation
161361844	SMP	1	1322.63	510.12	109		Fixation
161396334	SMP	1	1329.44	514.53	110		Fixation
161428093	SMP	1	1350.87	539.23	111		Fixation
161461481	SMP	1	1357.48	545.33	112		Fixation
161495056	SMP	1	1363.53	550.87	113		Fixation
161529876	SMP	1	1391.33	561.85	114		Fixation
161563139	SMP	1	1394.17	551.70	114		Fixation
161595342	SMP	1	1408.18	552.71	115		Fixation
161629074	SMP	1	1408.42	549.36	116		Fixation
161662461	SMP	1	1403.70	551.60	117		Fixation
161693900	SMP	1	1393.25	550.72	117		Fixation
161728441	SMP	1	1393.21	550.76	118		Fixation
161761571	SMP	1	1390.35	542.06	119		Saccade
161794796	SMP	1	1383.66	533.59	119		Saccade
161827402	SMP	1	1330.15	468.12	120		Saccade
161861049	SMP	1	1284.81	413.49	121		Fixation
161894171	SMP	1	1284.56	412.70	122		Fixation
161927674	SMP	1	1295.23	413.08	123		Fixation
161961212	SMP	1	1294.83	417.25	123		Fixation
161994686	SMP	1	1290.63	436.46	124		Fixation
162028065	SMP	1	1287.17	443.14	125		Fixation
162060815	SMP	1	1286.87	441.48	126		Fixation
162094105	SMP	1	1286.88	441.48	127		Fixation
162129019	SMP	1	1286.88	441.48	128		Fixation
162161530	SMP	1	1283.20	422.35	129		Fixation
162194533	SMP	1	1283.20	422.33	129		Fixation
162227250	SMP	1	1288.91	421.45	130		Fixation
162260626	SMP	1	1276.81	416.83	131		Fixation
162293542	SMP	1	1273.96	416.29	132		Fixation
162327135	SMP	1	1279.84	412.29	132		Fixation
162361298	SMP	1	1283.69	410.80	133		Saccade
162395158	SMP	1	1286.67	409.25	134		Saccade
162427043	SMP	1	1400.69	461.65	135		Fixation
162460599	SMP	1	1420.70	462.32	136		Fixation
162494241	SMP	1	1420.96	462.51	137		Fixation
162526941	SMP	1	1426.59	462.99	137		Fixation
162559389	SMP	1	1440.80	445.42	138		Fixation
162593275	SMP	1	1438.54	443.64	139		Fixation
162627281	SMP	1	1431.29	475.35	139		Fixation
162658970	SMP	1	1410.27	482.51	140		Fixation
162692082	SMP	1	1418.19	492.50	141		Fixation
162727645	SMP	1	1417.84	496.80	142		Fixation
162760616	SMP	1	1416.17	502.60	143		Fixation
162793715	SMP	1	1416.55	503.93	143		Fixation
162826132	SMP	1	1422.11	511.87	144		Fixation
162860220	SMP	1	1420.97	515.13	145		Fixation
162893592	SMP	1	1416.75	516.99	146		Fixation
162925669	SMP	1	1412.77	501.79	147		Fixation
162959561	SMP	1	1410.83	502.90	148		Fixation
162992481	SMP	1	1410.45	502.29	148		Fixation
163025679	SMP	1	1402.23	510.69	149		Fixation
163058833	SMP	1	1382.31	545.48	150		Saccade
163093095	SMP	1	1381.91	547.85	151		Saccade
163125444	SMP	1	1328.02	635.53	152		Saccade
163160111	SMP	1	1356.76	596.29	152		Saccade
163193011	SMP	1	1348.04	596.25	153		Saccade
163225270	SMP	1	1340.41	594.14	154		Saccade
163259562	SMP	1	1306.41	564.36	155		Fixation
163293035	SMP	1	1307.20	564.13	156		Fixation
163325033	SMP	1	1307.20	564.13	156		Fixation
163358465	SMP	1	1302.14	558.86	157		Fixation
163392819	SMP	1	1302.14	558.85	158		Fixation
163427280	SMP	1	1302.14	558.85	159		Fixation
163462161	SMP	1	1302.14	558.85	159		Fixation
163491051	SMP	1	1302.14	558.85	160		Fixation
163524292	SMP	1	1302.14	558.85	161		Fixation
163558188	SMP	1	1265.94	547.97	162		Saccade
163592513	SMP	1	1248.64	545.64	162		Saccade
163624236	SMP	1	1191.42	532.61	163		Fixation
163659439	SMP	1	1197.72	532.56	165		Fixation
163691069	SMP	1	1200.01	532.78	165		Fixation
163724336	SMP	1	1207.63	532.86	166		Fixation
163757956	SMP	1	1202.81	531.55	167		Fixation
163791584	SMP	1	1201.69	532.29	168		Fixation
163824177	SMP	1	1206.19	528.69	168		Fixation
163858015	SMP	1	1195.50	528.35	169		Fixation
163890613	SMP	1	1193.62	524.51	170		Fixation
163924545	SMP	1	1186.61	527.16	171		Fixation
163957270	SMP	1	1190.68	533.61	171		Fixation
163989887	SMP	1	1190.67	533.62	172		Saccade
164024557	SMP	1	1166.79	559.00	173		Saccade
164058352	SMP	1	1182.23	729.16	174		Saccade
164090907	SMP	1	1189.32	555.71	175		Fixation
164125647	SMP	1	1203.31	531.42	176		Fixation
