## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Yin_2012_04_15_003.etg.data\Yin_2012_04_15_003-e3c94937-b37a-46e4-95f0-0f25388f8f04\Yin_2012_04_15_003-1-recording.idf
## Date:	31.12.2000 23:24:57
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	14510
## Reversed:	none
## [Run]
## Subject:	Yin_2012_04_15_003
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
155093710	SMP	1	617.09	810.24	1		Fixation
155138985	SMP	1	616.55	812.78	2		Fixation
155163426	SMP	1	616.39	811.15	3		Fixation
155193158	SMP	1	616.79	808.32	3		Fixation
155228728	SMP	1	615.16	807.36	4		Fixation
155260690	SMP	1	615.97	803.78	5		Fixation
155294062	SMP	1	615.95	805.58	6		Fixation
155327356	SMP	1	614.49	801.24	7		Fixation
155361268	SMP	1	617.64	799.75	7		Fixation
155394452	SMP	1	617.56	798.44	8		Fixation
155426695	SMP	1	616.83	798.60	9		Fixation
155459958	SMP	1	616.41	795.74	10		Fixation
155493695	SMP	1	618.11	797.09	10		Fixation
155526876	SMP	1	618.96	793.67	11		Fixation
155560159	SMP	1	619.73	789.99	12		Fixation
155593093	SMP	1	620.50	790.05	13		Fixation
155626691	SMP	1	620.35	791.47	14		Fixation
155658902	SMP	1	622.03	786.05	14		Saccade
155692767	SMP	1	620.75	785.06	15		Saccade
155726255	SMP	1	575.14	765.94	16		Saccade
155760428	SMP	1	388.05	669.17	17		Fixation
155792111	SMP	1	370.23	649.12	18		Fixation
155826378	SMP	1	370.24	643.55	18		Fixation
155859517	SMP	1	364.80	643.72	19		Fixation
155892778	SMP	1	364.66	639.36	20		Fixation
155926289	SMP	1	365.26	636.22	21		Fixation
155960316	SMP	1	365.50	633.31	21		Fixation
155991928	SMP	1	366.42	633.53	22		Fixation
156026036	SMP	1	366.91	629.79	23		Fixation
156059893	SMP	1	367.79	629.15	24		Fixation
156092828	SMP	1	364.37	633.46	25		Fixation
156126165	SMP	1	364.27	632.26	26		Fixation
156159019	SMP	1	363.46	631.23	26		Saccade
156192901	SMP	1	363.20	633.68	27		Saccade
156225778	SMP	1	281.06	679.37	28		Fixation
