## [BeGaze]
## Converted from:	E:\Aware HOme\aware home recording unit 11-17\AwareHomeGazeStudy-RecordingUnit\p10r2-[5a4d6e31-b950-41db-b419-d90afb4d4ac7]\p10r2-2-unified.smi
## Date:	04.11.2015 10:37:04
## Version:	BeGaze 3.4.46
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	p10r2-2-recording.avi
## Number of Samples:	14520
## Reversed:	none
## [Run]
## Subject:	p10r2-2-unified
## Description:	Run003
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, POR, AOI, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time	Type	Trial	L Pupil Diameter [mm]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B AOI Hit	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1	B Event Info
2717558959	SMP	1	4.00	4.00	20.22	648.24	174.65	403.12	-82.77	711.83	-	32.46	2.11	-25.20	-31.60	2.70	-24.30	0.36	-0.08	0.93	0.54	-0.24	0.81	00:00:00:00		Saccade
2717592529	SMP	1	3.84	3.64	307.62	558.64	434.56	382.68	259.73	519.36	-	32.85	1.84	-25.47	-31.60	2.70	-24.30	0.15	-0.06	0.99	0.33	-0.12	0.94	00:00:00:00		Saccade
2717625579	SMP	1	4.12	3.64	248.06	532.21	450.43	305.12	191.35	493.25	-	33.07	1.69	-25.61	-31.60	2.70	-24.30	0.14	0.00	0.99	0.38	-0.10	0.92	00:00:00:01		Saccade
2717658843	SMP	1	4.26	3.70	260.32	555.41	461.43	278.60	250.31	515.50	-	33.22	1.57	-25.68	-31.60	2.70	-24.30	0.13	0.03	0.99	0.34	-0.12	0.93	00:00:00:02		Saccade
2717692260	SMP	1	4.40	3.70	379.19	390.22	478.15	262.64	331.46	382.43	-	33.33	1.50	-25.73	-31.11	1.57	-24.83	0.12	0.04	0.99	0.28	-0.01	0.96	00:00:00:03		Saccade
2717725463	SMP	1	4.38	3.78	405.62	331.70	481.23	247.93	361.85	314.32	-	33.41	1.44	-25.76	-30.85	1.06	-24.99	0.11	0.05	0.99	0.25	0.05	0.97	00:00:00:04		Saccade
2717758697	SMP	1	4.42	4.02	382.58	326.47	489.40	243.26	323.22	291.99	-	33.47	1.39	-25.78	-30.85	1.06	-24.99	0.11	0.06	0.99	0.28	0.07	0.96	00:00:00:04		Fixation
2717792175	SMP	1	4.46	4.12	379.16	319.65	495.94	234.65	313.51	284.61	-	33.52	1.35	-25.80	-30.85	1.06	-24.99	0.10	0.06	0.99	0.29	0.07	0.96	00:00:00:05		Fixation
2717825286	SMP	1	4.44	4.14	383.53	294.48	496.48	224.30	325.51	248.94	-	33.55	1.32	-25.81	-30.70	0.79	-25.06	0.10	0.07	0.99	0.27	0.10	0.96	00:00:00:06		Fixation
2717858551	SMP	1	4.44	4.22	395.20	290.95	497.01	217.98	339.08	257.62	-	33.58	1.29	-25.82	-30.70	0.79	-25.06	0.10	0.08	0.99	0.26	0.09	0.96	00:00:00:07		Fixation
2717892150	SMP	1	4.50	4.14	380.50	288.34	500.27	217.16	316.73	244.35	-	33.60	1.27	-25.83	-30.70	0.79	-25.06	0.10	0.08	0.99	0.28	0.11	0.95	00:00:00:08		Fixation
