## [BeGaze]
## Converted from:	E:\aware home\Quick Run\p11r2-[77248a8d-212d-42ba-bff2-db68cc4e89f7]\p11r2-2-unified.smi
## Date:	14.01.2014 22:11:50
## Version:	BeGaze 3.4.46
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	p11r2-2-recording.avi
## Number of Samples:	21949
## Reversed:	none
## [Run]
## Subject:	p11r2-2-unified
## Description:	Run002
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, POR, AOI, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time	Type	Trial	L Pupil Diameter [mm]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B AOI Hit	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1	B Event Info
3242490936	SMP	1	4.00	4.00	1109.07	960.19	1680.18	1577.75	558.86	1032.34	-	31.60	2.70	-24.30	-31.44	2.65	-24.68	0.56	0.65	-0.52	0.08	-0.52	0.85	00:00:00:00		Blink
3242524169	SMP	1	2.14	2.64	499.84	675.23	302.08	848.83	576.66	1001.19	-	31.60	2.70	-24.30	-31.35	2.58	-24.83	0.25	-0.43	0.87	0.07	-0.50	0.86	00:00:00:01		Blink
3242557434	SMP	1	2.38	2.92	540.97	682.99	377.78	867.54	587.65	991.53	-	31.97	3.55	-25.34	-31.31	2.56	-24.89	0.19	-0.45	0.87	0.06	-0.49	0.87	00:00:00:02		Blink
3242590881	SMP	1	2.30	2.68	578.91	644.36	381.19	889.85	648.57	884.67	-	31.97	3.55	-25.34	-31.26	2.44	-24.97	0.19	-0.46	0.87	0.01	-0.42	0.91	00:00:00:03		Blink
3242624084	SMP	1	2.36	2.62	556.15	597.11	341.41	807.46	654.46	876.02	-	31.97	3.55	-25.34	-31.21	2.36	-25.03	0.22	-0.40	0.89	0.01	-0.41	0.91	00:00:00:04		Fixation
3242657318	SMP	1	2.30	3.02	541.93	617.33	347.61	843.91	614.80	883.92	-	31.97	3.55	-25.34	-31.21	2.18	-25.13	0.22	-0.43	0.88	0.04	-0.42	0.91	00:00:00:04		Fixation
3242690551	SMP	1	2.62	2.58	550.16	589.81	341.20	818.46	640.08	850.49	-	31.97	3.55	-25.34	-31.19	2.11	-25.16	0.22	-0.41	0.88	0.02	-0.39	0.92	00:00:00:05		Fixation
3242723846	SMP	1	2.64	1.90	572.85	615.40	354.24	813.85	675.22	905.31	-	31.97	3.55	-25.34	-31.13	2.17	-25.14	0.21	-0.41	0.89	-0.01	-0.43	0.90	00:00:00:06		Fixation
3242757263	SMP	1	2.68	1.86	572.94	641.93	343.37	847.38	679.48	916.62	-	31.97	3.55	-25.34	-31.08	2.21	-25.13	0.22	-0.43	0.87	-0.01	-0.44	0.90	00:00:00:07		Fixation
3242790435	SMP	1	2.52	2.26	555.31	628.97	340.98	838.61	648.40	906.12	-	31.97	3.55	-25.34	-31.06	2.26	-25.11	0.22	-0.42	0.88	0.01	-0.43	0.90	00:00:00:07		Fixation
3242823730	SMP	1	2.54	2.50	559.64	628.30	346.69	830.43	653.44	915.02	-	31.97	3.55	-25.34	-31.03	2.30	-25.10	0.22	-0.42	0.88	0.01	-0.44	0.90	00:00:00:08		Fixation
