## [BeGaze]
## Converted from:	E:\Aware HOme\aware home recording unit 11-17\AwareHomeGazeStudy-RecordingUnit\p12r2-[5c22edcb-ae09-40ff-b1af-7e1196b7bfab]\p12r2-2-unified.smi
## Date:	04.11.2015 10:37:04
## Version:	BeGaze 3.4.46
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	p12r2-2-recording.avi
## Number of Samples:	17883
## Reversed:	none
## [Run]
## Subject:	p12r2-2-unified
## Description:	Run005
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, POR, AOI, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time	Type	Trial	L Pupil Diameter [mm]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B AOI Hit	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1	B Event Info
2505134002	SMP	1	4.00	4.00	586.80	458.76	668.81	463.37	681.68	459.82	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.04	-0.13	0.99	-0.02	-0.08	1.00	00:00:00:00		Saccade
2505167266	SMP	1	4.00	0.00	586.14	465.85	668.46	469.91	682.95	459.08	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.04	-0.14	0.99	-0.02	-0.08	1.00	00:00:00:01		Saccade
2505200500	SMP	1	4.00	4.00	588.38	460.35	670.71	464.96	683.21	458.08	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.05	-0.13	0.99	-0.02	-0.07	1.00	00:00:00:02		Fixation
2505233734	SMP	1	4.00	0.00	587.18	465.31	669.38	469.36	683.69	457.52	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.04	-0.14	0.99	-0.02	-0.07	1.00	00:00:00:02		Fixation
2505267120	SMP	1	4.00	4.00	584.46	470.79	667.87	474.40	682.16	461.35	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.04	-0.14	0.99	-0.02	-0.08	1.00	00:00:00:03		Saccade
2505300384	SMP	1	4.00	4.00	580.70	513.75	672.27	503.18	683.06	454.67	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.05	-0.16	0.99	-0.02	-0.07	1.00	00:00:00:04		Saccade
2505333618	SMP	1	4.00	4.00	582.77	508.42	672.84	499.89	684.76	455.11	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.05	-0.16	0.99	-0.02	-0.07	1.00	00:00:00:05		Fixation
2505366882	SMP	1	4.00	4.00	576.56	533.53	669.40	514.13	685.32	461.51	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.05	-0.17	0.98	-0.02	-0.08	1.00	00:00:00:06		Fixation
2505400115	SMP	1	4.00	4.00	581.24	515.14	671.05	504.77	686.73	461.57	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.05	-0.17	0.98	-0.02	-0.08	1.00	00:00:00:06		Fixation
2505433563	SMP	1	4.00	4.00	583.38	510.12	671.63	500.69	688.22	459.39	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.05	-0.16	0.99	-0.02	-0.08	1.00	00:00:00:07		Fixation
2505466735	SMP	1	4.00	4.00	583.50	507.93	671.43	499.58	688.07	459.76	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.05	-0.16	0.99	-0.02	-0.08	1.00	00:00:00:08		Fixation
2505500000	SMP	1	4.00	0.00	581.40	511.46	669.43	499.04	686.22	453.92	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.05	-0.16	0.99	-0.02	-0.07	1.00	00:00:00:09		Saccade
2505533264	SMP	1	4.00	4.00	468.90	602.34	597.53	492.60	624.28	415.44	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	0.02	-0.16	0.99	0.03	-0.04	1.00	00:00:00:10		Saccade
2505566497	SMP	1	4.00	4.00	462.98	576.52	588.15	489.54	611.27	412.87	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	0.03	-0.15	0.99	0.04	-0.04	1.00	00:00:00:10		Fixation
2505599884	SMP	1	4.00	4.00	449.25	607.33	586.75	491.92	613.34	413.50	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	0.03	-0.16	0.99	0.04	-0.04	1.00	00:00:00:11		Fixation
2505633117	SMP	1	4.00	4.00	449.59	615.40	585.75	503.19	614.72	427.72	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	0.03	-0.17	0.99	0.04	-0.05	1.00	00:00:00:12		Fixation
2505666381	SMP	1	4.00	4.00	461.82	586.90	585.99	495.99	615.05	425.65	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	0.03	-0.16	0.99	0.04	-0.05	1.00	00:00:00:13		Fixation
