## [BeGaze]
## Converted from:	E:\Aware HOme\aware home recording unit 11-17\AwareHomeGazeStudy-RecordingUnit\p19b-[f36593db-d331-440c-9998-3f3df3ab1012]\p19b-4-unified.smi
## Date:	04.11.2015 10:37:04
## Version:	BeGaze 3.4.46
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	p19b-4-recording.avi
## Number of Samples:	24042
## Reversed:	none
## [Run]
## Subject:	p19b-4-unified
## Description:	Run011
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, POR, AOI, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time	Type	Trial	L Pupil Diameter [mm]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B AOI Hit	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1	B Event Info
6539627960	SMP	1	4.00	4.00	530.69	1010.17	325.02	1415.44	903.88	483.83	-	33.35	4.03	-33.53	-32.21	4.74	-31.12	0.19	-0.73	0.66	-0.20	-0.10	0.97	00:00:00:00		-
6539661193	SMP	1	2.80	2.60	575.69	932.65	650.75	946.67	665.27	866.75	-	33.35	4.03	-33.53	-32.33	4.99	-31.87	-0.03	-0.51	0.86	0.00	-0.41	0.91	00:00:00:01		Saccade
6539694488	SMP	1	3.32	3.32	479.74	722.24	499.13	784.70	583.93	638.09	-	33.56	3.90	-34.39	-32.33	4.99	-31.87	0.10	-0.39	0.92	0.07	-0.23	0.97	00:00:00:01		Saccade
6539727813	SMP	1	3.42	3.52	403.88	677.21	446.31	753.92	465.30	584.90	-	33.68	3.93	-35.09	-32.38	4.97	-32.07	0.14	-0.37	0.92	0.17	-0.18	0.97	00:00:00:02		Fixation
6539761077	SMP	1	3.44	3.46	418.01	645.10	472.85	695.87	463.89	584.33	-	33.97	3.74	-35.80	-32.41	4.94	-32.16	0.12	-0.32	0.94	0.17	-0.18	0.97	00:00:00:03		Fixation
6539794372	SMP	1	3.60	3.52	425.04	616.41	484.05	658.30	463.71	568.58	-	34.12	3.72	-36.10	-32.46	4.95	-32.25	0.11	-0.29	0.95	0.17	-0.17	0.97	00:00:00:04		Fixation
6539827575	SMP	1	3.64	3.58	426.10	599.24	485.38	631.61	462.06	563.48	-	34.23	3.69	-36.29	-32.51	4.99	-32.34	0.11	-0.27	0.96	0.17	-0.16	0.97	00:00:00:05		Fixation
6539860839	SMP	1	3.58	3.58	427.96	593.21	486.38	624.45	464.32	559.37	-	34.23	3.69	-36.29	-32.54	5.02	-32.40	0.11	-0.27	0.96	0.17	-0.16	0.97	00:00:00:05		Fixation
6539894256	SMP	1	3.68	3.62	432.82	584.01	492.76	613.33	467.14	553.20	-	34.27	3.70	-36.38	-32.56	5.04	-32.44	0.10	-0.26	0.96	0.17	-0.15	0.97	00:00:00:06		Fixation
6539927459	SMP	1	3.70	3.62	442.71	571.66	509.23	598.30	470.18	544.86	-	34.33	3.66	-36.48	-32.58	5.05	-32.48	0.09	-0.24	0.97	0.16	-0.15	0.98	00:00:00:07		Saccade
