clip_name,start_frame,start_time_fmt,action_name,verb_name,noun_names,start_time_ms,end_time_ms,end_time_fmt,end_frame,verb_id,action_id,noun_ids
OP01-R01-PastaSalad,1597,01:06.680,Take pasta_container,Take,pasta_container,66680,68130,01:08.130,1639,3,73,42
OP01-R01-PastaSalad,1749,01:13.155,"Pour water,faucet,pot",Pour,"water,faucet,pot",73155,75795,01:15.795,1826,16,87,"49,5,26"
OP01-R01-PastaSalad,1776,01:14.590,"Pour water,faucet,pot",Pour,"water,faucet,pot",74590,80740,01:20.740,1952,16,87,"49,5,26"
OP01-R01-PastaSalad,1938,01:20.995,Move Around pot,Move Around,pot,80995,83228,01:23.228,2003,9,101,26
OP01-R01-PastaSalad,1994,01:23.270,Put pot,Put,pot,83270,85240,01:25.240,2050,6,33,26
OP01-R01-PastaSalad,2046,01:25.350,Take pasta_container,Take,pasta_container,85350,86380,01:26.380,2076,3,73,42
OP01-R01-PastaSalad,2073,01:26.460,Take pasta_container,Take,pasta_container,86460,87420,01:27.420,2101,3,73,42
OP01-R01-PastaSalad,2235,01:33.275,"Put trash,trash_container",Put,"trash,trash_container",93275,94665,01:34.665,2275,6,19,"15,16"
OP01-R01-PastaSalad,2553,01:46.910,Inspect/Read recipe,Inspect/Read,recipe,106910,112100,01:52.100,2703,1,1,1
OP01-R01-PastaSalad,2697,01:52.570,Take eating_utensil,Take,eating_utensil,112570,114230,01:54.230,2746,3,3,3
OP01-R01-PastaSalad,2751,01:54.950,Inspect/Read recipe,Inspect/Read,recipe,114950,117820,01:57.820,2835,1,1,1
OP01-R01-PastaSalad,2766,01:55.460,Inspect/Read recipe,Inspect/Read,recipe,115460,117540,01:57.540,2826,1,1,1
OP01-R01-PastaSalad,2846,01:58.770,Put eating_utensil,Put,eating_utensil,118770,120420,02:00.420,2895,6,6,3
OP01-R01-PastaSalad,2919,02:01.790,Open fridge,Open,fridge,121790,123230,02:03.230,2961,2,2,2
OP01-R01-PastaSalad,2948,02:03.365,Take tomato,Take,tomato,123365,128265,02:08.265,3091,3,48,4
OP01-R01-PastaSalad,3092,02:09.150,Close fridge,Close,fridge,129150,132000,02:12.000,3175,8,11,2
OP01-R01-PastaSalad,3204,02:13.685,Take eating_utensil,Take,eating_utensil,133685,135325,02:15.325,3252,3,3,3
OP01-R01-PastaSalad,3210,02:15.590,Cut tomato,Cut,tomato,135590,154120,02:34.120,3743,4,4,4
OP01-R01-PastaSalad,3731,02:36.575,Cut tomato,Cut,tomato,156575,167455,02:47.455,4045,4,4,4
OP01-R01-PastaSalad,3733,02:35.635,Take tomato,Take,tomato,155635,156645,02:36.645,3762,3,48,4
OP01-R01-PastaSalad,4063,02:49.990,Cut tomato,Cut,tomato,169990,176650,02:56.650,4256,4,4,4
OP01-R01-PastaSalad,4265,02:59.365,Cut tomato,Cut,tomato,179365,195910,03:15.910,4741,4,4,4
OP01-R01-PastaSalad,4775,03:20.375,Cut tomato,Cut,tomato,200375,214465,03:34.465,5182,4,4,4
OP01-R01-PastaSalad,5257,03:39.230,Cut tomato,Cut,tomato,219230,221040,03:41.040,5309,4,4,4
OP01-R01-PastaSalad,5312,03:41.440,Cut tomato,Cut,tomato,221440,222450,03:42.450,5341,4,4,4
OP01-R01-PastaSalad,5370,03:43.965,Open fridge,Open,fridge,223965,226275,03:46.275,5436,2,2,2
OP01-R01-PastaSalad,5428,03:46.305,Put tomato,Put,tomato,226305,227875,03:47.875,5472,6,40,4
OP01-R01-PastaSalad,5467,03:47.925,Take onion,Take,onion,227925,229425,03:49.425,5510,3,55,11
OP01-R01-PastaSalad,5587,03:53.420,Inspect/Read recipe,Inspect/Read,recipe,233420,239780,03:59.780,5770,1,1,1
OP01-R01-PastaSalad,5801,04:01.965,Open fridge,Open,fridge,241965,244385,04:04.385,5872,2,2,2
OP01-R01-PastaSalad,5863,04:04.430,Take bell_pepper,Take,bell_pepper,244430,245930,04:05.930,5906,3,64,17
OP01-R01-PastaSalad,5910,04:06.605,Close fridge,Close,fridge,246605,249935,04:09.935,6007,8,11,2
OP01-R01-PastaSalad,6013,04:10.740,Put bell_pepper,Put,bell_pepper,250740,252410,04:12.410,6062,6,71,17
OP01-R01-PastaSalad,6032,04:11.490,Take eating_utensil,Take,eating_utensil,251490,252970,04:12.970,6075,3,3,3
OP01-R01-PastaSalad,6076,04:13.960,Cut bell_pepper,Cut,bell_pepper,253960,261990,04:21.990,6307,4,21,17
OP01-R01-PastaSalad,6335,04:24.115,Put bell_pepper,Put,bell_pepper,264115,265395,04:25.395,6373,6,71,17
OP01-R01-PastaSalad,6336,04:25.500,Cut bell_pepper,Cut,bell_pepper,265500,280490,04:40.490,6768,4,21,17
OP01-R01-PastaSalad,6787,04:43.580,Cut bell_pepper,Cut,bell_pepper,283580,291090,04:51.090,7005,4,21,17
OP01-R01-PastaSalad,6979,04:51.090,Cut bell_pepper,Cut,bell_pepper,291090,294050,04:54.050,7065,4,21,17
OP01-R01-PastaSalad,7039,04:54.050,Cut bell_pepper,Cut,bell_pepper,294050,301510,05:01.510,7255,4,21,17
OP01-R01-PastaSalad,7264,05:02.765,Take bell_pepper,Take,bell_pepper,302765,303915,05:03.915,7296,3,64,17
OP01-R01-PastaSalad,7285,05:03.925,Cut bell_pepper,Cut,bell_pepper,303925,307665,05:07.665,7393,4,21,17
OP01-R01-PastaSalad,7412,05:08.925,Put bell_pepper,Put,bell_pepper,308925,309915,05:09.915,7440,6,71,17
OP01-R01-PastaSalad,7427,05:10.355,Cut bell_pepper,Cut,bell_pepper,310355,319185,05:19.185,7682,4,21,17
OP01-R01-PastaSalad,7823,05:26.105,Take plate,Take,plate,326105,327525,05:27.525,7864,3,16,13
OP01-R01-PastaSalad,8006,05:33.745,Put plate,Put,plate,333745,334965,05:34.965,8043,6,20,13
OP01-R01-PastaSalad,8059,05:35.890,Take cooking_utensil,Take,cooking_utensil,335890,336780,05:36.780,8085,3,30,18
OP01-R01-PastaSalad,8076,05:36.840,Mix pasta,Mix,pasta,336840,340380,05:40.380,8178,15,81,45
OP01-R01-PastaSalad,8167,05:40.435,Put cooking_utensil,Put,cooking_utensil,340435,341915,05:41.915,8209,6,22,18
OP01-R01-PastaSalad,8223,05:43.100,Inspect/Read recipe,Inspect/Read,recipe,343100,347660,05:47.660,8355,1,1,1
OP01-R01-PastaSalad,8378,05:49.555,Open fridge,Open,fridge,349555,354085,05:54.085,8510,2,2,2
OP01-R01-PastaSalad,8450,05:52.255,Put bell_pepper,Put,bell_pepper,352255,354095,05:54.095,8503,6,71,17
OP01-R01-PastaSalad,8489,05:54.120,Take cucumber,Take,cucumber,354120,358110,05:58.110,8604,3,62,8
OP01-R01-PastaSalad,8615,05:59.140,Open fridge_drawer,Open,fridge_drawer,359140,360950,06:00.950,8667,2,38,27
OP01-R01-PastaSalad,8665,06:01.310,Take onion,Take,onion,361310,363870,06:03.870,8739,3,55,11
OP01-R01-PastaSalad,8738,06:04.190,Close fridge_drawer,Close,fridge_drawer,364190,365310,06:05.310,8770,8,98,27
OP01-R01-PastaSalad,8757,06:05.315,Close fridge,Close,fridge,365315,369415,06:09.415,8876,8,11,2
OP01-R01-PastaSalad,8883,06:10.210,Put cucumber,Put,cucumber,370210,371140,06:11.140,8910,6,89,8
OP01-R01-PastaSalad,8938,06:14.095,Cut cucumber,Cut,cucumber,374095,390795,06:30.795,9420,4,9,8
OP01-R01-PastaSalad,9358,06:30.080,Put cucumber,Put,cucumber,390080,391350,06:31.350,9396,6,89,8
OP01-R01-PastaSalad,9389,06:32.245,Cut cucumber,Cut,cucumber,392245,402145,06:42.145,9676,4,9,8
OP01-R01-PastaSalad,9630,06:43.095,Cut cucumber,Cut,cucumber,403095,421695,07:01.695,10165,4,9,8
OP01-R01-PastaSalad,10010,06:57.230,Cut cucumber,Cut,cucumber,417230,418590,06:58.590,10050,4,9,8
OP01-R01-PastaSalad,10154,07:03.235,Cut cucumber,Cut,cucumber,423235,424745,07:04.745,10197,4,9,8
OP01-R01-PastaSalad,10179,07:04.610,Cut cucumber,Cut,cucumber,424610,429120,07:09.120,10310,4,9,8
OP01-R01-PastaSalad,10354,07:12.970,Cut cucumber,Cut,cucumber,432970,448680,07:28.680,10806,4,9,8
OP01-R01-PastaSalad,10877,07:33.990,Cut cucumber,Cut,cucumber,453990,461530,07:41.530,11095,4,9,8
OP01-R01-PastaSalad,11079,07:41.745,Put cucumber,Put,cucumber,461745,462575,07:42.575,11104,6,89,8
OP01-R01-PastaSalad,11171,07:45.585,Cut cucumber,Cut,cucumber,465585,466945,07:46.945,11210,4,9,8
OP01-R01-PastaSalad,11294,07:51.335,Cut onion,Cut,onion,471335,478965,07:58.965,11514,4,14,11
OP01-R01-PastaSalad,11524,08:00.380,Cut onion,Cut,onion,480380,482380,08:02.380,11583,4,14,11
OP01-R01-PastaSalad,11723,08:08.570,Operate stove,Operate,stove,488570,489510,08:09.510,11751,7,10,9
OP01-R01-PastaSalad,11767,08:10.380,Take cooking_utensil,Take,cooking_utensil,490380,491280,08:11.280,11793,3,30,18
OP01-R01-PastaSalad,12023,08:21.115,Operate stove,Operate,stove,501115,502525,08:22.525,12064,7,10,9
OP01-R01-PastaSalad,12091,08:26.660,Cut onion,Cut,onion,506660,535220,08:55.220,12914,4,14,11
OP01-R01-PastaSalad,12943,08:59.445,Take onion,Take,onion,539445,540905,09:00.905,12985,3,55,11
OP01-R01-PastaSalad,12977,09:01.180,Cut onion,Cut,onion,541180,545670,09:05.670,13108,4,14,11
OP01-R01-PastaSalad,13136,09:07.430,Take onion,Take,onion,547430,548240,09:08.240,13160,3,55,11
OP01-R01-PastaSalad,13193,09:09.810,Cut onion,Cut,onion,549810,550780,09:10.780,13221,4,14,11
OP01-R01-PastaSalad,13220,09:10.960,Put onion,Put,onion,550960,552520,09:12.520,13264,6,92,11
OP01-R01-PastaSalad,13229,09:11.355,Put cucumber,Put,cucumber,551355,552555,09:12.555,13265,6,89,8
OP01-R01-PastaSalad,13270,09:13.010,Take onion,Take,onion,553010,553830,09:13.830,13294,3,55,11
OP01-R01-PastaSalad,13316,09:15.085,Open fridge,Open,fridge,555085,557735,09:17.735,13392,2,2,2
OP01-R01-PastaSalad,13382,09:17.745,Open fridge_drawer,Open,fridge_drawer,557745,559045,09:19.045,13421,2,38,27
OP01-R01-PastaSalad,13529,09:23.835,Open fridge,Open,fridge,563835,565185,09:25.185,13568,2,2,2
OP01-R01-PastaSalad,13562,09:25.185,Close fridge,Close,fridge,565185,566165,09:26.165,13590,8,11,2
OP01-R01-PastaSalad,13587,09:26.350,Put cucumber,Put,cucumber,566350,568380,09:28.380,13647,6,89,8
OP01-R01-PastaSalad,13761,09:33.460,Take plate,Take,plate,573460,574400,09:34.400,13788,3,16,13
OP01-R01-PastaSalad,13992,09:43.110,Inspect/Read recipe,Inspect/Read,recipe,583110,583940,09:43.940,14017,1,1,1
OP01-R01-PastaSalad,13995,09:44.131,Inspect/Read recipe,Inspect/Read,recipe,584131,594161,09:54.161,14284,1,1,1
OP01-R01-PastaSalad,14315,09:56.730,Open fridge,Open,fridge,596730,599450,09:59.450,14393,2,2,2
OP01-R01-PastaSalad,14734,10:14.110,Open fridge_drawer,Open,fridge_drawer,614110,615705,10:15.705,14781,2,38,27
OP01-R01-PastaSalad,14774,10:15.705,Close fridge_drawer,Close,fridge_drawer,615705,616755,10:16.755,14805,8,98,27
OP01-R01-PastaSalad,14830,10:18.030,Close drawer,Close,drawer,618030,618990,10:18.990,14858,8,78,12
