## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Alireza_2012_04_15_003.etg.data\Alireza_2012_04_15_003-5fa57df2-a608-4ea9-99fc-3fa07811363d\Alireza_2012_04_15_003-2-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	14316
## Reversed:	none
## [Run]
## Subject:	Alireza_2012_04_15_003
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
863407646	SMP	1	922.38	245.71	0		Fixation
863440550	SMP	1	925.03	243.57	2		Fixation
863471129	SMP	1	917.86	240.07	2		Fixation
863537539	SMP	1	917.74	232.46	4		Saccade
863570775	SMP	1	900.32	234.85	4		Saccade
863603834	SMP	1	851.62	233.28	5		Fixation
863638372	SMP	1	857.09	228.07	6		Fixation
863670964	SMP	1	855.90	230.70	7		Fixation
863703401	SMP	1	859.41	228.47	8		Fixation
863737708	SMP	1	856.05	230.82	8		Fixation
863770455	SMP	1	856.59	228.78	9		Fixation
863803468	SMP	1	860.21	226.98	10		Fixation
863837875	SMP	1	863.85	222.97	11		Fixation
863870705	SMP	1	864.20	227.45	12		Fixation
863902733	SMP	1	856.80	225.99	12		Fixation
863935612	SMP	1	860.24	245.16	13		Fixation
863969309	SMP	1	852.46	286.06	14		Fixation
864003769	SMP	1	853.74	288.01	14		Saccade
864036712	SMP	1	844.67	259.22	15		Saccade
864069376	SMP	1	871.37	208.01	16		Fixation
864103747	SMP	1	895.86	206.12	17		Fixation
864137500	SMP	1	914.25	204.64	18		Fixation
864169162	SMP	1	915.12	200.79	19		Fixation
864203135	SMP	1	927.66	198.36	20		Fixation
864235087	SMP	1	909.92	198.35	20		Fixation
864268605	SMP	1	909.94	195.56	21		Fixation
864301698	SMP	1	913.72	192.13	22		Fixation
864335992	SMP	1	905.32	190.17	23		Saccade
864370196	SMP	1	888.58	198.80	24		Saccade
864401381	SMP	1	816.05	230.13	24		Fixation
864435547	SMP	1	814.92	227.19	25		Fixation
864468489	SMP	1	820.96	231.73	26		Fixation
864503318	SMP	1	809.70	261.14	27		Fixation
864535093	SMP	1	789.50	287.73	27		Fixation
864568980	SMP	1	789.48	284.84	28		Saccade
864602055	SMP	1	793.15	287.42	29		Saccade
864634409	SMP	1	749.35	244.84	30		Fixation
864668095	SMP	1	761.97	254.45	31		Fixation
864702014	SMP	1	765.96	255.47	32		Fixation
864735004	SMP	1	767.62	249.40	32		Fixation
864769033	SMP	1	785.89	246.99	33		Fixation
864801181	SMP	1	788.70	237.05	34		Fixation
864835508	SMP	1	796.26	236.83	35		Fixation
864869109	SMP	1	793.07	238.93	36		Fixation
864901647	SMP	1	792.95	236.10	36		Fixation
864935545	SMP	1	793.19	238.91	37		Fixation
864967435	SMP	1	792.24	243.51	38		Fixation
865001196	SMP	1	789.06	250.39	39		Fixation
865034689	SMP	1	783.89	267.48	40		Fixation
865067176	SMP	1	744.44	282.69	40		Saccade
865101358	SMP	1	743.86	280.66	41		Saccade
865134560	SMP	1	746.58	338.65	42		Saccade
865168805	SMP	1	734.74	261.34	43		Fixation
865201145	SMP	1	737.05	276.01	43		Fixation
865234116	SMP	1	751.23	279.81	44		Fixation
865267540	SMP	1	749.63	276.04	46		Fixation
865299910	SMP	1	750.86	273.06	46		Fixation
865333464	SMP	1	750.34	273.21	47		Fixation
865368917	SMP	1	749.74	270.55	48		Fixation
865400999	SMP	1	748.64	273.12	48		Fixation
865433754	SMP	1	747.81	284.82	49		Saccade
865467322	SMP	1	744.08	324.32	50		Saccade
865500310	SMP	1	718.28	405.54	51		Saccade
865534051	SMP	1	734.30	381.22	52		Saccade
865566878	SMP	1	738.85	348.90	52		Saccade
865600144	SMP	1	763.16	276.77	53		Fixation
865634166	SMP	1	761.12	276.01	54		Fixation
865666639	SMP	1	763.41	271.41	55		Fixation
865700239	SMP	1	762.29	270.96	55		Fixation
865734501	SMP	1	761.54	263.89	56		Fixation
865767367	SMP	1	762.11	260.83	57		Fixation
865799277	SMP	1	764.47	262.27	58		Fixation
865834825	SMP	1	758.39	258.78	59		Fixation
865865501	SMP	1	755.66	257.58	60		Fixation
865899701	SMP	1	757.73	261.00	60		Fixation
865932612	SMP	1	756.02	293.53	61		Fixation
865967051	SMP	1	756.10	293.59	62		Saccade
866000632	SMP	1	756.11	293.59	62		Saccade
866032010	SMP	1	771.01	251.93	63		Saccade
866066071	SMP	1	784.16	262.11	64		Saccade
866100479	SMP	1	821.37	226.41	65		Fixation
866133332	SMP	1	820.31	222.20	66		Fixation
866165417	SMP	1	821.57	219.42	66		Fixation
866198109	SMP	1	820.10	217.72	68		Fixation
866232486	SMP	1	821.22	217.01	68		Fixation
866265224	SMP	1	821.36	218.65	69		Fixation
866298847	SMP	1	823.48	219.07	70		Fixation
866333445	SMP	1	817.26	221.91	71		Fixation
866364564	SMP	1	817.04	241.41	71		Fixation
866398699	SMP	1	807.17	251.89	72		Fixation
866431339	SMP	1	807.05	249.68	72		Fixation
866464357	SMP	1	805.57	247.15	74		Fixation
866498246	SMP	1	796.75	227.03	74		Fixation
866532572	SMP	1	799.78	252.32	75		Fixation
866564233	SMP	1	816.44	244.61	76		Fixation
866598648	SMP	1	814.90	242.39	77		Fixation
866631648	SMP	1	814.89	236.42	78		Fixation
866665270	SMP	1	815.68	236.66	79		Fixation
866697834	SMP	1	815.94	234.23	80		Fixation
866732265	SMP	1	816.59	230.36	80		Fixation
866763886	SMP	1	819.78	229.43	81		Fixation
866797792	SMP	1	817.85	232.99	82		Fixation
866830465	SMP	1	812.95	234.86	83		Saccade
866865230	SMP	1	801.15	267.03	83		Saccade
866898174	SMP	1	739.19	423.57	84		Fixation
866931438	SMP	1	731.06	455.12	85		Fixation
866964392	SMP	1	734.64	442.66	86		Fixation
866997988	SMP	1	735.06	438.71	86		Fixation
867030486	SMP	1	736.29	466.01	87		Fixation
867063994	SMP	1	735.88	467.41	89		Saccade
867098199	SMP	1	736.08	467.65	89		Saccade
867131406	SMP	1	708.63	627.58	90		Saccade
867164248	SMP	1	734.88	539.57	91		Fixation
867196229	SMP	1	742.81	538.07	91		Fixation
867230674	SMP	1	742.45	518.51	92		Fixation
867263945	SMP	1	744.90	498.33	93		Fixation
867297330	SMP	1	743.30	485.03	94		Saccade
867329924	SMP	1	748.73	491.99	95		Saccade
867363588	SMP	1	787.43	521.35	95		Fixation
867396987	SMP	1	787.42	521.32	96		Fixation
867429509	SMP	1	796.01	514.29	97		Fixation
867464298	SMP	1	801.71	517.87	98		Fixation
867496659	SMP	1	793.56	501.99	99		Fixation
867529689	SMP	1	794.60	493.93	100		Fixation
867563077	SMP	1	795.86	484.88	100		Fixation
867597212	SMP	1	792.48	480.38	101		Saccade
867629893	SMP	1	797.49	481.21	102		Saccade
867663481	SMP	1	914.78	568.97	103		Saccade
867696341	SMP	1	870.65	528.40	104		Fixation
867729599	SMP	1	869.75	534.07	104		Fixation
867763203	SMP	1	865.77	559.82	105		Fixation
867795449	SMP	1	869.49	560.60	106		Fixation
867830160	SMP	1	866.58	560.31	106		Saccade
867863625	SMP	1	870.85	559.54	107		Saccade
867896458	SMP	1	839.74	478.72	109		Fixation
867929570	SMP	1	860.89	494.71	109		Fixation
867963368	SMP	1	873.03	486.73	110		Fixation
867996057	SMP	1	869.95	487.48	111		Fixation
868028290	SMP	1	892.14	488.14	111		Fixation
868062246	SMP	1	889.77	483.95	112		Fixation
868095494	SMP	1	888.29	486.92	113		Fixation
868128533	SMP	1	888.51	486.03	114		Fixation
868161916	SMP	1	887.01	487.37	115		Fixation
868195858	SMP	1	887.51	490.23	116		Saccade
868229297	SMP	1	885.00	499.54	116		Saccade
868262536	SMP	1	888.14	547.01	117		Saccade
868295476	SMP	1	894.81	561.55	118		Saccade
868329507	SMP	1	895.30	561.31	118		Saccade
868361043	SMP	1	829.00	483.69	120		Fixation
868394947	SMP	1	834.78	452.47	120		Fixation
868428820	SMP	1	834.41	457.85	121		Fixation
868462623	SMP	1	854.16	462.90	122		Fixation
868496207	SMP	1	893.66	467.18	123		Fixation
868560577	SMP	1	888.56	467.99	124		Saccade
868593939	SMP	1	885.89	479.73	125		Saccade
868627828	SMP	1	844.54	649.14	126		Saccade
868660925	SMP	1	860.49	516.26	126		Saccade
868693964	SMP	1	856.25	521.51	127		Saccade
868727218	SMP	1	726.09	461.96	128		Fixation
868760463	SMP	1	723.20	447.54	129		Fixation
868793679	SMP	1	724.99	446.41	130		Fixation
868827264	SMP	1	726.11	441.50	131		Fixation
868860763	SMP	1	726.23	441.46	132		Fixation
868894107	SMP	1	723.90	446.10	132		Fixation
868926714	SMP	1	722.34	461.53	132		Fixation
868960390	SMP	1	724.81	463.16	133		Fixation
868993713	SMP	1	724.41	459.22	134		Fixation
869026582	SMP	1	724.38	459.04	135		Saccade
869059843	SMP	1	719.11	475.56	136		Saccade
869093623	SMP	1	767.23	485.11	137		Fixation
869126187	SMP	1	766.10	483.02	137		Fixation
869161332	SMP	1	768.78	479.94	138		Fixation
869197087	SMP	1	768.88	475.57	140		Saccade
869238402	SMP	1	764.23	471.50	140		Saccade
869303538	SMP	1	670.28	353.17	142		Saccade
869328086	SMP	1	653.80	303.62	145		Fixation
869371320	SMP	1	654.03	303.27	145		Fixation
869426587	SMP	1	656.34	309.55	146		Fixation
869462062	SMP	1	656.57	312.59	147		Fixation
869497919	SMP	1	654.54	316.02	148		Fixation
869563859	SMP	1	653.88	318.27	150		Fixation
869595103	SMP	1	655.15	316.56	151		Fixation
869629548	SMP	1	653.94	317.39	151		Fixation
869660906	SMP	1	651.87	315.86	152		Saccade
869692621	SMP	1	652.92	340.52	152		Saccade
869736755	SMP	1	655.63	476.71	152		Saccade
869759041	SMP	1	655.61	471.79	152		Saccade
869792328	SMP	1	658.69	447.93	153		Saccade
869835103	SMP	1	697.93	312.43	154		Fixation
869877934	SMP	1	700.12	309.33	155		Fixation
869895873	SMP	1	701.35	301.12	156		Fixation
869929320	SMP	1	701.46	296.46	157		Saccade
869960520	SMP	1	701.77	295.03	159		Saccade
869996171	SMP	1	713.57	342.06	159		Saccade
870027073	SMP	1	776.67	499.61	159		Fixation
870101641	SMP	1	748.56	509.04	161		Fixation
870163075	SMP	1	750.04	514.13	163		Saccade
870228255	SMP	1	749.23	531.22	164		Saccade
870262957	SMP	1	745.46	713.57	165		Saccade
870292696	SMP	1	740.03	633.51	165		Saccade
870339539	SMP	1	754.94	607.39	167		Saccade
870362124	SMP	1	759.92	503.42	167		Fixation
870391471	SMP	1	767.25	508.21	168		Fixation
870425656	SMP	1	764.71	509.23	169		Fixation
870458650	SMP	1	760.13	508.95	170		Fixation
870492026	SMP	1	759.54	517.09	171		Saccade
870525050	SMP	1	761.91	532.27	171		Saccade
870558684	SMP	1	350.86	683.56	172		Saccade
870591106	SMP	1	469.32	1409.25	172		Saccade
870623584	SMP	1	485.15	1372.43	173		Saccade
870658770	SMP	1	1062.32	1096.79	174		Saccade
870690800	SMP	1	753.02	514.61	175		Fixation
870723609	SMP	1	753.89	515.53	176		Fixation
870758104	SMP	1	755.43	514.15	177		Fixation
870791005	SMP	1	756.70	514.67	178		Fixation
870823214	SMP	1	757.66	512.30	178		Fixation
870857202	SMP	1	757.62	513.15	179		Fixation
870890685	SMP	1	755.68	511.05	180		Saccade
870924096	SMP	1	755.86	512.11	181		Saccade
870956905	SMP	1	812.46	538.85	182		Saccade
870990839	SMP	1	872.90	547.86	183		Saccade
871024593	SMP	1	966.83	568.93	184		Fixation
871057393	SMP	1	962.66	567.50	184		Fixation
871090929	SMP	1	966.74	566.84	185		Fixation
871123755	SMP	1	961.01	564.45	186		Fixation
871156380	SMP	1	959.52	564.18	187		Fixation
871190534	SMP	1	957.56	560.94	187		Fixation
871223309	SMP	1	957.30	559.59	188		Fixation
871256452	SMP	1	956.74	557.45	189		Fixation
871290310	SMP	1	957.97	556.05	190		Fixation
871323008	SMP	1	955.09	559.27	191		Saccade
871356622	SMP	1	951.26	573.54	191		Saccade
871389734	SMP	1	913.67	550.44	192		Saccade
871422620	SMP	1	913.70	552.94	192		Saccade
871455532	SMP	1	811.19	527.55	193		Fixation
871489390	SMP	1	817.33	531.03	194		Fixation
871522937	SMP	1	818.18	527.99	195		Fixation
871556490	SMP	1	816.24	527.13	196		Fixation
871589344	SMP	1	821.04	548.09	196		Fixation
871621995	SMP	1	820.53	548.21	197		Fixation
871655614	SMP	1	820.53	548.21	198		Saccade
871688959	SMP	1	846.59	576.17	199		Saccade
871722549	SMP	1	825.82	498.33	200		Fixation
871756385	SMP	1	825.55	500.17	201		Fixation
871789186	SMP	1	830.49	499.80	202		Fixation
871821477	SMP	1	820.06	498.72	203		Fixation
871855555	SMP	1	818.39	498.46	203		Fixation
871889548	SMP	1	818.29	498.66	204		Fixation
871921512	SMP	1	819.42	498.54	205		Saccade
871955554	SMP	1	833.89	506.00	206		Saccade
871989506	SMP	1	910.01	527.99	207		Fixation
872022221	SMP	1	901.68	526.09	207		Fixation
872055661	SMP	1	902.05	525.93	208		Fixation
872088052	SMP	1	901.11	525.73	209		Fixation
872122117	SMP	1	897.19	525.80	210		Fixation
872154666	SMP	1	896.29	524.36	211		Fixation
872188647	SMP	1	897.77	521.29	211		Saccade
872221918	SMP	1	900.14	520.73	212		Saccade
872255503	SMP	1	851.88	521.12	212		Saccade
872287659	SMP	1	799.29	516.55	213		Fixation
872321601	SMP	1	799.40	504.49	214		Fixation
872354017	SMP	1	802.67	502.76	215		Fixation
872388491	SMP	1	804.33	500.93	216		Fixation
872420698	SMP	1	815.73	510.95	217		Fixation
872454590	SMP	1	796.28	519.16	217		Fixation
872488038	SMP	1	790.91	533.28	218		Fixation
872520912	SMP	1	760.07	514.54	219		Fixation
872555277	SMP	1	755.74	478.91	220		Fixation
872588246	SMP	1	770.06	476.87	221		Fixation
872621727	SMP	1	771.07	473.50	222		Fixation
872654892	SMP	1	770.06	470.85	222		Fixation
872687347	SMP	1	770.51	469.11	223		Saccade
872720067	SMP	1	768.52	467.33	224		Saccade
872753866	SMP	1	841.40	521.98	225		Fixation
872787569	SMP	1	860.44	540.56	226		Fixation
872821083	SMP	1	858.68	538.83	226		Fixation
872854631	SMP	1	854.41	537.95	227		Fixation
872887231	SMP	1	857.53	538.46	228		Fixation
872920142	SMP	1	855.89	539.31	229		Saccade
872954037	SMP	1	859.14	543.97	230		Saccade
872987434	SMP	1	758.78	451.46	230		Saccade
873020406	SMP	1	687.01	393.19	231		Fixation
