## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Carlos_2012_06_29_American.etg.data\Carlos-10b75c4b-6252-48a7-8834-c70614cd6bf7\Carlos-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	21104
## Reversed:	none
## [Run]
## Subject:	Carlos
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
272478881	SMP	1	564.66	279.96	0		Fixation
272511966	SMP	1	558.28	282.61	1		Fixation
272545945	SMP	1	553.19	281.38	3		Fixation
272581220	SMP	1	552.07	280.66	4		Fixation
272614233	SMP	1	553.33	280.88	4		Fixation
272645108	SMP	1	552.43	280.35	5		Fixation
272677836	SMP	1	552.83	279.38	6		Fixation
272711951	SMP	1	551.87	280.13	7		Fixation
272744519	SMP	1	551.96	278.33	7		Fixation
272778267	SMP	1	551.28	280.76	8		Fixation
272812340	SMP	1	551.64	280.07	9		Saccade
272844636	SMP	1	551.01	279.25	10		Saccade
272877420	SMP	1	452.29	384.65	11		Saccade
272911606	SMP	1	420.55	485.00	11		Saccade
272944942	SMP	1	400.92	548.97	12		Saccade
272978217	SMP	1	361.40	692.09	13		Fixation
273011163	SMP	1	360.88	688.00	14		Fixation
273045227	SMP	1	366.27	682.24	15		Fixation
273078926	SMP	1	366.83	683.87	16		Fixation
273110972	SMP	1	360.86	687.15	16		Saccade
273144988	SMP	1	376.72	720.06	17		Saccade
273177791	SMP	1	470.99	784.51	17		Saccade
273210745	SMP	1	510.88	787.16	18		Saccade
273244591	SMP	1	657.64	895.97	19		Saccade
273278469	SMP	1	663.52	877.85	20		Saccade
273310711	SMP	1	678.09	884.58	20		Saccade
