## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Carlos_2012_06_29_Snack.etg.data\Carlos-75d4d97c-6854-4c6e-b585-87cf17871783\Carlos-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	13241
## Reversed:	none
## [Run]
## Subject:	Carlos
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
239610239	SMP	1	146.27	792.61	1		Fixation
239642646	SMP	1	144.91	793.88	2		Fixation
239709547	SMP	1	140.12	799.02	3		Fixation
239741202	SMP	1	136.16	802.98	4		Fixation
239775863	SMP	1	177.04	790.33	5		Fixation
239808304	SMP	1	168.90	786.05	5		Fixation
239841933	SMP	1	170.15	786.67	6		Fixation
239875033	SMP	1	169.98	789.50	7		Fixation
239909356	SMP	1	172.76	786.61	8		Fixation
239942242	SMP	1	171.93	777.21	9		Fixation
239975773	SMP	1	177.80	787.50	10		Fixation
240008188	SMP	1	177.07	787.70	10		Fixation
240040835	SMP	1	178.26	791.85	11		Fixation
240074200	SMP	1	177.19	791.31	11		Fixation
240107859	SMP	1	177.82	789.66	12		Fixation
240140886	SMP	1	176.64	789.71	13		Saccade
240176823	SMP	1	175.50	787.27	14		Saccade
240245944	SMP	1	117.11	808.35	16		Fixation
240277319	SMP	1	121.25	807.79	17		Fixation
240313332	SMP	1	120.99	809.74	18		Fixation
240375242	SMP	1	122.44	814.19	20		Fixation
240409199	SMP	1	120.24	808.61	20		Fixation
240442979	SMP	1	116.66	811.11	21		Fixation
240474710	SMP	1	119.21	811.00	21		Fixation
240508112	SMP	1	115.51	808.20	22		Fixation
240541840	SMP	1	113.16	814.64	23		Fixation
240573647	SMP	1	114.20	808.69	24		Fixation
240606729	SMP	1	115.71	810.25	25		Fixation
240640044	SMP	1	112.90	811.63	25		Fixation
240673655	SMP	1	113.54	811.71	26		Fixation
240706762	SMP	1	118.23	809.07	27		Fixation
240739536	SMP	1	121.79	809.73	28		Fixation
240774618	SMP	1	116.03	810.74	28		Fixation
240805924	SMP	1	113.86	814.83	29		Fixation
240840041	SMP	1	118.56	813.91	30		Fixation
240872905	SMP	1	115.90	816.08	31		Fixation
240906545	SMP	1	121.56	824.20	31		Fixation
240939789	SMP	1	119.26	812.46	32		Fixation
240972651	SMP	1	115.29	819.61	33		Saccade
241005951	SMP	1	116.74	810.60	34		Saccade
241039870	SMP	1	161.74	803.77	35		Fixation
241074043	SMP	1	184.95	794.41	36		Fixation
241106448	SMP	1	177.28	783.53	37		Fixation
241139909	SMP	1	176.99	797.35	37		Fixation
241171910	SMP	1	181.65	797.17	38		Fixation
241205932	SMP	1	181.33	801.25	39		Fixation
241240617	SMP	1	171.29	778.78	40		Fixation
241274989	SMP	1	170.94	799.33	41		Fixation
241339662	SMP	1	174.62	799.19	42		Fixation
241372181	SMP	1	174.51	801.01	43		Fixation
241405492	SMP	1	158.60	809.24	44		Fixation
241438394	SMP	1	176.29	799.78	44		Fixation
241472620	SMP	1	165.82	789.71	45		Fixation
241505991	SMP	1	168.80	789.21	46		Fixation
241537784	SMP	1	167.02	789.81	47		Fixation
241572298	SMP	1	171.09	812.62	48		Fixation
241605426	SMP	1	174.05	804.26	49		Fixation
241637991	SMP	1	167.30	806.39	49		Fixation
241671073	SMP	1	181.79	807.06	50		Fixation
241706402	SMP	1	179.77	813.36	51		Fixation
241738038	SMP	1	177.47	803.73	51		Fixation
241771628	SMP	1	166.93	806.81	52		Fixation
241804469	SMP	1	177.98	805.61	53		Fixation
241838425	SMP	1	174.78	805.26	54		Fixation
241871709	SMP	1	168.34	800.91	55		Fixation
241905068	SMP	1	168.35	811.34	55		Fixation
241937980	SMP	1	165.64	797.20	57		Fixation
241971661	SMP	1	165.24	800.01	57		Fixation
242005352	SMP	1	167.82	809.92	58		Fixation
242038384	SMP	1	163.65	797.07	59		Fixation
242072039	SMP	1	157.16	811.76	60		Fixation
242107318	SMP	1	169.36	813.55	61		Fixation
242137749	SMP	1	161.11	794.45	61		Fixation
242171005	SMP	1	164.02	814.67	62		Fixation
242204153	SMP	1	155.98	792.60	63		Fixation
242237047	SMP	1	162.09	775.91	64		Fixation
242270908	SMP	1	161.63	819.12	64		Fixation
242304245	SMP	1	157.49	815.03	65		Fixation
242338333	SMP	1	136.49	813.93	66		Fixation
242371706	SMP	1	120.17	827.10	67		Fixation
242403729	SMP	1	151.47	818.59	68		Fixation
242436988	SMP	1	159.21	776.02	68		Fixation
242470385	SMP	1	155.48	737.10	69		Fixation
242503886	SMP	1	129.25	721.68	70		Fixation
242536505	SMP	1	116.81	745.44	71		Fixation
242570024	SMP	1	104.97	749.76	71		Fixation
242603099	SMP	1	93.34	752.35	72		Fixation
242636588	SMP	1	80.73	756.12	73		Fixation
242669292	SMP	1	68.25	765.43	74		Fixation
242703027	SMP	1	61.48	768.99	75		Saccade
242736168	SMP	1	51.60	752.64	75		Saccade
242769619	SMP	1	141.30	749.97	76		Saccade
242802607	SMP	1	271.80	721.33	77		Saccade
242836540	SMP	1	489.35	645.27	78		Saccade
242870593	SMP	1	530.53	638.07	79		Saccade
242903666	SMP	1	734.66	529.21	80		Saccade
242937251	SMP	1	813.57	514.89	81		Saccade
242971465	SMP	1	821.40	481.62	81		Saccade
243003113	SMP	1	750.15	483.76	82		Saccade
243035959	SMP	1	691.41	496.86	83		Saccade
243068603	SMP	1	642.65	514.13	84		Saccade
243102751	SMP	1	594.64	505.38	84		Saccade
243134962	SMP	1	553.17	525.93	85		Saccade
243169006	SMP	1	651.50	556.83	86		Saccade
243202410	SMP	1	725.64	585.60	87		Saccade
243235467	SMP	1	920.64	658.44	88		Saccade
243269536	SMP	1	861.67	656.27	89		Saccade
243302539	SMP	1	812.86	654.53	89		Saccade
243336090	SMP	1	758.17	663.52	90		Saccade
243369008	SMP	1	736.43	660.14	91		Saccade
243403410	SMP	1	787.29	593.93	91		Saccade
243434453	SMP	1	822.19	478.01	92		Saccade
243468724	SMP	1	787.73	490.61	93		Saccade
243502136	SMP	1	762.18	490.61	94		Saccade
243534635	SMP	1	749.45	456.31	95		Saccade
243569176	SMP	1	731.87	382.54	95		Fixation
243601760	SMP	1	719.84	389.41	97		Fixation
243634274	SMP	1	705.70	392.46	97		Fixation
243667969	SMP	1	688.97	396.05	98		Saccade
243701990	SMP	1	670.57	403.92	99		Saccade
243735145	SMP	1	649.97	318.10	100		Saccade
243767770	SMP	1	631.03	250.78	100		Fixation
243800451	SMP	1	613.66	254.55	101		Fixation
243833919	SMP	1	601.16	268.40	102		Fixation
243867257	SMP	1	592.75	279.75	103		Fixation
243900464	SMP	1	588.02	289.58	104		Fixation
243933767	SMP	1	585.66	297.74	104		Fixation
243966910	SMP	1	586.61	305.82	105		Fixation
244000272	SMP	1	589.36	312.64	106		Fixation
244033495	SMP	1	595.84	319.51	107		Fixation
244067205	SMP	1	606.91	322.70	107		Fixation
244100049	SMP	1	624.92	324.63	108		Fixation
244133296	SMP	1	646.13	326.33	109		Fixation
244166676	SMP	1	661.31	327.59	110		Fixation
244201249	SMP	1	665.25	320.84	111		Fixation
244233188	SMP	1	665.94	314.53	111		Fixation
244266731	SMP	1	665.71	316.20	112		Fixation
244299932	SMP	1	665.20	318.18	113		Fixation
244333037	SMP	1	664.96	319.52	114		Fixation
244367225	SMP	1	664.64	320.26	115		Fixation
244400075	SMP	1	663.65	320.70	115		Fixation
244432939	SMP	1	664.51	320.69	116		Fixation
244466134	SMP	1	664.66	320.44	117		Fixation
244503866	SMP	1	663.84	321.46	121		Fixation
244574566	SMP	1	660.64	325.44	121		Fixation
244633943	SMP	1	656.38	326.75	122		Fixation
244668719	SMP	1	655.59	324.46	123		Fixation
244700255	SMP	1	655.98	324.45	123		Fixation
244732044	SMP	1	655.57	323.80	124		Fixation
244766824	SMP	1	655.29	323.38	124		Saccade
244802143	SMP	1	649.05	314.22	126		Saccade
244868852	SMP	1	627.93	232.60	127		Fixation
244900843	SMP	1	627.87	233.94	128		Fixation
