## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Rahul_2012_07_18_Pasta.etg.data\Rahul-61a6c2ad-78e0-4e11-82b8-09a7692d766c\Rahul-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	24508
## Reversed:	none
## [Run]
## Subject:	Rahul
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
243996858	SMP	1	713.80	359.85	0		Fixation
244032942	SMP	1	714.21	357.75	1		Fixation
244064299	SMP	1	716.33	357.90	2		Fixation
244098047	SMP	1	716.12	360.54	3		Fixation
244130230	SMP	1	713.53	359.24	3		Fixation
244162923	SMP	1	711.60	359.50	4		Fixation
244197884	SMP	1	709.18	359.77	5		Fixation
244229022	SMP	1	708.23	362.46	6		Fixation
244263910	SMP	1	708.61	365.04	6		Fixation
244296860	SMP	1	711.35	366.90	7		Fixation
244330403	SMP	1	714.16	366.69	8		Fixation
244363216	SMP	1	717.25	364.91	8		Fixation
244395314	SMP	1	719.75	366.35	9		Fixation
244429469	SMP	1	721.16	370.37	10		Fixation
244463083	SMP	1	721.70	365.99	11		Fixation
244496258	SMP	1	720.79	368.12	12		Fixation
244529856	SMP	1	719.38	370.61	13		Fixation
244564219	SMP	1	717.54	369.51	14		Fixation
244596453	SMP	1	715.68	373.47	14		Fixation
244628802	SMP	1	714.18	377.67	15		Fixation
244662570	SMP	1	711.66	374.70	16		Fixation
244696802	SMP	1	709.28	375.58	17		Fixation
244728951	SMP	1	707.21	376.22	18		Fixation
244762321	SMP	1	705.14	379.37	18		Fixation
244795104	SMP	1	703.44	375.57	19		Fixation
244829587	SMP	1	701.31	376.28	20		Fixation
244862905	SMP	1	701.09	379.39	21		Fixation
244894362	SMP	1	699.07	376.58	21		Fixation
244928599	SMP	1	698.56	375.95	23		Fixation
244962196	SMP	1	698.01	380.65	23		Fixation
244994968	SMP	1	696.51	382.82	24		Fixation
245029592	SMP	1	693.18	389.75	25		Fixation
245061742	SMP	1	689.40	398.77	26		Fixation
245095485	SMP	1	690.88	398.13	26		Fixation
245127779	SMP	1	688.37	403.10	27		Fixation
245161243	SMP	1	687.16	405.46	28		Fixation
245194321	SMP	1	684.15	405.23	28		Fixation
245227256	SMP	1	681.33	409.84	29		Fixation
245261188	SMP	1	678.10	412.60	30		Fixation
245295876	SMP	1	674.29	417.31	31		Fixation
245328834	SMP	1	673.45	421.75	32		Fixation
245362403	SMP	1	671.79	425.98	33		Fixation
245395262	SMP	1	671.01	432.06	34		Fixation
245427448	SMP	1	672.64	437.73	34		Fixation
245461100	SMP	1	674.68	441.42	35		Fixation
245494208	SMP	1	675.37	443.82	36		Fixation
245527278	SMP	1	677.32	445.34	37		Fixation
245560541	SMP	1	676.31	445.54	38		Fixation
245593709	SMP	1	676.98	447.89	38		Fixation
245627331	SMP	1	678.39	446.86	39		Fixation
245660397	SMP	1	678.67	447.00	40		Fixation
245693613	SMP	1	678.70	446.33	41		Fixation
245726410	SMP	1	679.34	445.31	42		Fixation
245760950	SMP	1	679.74	444.85	43		Fixation
245794458	SMP	1	680.30	444.37	43		Fixation
245826795	SMP	1	678.49	444.62	44		Fixation
245860921	SMP	1	679.05	446.91	45		Fixation
245893112	SMP	1	674.42	441.45	46		Fixation
245926611	SMP	1	674.53	439.48	46		Fixation
245960259	SMP	1	672.86	441.82	47		Fixation
245994834	SMP	1	672.63	440.31	48		Saccade
246026349	SMP	1	687.38	438.84	48		Saccade
246060449	SMP	1	739.37	408.52	49		Fixation
246093188	SMP	1	736.57	406.64	50		Fixation
246126917	SMP	1	733.62	406.06	51		Fixation
246158993	SMP	1	730.53	402.95	52		Fixation
246193058	SMP	1	727.34	399.78	53		Fixation
246225501	SMP	1	723.03	399.80	54		Fixation
246259885	SMP	1	717.90	400.09	54		Fixation
246292586	SMP	1	715.95	397.78	55		Fixation
246326177	SMP	1	715.24	403.16	56		Fixation
246360475	SMP	1	719.13	404.83	57		Fixation
246392410	SMP	1	725.25	405.82	57		Fixation
246426423	SMP	1	732.98	407.88	58		Fixation
246458958	SMP	1	739.36	410.44	59		Fixation
246492359	SMP	1	746.41	403.75	60		Fixation
246526962	SMP	1	749.76	395.28	61		Fixation
246559908	SMP	1	750.81	382.57	62		Fixation
246592664	SMP	1	748.26	365.59	63		Fixation
246625953	SMP	1	743.25	343.61	63		Fixation
246659045	SMP	1	733.08	329.45	64		Fixation
246691911	SMP	1	722.31	320.07	65		Fixation
246726527	SMP	1	710.29	319.21	66		Fixation
246759225	SMP	1	693.23	322.95	66		Fixation
246792237	SMP	1	687.39	318.22	67		Fixation
246825562	SMP	1	675.77	310.88	68		Fixation
246858479	SMP	1	673.70	289.00	69		Fixation
246892538	SMP	1	670.31	275.36	69		Fixation
246925102	SMP	1	676.84	295.67	70		Fixation
246958464	SMP	1	685.83	320.97	71		Fixation
246991453	SMP	1	694.12	341.67	72		Fixation
247024655	SMP	1	703.42	348.63	73		Fixation
247058389	SMP	1	709.40	361.12	74		Fixation
247092096	SMP	1	720.85	350.89	74		Fixation
247124917	SMP	1	731.89	348.38	75		Fixation
247158541	SMP	1	743.37	315.56	76		Fixation
247191381	SMP	1	748.09	302.16	77		Saccade
247225507	SMP	1	755.37	281.46	77		Saccade
247258621	SMP	1	781.05	354.73	78		Saccade
247290958	SMP	1	882.48	475.72	79		Saccade
247324671	SMP	1	832.00	500.35	80		Saccade
247358129	SMP	1	681.71	304.51	81		Fixation
247392408	SMP	1	692.74	322.88	81		Fixation
247424202	SMP	1	679.46	329.56	82		Fixation
247457427	SMP	1	683.55	339.71	83		Fixation
247490953	SMP	1	679.57	340.17	84		Fixation
247525826	SMP	1	691.19	331.11	85		Fixation
247557724	SMP	1	686.81	333.21	85		Fixation
247590963	SMP	1	693.07	326.15	86		Fixation
247624218	SMP	1	694.38	323.83	87		Fixation
247657459	SMP	1	684.90	338.23	88		Fixation
247690343	SMP	1	690.20	338.90	88		Fixation
247723882	SMP	1	685.75	330.51	89		Fixation
247757712	SMP	1	692.94	326.71	90		Fixation
247790355	SMP	1	684.76	349.17	91		Fixation
247825306	SMP	1	691.89	351.08	92		Fixation
247856173	SMP	1	693.87	369.99	93		Saccade
247891723	SMP	1	691.72	353.99	93		Saccade
247923007	SMP	1	648.76	519.19	94		Fixation
247956490	SMP	1	645.73	541.88	95		Fixation
247990074	SMP	1	644.74	545.17	96		Fixation
248022238	SMP	1	640.32	548.32	97		Fixation
248056315	SMP	1	636.91	551.13	97		Fixation
248090506	SMP	1	642.43	555.14	98		Fixation
248123113	SMP	1	653.82	535.31	99		Fixation
248156692	SMP	1	649.55	549.90	100		Fixation
248189718	SMP	1	655.33	535.24	101		Fixation
248222695	SMP	1	655.59	537.39	101		Fixation
248256112	SMP	1	653.36	533.12	102		Fixation
248289821	SMP	1	652.74	533.57	103		Fixation
248323841	SMP	1	650.35	545.93	104		Saccade
248356334	SMP	1	646.77	562.06	105		Saccade
248388934	SMP	1	607.96	613.51	106		Fixation
248422541	SMP	1	603.10	647.50	106		Fixation
248455779	SMP	1	610.91	648.29	107		Fixation
248488389	SMP	1	597.88	650.54	108		Fixation
248521861	SMP	1	612.27	651.48	108		Fixation
248554810	SMP	1	621.31	646.09	109		Fixation
248588752	SMP	1	604.72	641.34	110		Fixation
248621918	SMP	1	614.55	658.41	111		Saccade
248656100	SMP	1	645.88	646.56	113		Saccade
248688191	SMP	1	715.73	553.09	114		Fixation
248728195	SMP	1	714.29	525.55	114		Fixation
248756015	SMP	1	705.52	523.65	115		Fixation
248789215	SMP	1	714.41	525.34	116		Saccade
248821768	SMP	1	708.74	517.40	117		Saccade
248855014	SMP	1	726.81	467.86	117		Saccade
248889833	SMP	1	747.40	344.84	118		Fixation
248921842	SMP	1	764.22	309.08	118		Fixation
248954862	SMP	1	762.86	272.56	119		Fixation
248987648	SMP	1	763.97	301.20	120		Fixation
249021364	SMP	1	753.41	297.47	120		Fixation
249054382	SMP	1	768.92	281.82	121		Fixation
249087902	SMP	1	757.58	291.01	122		Fixation
249122032	SMP	1	758.81	301.19	123		Fixation
249154061	SMP	1	766.89	289.30	123		Fixation
249187561	SMP	1	758.93	290.12	125		Saccade
249220829	SMP	1	760.20	301.14	125		Saccade
249253411	SMP	1	749.09	344.20	126		Saccade
249286722	SMP	1	682.42	506.83	127		Fixation
249319987	SMP	1	665.03	544.20	128		Fixation
249355359	SMP	1	668.64	551.38	128		Fixation
249386521	SMP	1	666.94	553.07	129		Fixation
249420291	SMP	1	667.05	554.27	130		Fixation
249454783	SMP	1	667.45	550.88	131		Fixation
249487358	SMP	1	666.28	547.90	131		Fixation
249520311	SMP	1	668.35	551.68	133		Fixation
249553544	SMP	1	672.93	552.14	133		Fixation
249586572	SMP	1	676.72	547.86	134		Fixation
249620233	SMP	1	681.05	545.48	135		Fixation
249652710	SMP	1	686.35	554.54	136		Fixation
249686626	SMP	1	686.90	548.98	136		Saccade
249719269	SMP	1	697.28	555.64	137		Saccade
249752627	SMP	1	584.77	538.79	138		Saccade
249785854	SMP	1	457.36	507.83	139		Saccade
249820928	SMP	1	361.16	485.48	140		Saccade
249857531	SMP	1	330.98	490.75	142		Saccade
249894591	SMP	1	331.25	495.04	143		Saccade
249957356	SMP	1	388.40	699.72	144		Saccade
249995554	SMP	1	383.64	705.83	144		Saccade
250053320	SMP	1	327.61	709.03	145		Saccade
250085564	SMP	1	223.59	531.87	146		Saccade
250120286	SMP	1	218.06	528.12	147		Saccade
250152524	SMP	1	127.06	569.96	148		Saccade
250185744	SMP	1	103.65	590.46	148		Saccade
250221088	SMP	1	91.73	607.25	149		Saccade
250253654	SMP	1	60.30	639.24	150		Fixation
250292380	SMP	1	75.20	643.73	151		Fixation
250320414	SMP	1	95.07	641.06	152		Fixation
250361176	SMP	1	113.37	639.20	153		Saccade
250385896	SMP	1	132.46	636.16	154		Saccade
250419091	SMP	1	222.39	634.55	154		Saccade
250452583	SMP	1	249.68	624.55	155		Saccade
250486860	SMP	1	281.09	621.44	156		Saccade
250517931	SMP	1	211.06	658.74	156		Saccade
250551879	SMP	1	177.32	683.23	157		Saccade
250586000	SMP	1	169.06	686.43	158		Saccade
250619420	SMP	1	94.13	757.34	159		Saccade
250651313	SMP	1	113.95	745.42	160		Saccade
250684594	SMP	1	186.88	713.24	160		Fixation
250718704	SMP	1	224.79	699.05	161		Fixation
250751818	SMP	1	240.74	692.30	162		Fixation
250785500	SMP	1	262.97	679.76	163		Fixation
250820245	SMP	1	284.27	666.26	164		Fixation
250850685	SMP	1	290.59	658.86	165		Fixation
250885676	SMP	1	314.86	653.21	165		Fixation
250918675	SMP	1	314.35	650.15	166		Fixation
250951760	SMP	1	351.13	648.76	167		Fixation
