## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Rahul_2012_06_29_American.etg.data\Rahul-207c1378-4e2f-489e-b39f-4067f0d5b85d\Rahul-2-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	24257
## Reversed:	none
## [Run]
## Subject:	Rahul
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
1711708381	SMP	1	755.31	556.95	0		Fixation
1711741493	SMP	1	757.94	566.79	2		Fixation
1711775239	SMP	1	758.22	565.04	3		Fixation
1711808594	SMP	1	757.13	562.68	3		Fixation
1711841652	SMP	1	755.63	560.19	4		Fixation
1711875643	SMP	1	755.49	556.88	5		Fixation
1711907117	SMP	1	753.84	552.05	5		Fixation
1711940391	SMP	1	752.50	549.85	6		Fixation
1711973579	SMP	1	753.03	549.36	7		Fixation
1712007504	SMP	1	750.36	549.85	8		Fixation
1712040755	SMP	1	750.50	551.47	9		Fixation
1712077935	SMP	1	750.23	552.12	9		Fixation
1712108808	SMP	1	749.90	554.46	10		Saccade
1712140625	SMP	1	752.05	558.87	11		Saccade
1712174436	SMP	1	797.29	662.99	12		Fixation
1712209231	SMP	1	795.54	677.44	13		Fixation
1712243576	SMP	1	795.04	675.21	13		Fixation
1712278284	SMP	1	794.44	673.21	13		Fixation
1712309534	SMP	1	794.15	671.80	13		Fixation
1712341640	SMP	1	791.89	669.49	16		Fixation
1712382185	SMP	1	791.59	668.26	16		Fixation
1712414895	SMP	1	792.03	667.38	16		Fixation
1712454907	SMP	1	788.07	666.08	18		Fixation
1712482747	SMP	1	786.47	663.71	19		Fixation
1712509206	SMP	1	781.68	661.56	19		Fixation
1712542403	SMP	1	779.93	660.95	22		Saccade
1712576321	SMP	1	738.53	662.78	22		Saccade
1712612521	SMP	1	633.79	684.72	23		Fixation
1712643497	SMP	1	638.89	687.32	24		Fixation
1712707538	SMP	1	632.44	678.25	26		Fixation
1712740661	SMP	1	629.69	677.78	27		Fixation
