## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Rahul_2012_06_29_test.etg.data\Rahul-06e7c58d-15be-4568-9562-d40cf1b92710\Rahul-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	18726
## Reversed:	none
## [Run]
## Subject:	Rahul
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
344072488	SMP	1	640.66	472.07	1		Fixation
344106594	SMP	1	659.11	469.46	2		Fixation
344150266	SMP	1	640.99	500.15	3		Fixation
344174436	SMP	1	641.01	500.20	3		Saccade
344206416	SMP	1	641.01	500.20	4		Saccade
344239575	SMP	1	417.55	506.03	5		Saccade
344272676	SMP	1	358.48	513.66	6		Fixation
344305446	SMP	1	322.26	512.25	6		Fixation
344339452	SMP	1	361.78	501.90	7		Fixation
344372727	SMP	1	398.10	498.98	8		Fixation
344406878	SMP	1	420.32	499.88	9		Fixation
344439844	SMP	1	456.27	498.91	10		Fixation
344474195	SMP	1	473.20	500.15	11		Fixation
344508164	SMP	1	480.68	498.71	12		Fixation
344538513	SMP	1	485.28	503.75	12		Fixation
344572383	SMP	1	484.32	507.50	13		Fixation
344605806	SMP	1	491.97	502.67	13		Fixation
344662907	SMP	1	496.05	504.26	13		Fixation
344690125	SMP	1	497.60	497.77	16		Fixation
344707164	SMP	1	500.38	499.90	16		Fixation
344741875	SMP	1	503.36	498.65	17		Fixation
344771901	SMP	1	502.94	501.25	17		Fixation
344809680	SMP	1	506.30	498.76	17		Fixation
344863581	SMP	1	507.18	498.78	20		Saccade
344876624	SMP	1	509.18	501.56	22		Saccade
344943154	SMP	1	436.09	464.24	22		Saccade
344982612	SMP	1	366.05	437.45	24		Saccade
345048309	SMP	1	273.03	398.90	25		Fixation
345074581	SMP	1	273.18	394.65	25		Fixation
345118313	SMP	1	276.54	393.88	26		Fixation
345151153	SMP	1	266.40	393.47	27		Fixation
345176812	SMP	1	264.65	389.51	28		Fixation
345206802	SMP	1	262.76	385.15	29		Fixation
345239146	SMP	1	259.53	389.21	29		Fixation
345272419	SMP	1	258.00	389.20	30		Fixation
345306807	SMP	1	252.98	391.55	31		Fixation
345339731	SMP	1	250.38	391.27	31		Fixation
345371360	SMP	1	256.78	387.22	32		Fixation
345404139	SMP	1	255.95	380.89	33		Saccade
345437319	SMP	1	266.76	369.34	34		Saccade
345469930	SMP	1	420.56	448.56	34		Saccade
345504210	SMP	1	467.14	476.25	35		Fixation
345538600	SMP	1	462.00	472.57	36		Fixation
345571934	SMP	1	454.18	470.58	37		Fixation
345603581	SMP	1	447.12	470.36	37		Fixation
345636488	SMP	1	437.27	467.89	38		Fixation
345670487	SMP	1	430.29	465.06	39		Fixation
345704925	SMP	1	431.65	461.87	40		Fixation
345737924	SMP	1	436.06	451.94	41		Saccade
345770695	SMP	1	433.60	442.29	42		Saccade
345804706	SMP	1	464.95	555.80	42		Saccade
345838628	SMP	1	432.36	800.52	43		Saccade
345870744	SMP	1	451.08	825.67	44		Saccade
345904213	SMP	1	445.08	946.14	45		Saccade
345936705	SMP	1	434.54	952.90	46		Saccade
345969714	SMP	1	418.86	973.54	46		Saccade
346004693	SMP	1	403.27	983.74	47		Saccade
346036957	SMP	1	335.51	1077.62	48		Saccade
346070191	SMP	1	290.74	1162.83	49		Saccade
346103778	SMP	1	280.66	1181.21	50		Saccade
346135901	SMP	1	313.67	1139.26	50		Fixation
346170688	SMP	1	327.50	1121.77	51		Fixation
346203387	SMP	1	334.80	1112.93	52		Fixation
346236643	SMP	1	338.69	1104.67	53		Fixation
346269790	SMP	1	336.33	1108.44	54		Saccade
346303660	SMP	1	365.29	1079.02	54		Saccade
346335681	SMP	1	439.81	991.15	55		Saccade
346369529	SMP	1	659.33	868.44	56		Saccade
346403448	SMP	1	708.65	784.86	57		Saccade
346437926	SMP	1	721.42	775.42	57		Saccade
346468741	SMP	1	1174.91	860.56	58		Saccade
346502562	SMP	1	1295.27	755.88	59		Saccade
346535889	SMP	1	1295.90	758.10	60		Saccade
346569829	SMP	1	1093.45	715.18	61		Saccade
346603728	SMP	1	1124.46	627.18	61		Saccade
346635258	SMP	1	1168.78	653.11	63		Saccade
346669558	SMP	1	1196.21	664.93	63		Saccade
346701358	SMP	1	1141.37	658.25	64		Saccade
346735820	SMP	1	1083.19	643.52	65		Saccade
346767718	SMP	1	971.20	636.34	66		Saccade
346801507	SMP	1	879.76	622.72	66		Saccade
346835925	SMP	1	894.29	640.07	67		Saccade
346868649	SMP	1	899.20	643.29	68		Saccade
346902534	SMP	1	1173.18	768.41	69		Saccade
346934229	SMP	1	1010.82	703.63	70		Saccade
346968892	SMP	1	999.26	685.61	70		Saccade
347002296	SMP	1	947.42	668.64	71		Saccade
347035190	SMP	1	888.55	639.41	72		Saccade
347067552	SMP	1	886.48	632.46	73		Saccade
347100621	SMP	1	871.28	630.29	74		Saccade
347133960	SMP	1	1056.51	796.49	75		Saccade
347167783	SMP	1	1003.82	756.18	75		Saccade
347200350	SMP	1	988.09	754.74	76		Saccade
347234461	SMP	1	958.15	736.99	77		Saccade
347267090	SMP	1	942.83	729.43	77		Saccade
347300479	SMP	1	882.75	685.28	78		Fixation
347335154	SMP	1	917.07	693.73	79		Fixation
347367705	SMP	1	901.55	684.62	80		Fixation
347401406	SMP	1	910.91	673.85	81		Fixation
347434449	SMP	1	902.16	682.53	82		Fixation
347468470	SMP	1	911.02	690.61	83		Fixation
347500722	SMP	1	919.68	678.65	83		Fixation
347534155	SMP	1	919.59	672.60	84		Saccade
347568790	SMP	1	925.67	675.36	85		Saccade
347599735	SMP	1	900.98	725.76	86		Saccade
347633356	SMP	1	925.36	811.15	87		Fixation
347666317	SMP	1	934.13	810.91	87		Fixation
347702286	SMP	1	940.91	800.15	88		Fixation
347735033	SMP	1	952.65	799.57	89		Fixation
347765944	SMP	1	966.81	792.33	90		Fixation
347799712	SMP	1	971.59	781.30	90		Fixation
347832606	SMP	1	971.32	774.90	91		Fixation
347866474	SMP	1	984.67	779.56	92		Fixation
347899823	SMP	1	980.08	774.37	93		Fixation
347933382	SMP	1	963.91	762.16	94		Fixation
