## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Shaghayegh_2012_07_05_American.etg.data\Anonymous-01a98742-cdf4-4360-a9c7-f67644ea2e94\Anonymous-1-recording.idf
## Date:	05.07.2012 18:54:57
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	20979
## Reversed:	none
## [Run]
## Subject:	Anonymous
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
235766047	SMP	1	635.27	585.76	1		Saccade
235804537	SMP	1	642.36	524.28	2		Fixation
235833307	SMP	1	640.97	512.41	3		Fixation
235867145	SMP	1	640.17	511.11	3		Fixation
235899266	SMP	1	639.54	510.14	4		Fixation
235932509	SMP	1	639.02	510.91	5		Saccade
235965745	SMP	1	639.90	529.25	6		Saccade
235999545	SMP	1	867.64	768.19	6		Saccade
236036295	SMP	1	318.27	875.39	7		Saccade
236098673	SMP	1	454.87	657.15	8		Saccade
236132348	SMP	1	652.17	457.33	9		Fixation
236165758	SMP	1	648.99	445.62	10		Fixation
236199268	SMP	1	649.35	447.05	10		Fixation
236232159	SMP	1	649.08	447.63	11		Fixation
236264975	SMP	1	651.25	448.69	12		Fixation
236298177	SMP	1	648.88	447.46	13		Fixation
236332031	SMP	1	649.36	448.66	14		Fixation
236365308	SMP	1	647.32	447.99	15		Fixation
236398097	SMP	1	647.30	449.97	15		Fixation
236431952	SMP	1	645.94	449.90	16		Fixation
236465022	SMP	1	645.97	450.18	17		Fixation
236498224	SMP	1	642.47	463.07	18		Fixation
236531144	SMP	1	630.47	501.93	19		Fixation
236564652	SMP	1	631.25	500.35	19		Fixation
236599548	SMP	1	632.22	498.17	20		Fixation
236631331	SMP	1	631.14	496.89	21		Fixation
236665851	SMP	1	632.21	494.51	22		Saccade
236697786	SMP	1	631.51	494.74	23		Saccade
236732089	SMP	1	599.53	544.11	23		Fixation
236764518	SMP	1	590.86	574.90	24		Fixation
236796879	SMP	1	588.46	573.99	25		Fixation
236831495	SMP	1	590.03	573.01	26		Saccade
236864949	SMP	1	589.15	580.79	27		Saccade
236898176	SMP	1	567.21	650.32	27		Fixation
236963949	SMP	1	567.98	656.73	29		Fixation
236998208	SMP	1	568.65	656.05	30		Fixation
237032538	SMP	1	568.88	655.90	31		Fixation
237065010	SMP	1	568.69	657.03	31		Fixation
237097256	SMP	1	558.26	674.31	32		Saccade
237130200	SMP	1	557.30	674.37	33		Saccade
237164535	SMP	1	-9.66	1208.39	34		Saccade
237197456	SMP	1	109.41	1174.78	35		Saccade
237229427	SMP	1	109.47	1174.10	35		Saccade
237263758	SMP	1	641.28	461.55	36		Fixation
237296926	SMP	1	643.56	436.12	37		Fixation
237329714	SMP	1	641.39	432.14	38		Fixation
237363766	SMP	1	621.99	435.44	38		Fixation
237397397	SMP	1	623.15	437.70	39		Fixation
237430901	SMP	1	623.27	438.49	41		Fixation
237463291	SMP	1	622.39	438.82	41		Fixation
237496131	SMP	1	620.96	438.71	42		Fixation
237529466	SMP	1	622.09	439.65	43		Fixation
237563296	SMP	1	622.06	438.18	43		Fixation
237596069	SMP	1	621.78	438.74	44		Fixation
237629474	SMP	1	623.85	438.90	45		Fixation
237663326	SMP	1	625.30	415.05	46		Fixation
237696984	SMP	1	626.99	415.21	46		Fixation
237729646	SMP	1	623.79	414.42	47		Fixation
237762379	SMP	1	624.30	415.11	48		Fixation
237796276	SMP	1	620.43	414.32	49		Fixation
237830360	SMP	1	615.13	414.86	50		Fixation
237862653	SMP	1	625.28	404.95	51		Fixation
237896025	SMP	1	619.42	404.13	52		Fixation
237929821	SMP	1	618.10	408.10	52		Fixation
237961817	SMP	1	616.54	408.50	53		Fixation
237995376	SMP	1	615.24	410.34	54		Fixation
238028095	SMP	1	610.24	411.40	55		Fixation
238062580	SMP	1	606.78	411.78	55		Fixation
238095869	SMP	1	605.15	407.10	56		Fixation
238128739	SMP	1	601.64	388.72	57		Fixation
238163304	SMP	1	598.87	390.03	58		Fixation
238195214	SMP	1	597.12	389.24	58		Fixation
238228967	SMP	1	595.07	391.33	59		Fixation
238262748	SMP	1	592.62	389.19	60		Fixation
238294386	SMP	1	592.90	389.87	61		Fixation
238328778	SMP	1	591.30	388.91	62		Fixation
238360938	SMP	1	591.20	387.99	62		Fixation
238395337	SMP	1	591.38	389.67	63		Fixation
238428467	SMP	1	593.26	388.49	64		Fixation
238460665	SMP	1	597.90	390.28	65		Fixation
238495137	SMP	1	599.38	390.28	66		Fixation
238528687	SMP	1	604.86	402.85	66		Fixation
238561232	SMP	1	604.86	402.85	67		Saccade
238593910	SMP	1	604.86	402.85	68		Saccade
238628226	SMP	1	1053.77	479.61	69		Saccade
238662029	SMP	1	1053.79	479.62	70		Saccade
238694803	SMP	1	606.39	379.72	70		Fixation
238727814	SMP	1	619.14	344.01	71		Fixation
238761097	SMP	1	621.04	346.48	72		Fixation
238794395	SMP	1	617.92	348.30	73		Fixation
238829346	SMP	1	617.90	347.62	74		Fixation
238860100	SMP	1	615.51	346.25	75		Fixation
238894841	SMP	1	614.05	346.25	75		Fixation
238927318	SMP	1	613.34	348.95	76		Fixation
238960369	SMP	1	612.02	350.25	77		Fixation
238992980	SMP	1	610.94	357.00	78		Saccade
239028191	SMP	1	612.88	375.36	78		Saccade
239062970	SMP	1	257.96	808.79	79		Saccade
239093771	SMP	1	637.36	1283.56	80		Saccade
239126421	SMP	1	647.73	1303.64	81		Saccade
239161051	SMP	1	662.54	1330.06	81		Saccade
239193505	SMP	1	2331.52	1187.23	82		Blink
239226743	SMP	1	2275.27	1220.32	83		Blink
239259737	SMP	1	2248.27	1175.46	83		Blink
239293147	SMP	1	2248.30	1175.50	84		Blink
239327178	SMP	1	1508.03	1452.33	86		Saccade
239362200	SMP	1	1331.97	1502.98	86		Blink
239394770	SMP	1	1328.84	1525.32	87		Blink
239426922	SMP	1	1336.32	1549.35	88		Blink
239460016	SMP	1	-2250.80	-1584.79	89		Blink
239496411	SMP	1	689.47	1471.57	90		Blink
239526985	SMP	1	975.49	1333.80	90		Saccade
239560111	SMP	1	1013.42	1392.03	91		Saccade
239592438	SMP	1	1227.42	980.09	92		Saccade
239626324	SMP	1	956.97	1240.63	93		Saccade
239659768	SMP	1	603.00	605.59	94		Saccade
239692141	SMP	1	596.66	541.02	95		Fixation
239726618	SMP	1	593.41	513.72	95		Fixation
239758883	SMP	1	592.91	514.82	96		Fixation
