## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Yin_2012_04_13_002.etg.data\Yin_2012_04_13_002-7f3d0e88-dbbc-4d1e-8fb2-bf97dce6a010\Yin_2012_04_13_002-1-recording.idf
## Date:	13.04.2012 16:07:11
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	13039
## Reversed:	none
## [Run]
## Subject:	Yin_2012_04_13_002
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
199121114	SMP	1	536.18	446.60	1		Fixation
199152082	SMP	1	539.64	445.35	1		Fixation
199184496	SMP	1	541.20	446.22	1		Fixation
199218129	SMP	1	541.70	446.72	3		Fixation
199251470	SMP	1	541.68	446.39	4		Fixation
199285354	SMP	1	541.90	446.47	5		Fixation
199319958	SMP	1	541.56	445.31	5		Fixation
199351543	SMP	1	541.87	446.51	6		Fixation
199385456	SMP	1	542.61	444.98	7		Fixation
199418633	SMP	1	543.04	443.93	8		Fixation
199451598	SMP	1	545.24	443.25	9		Fixation
199484614	SMP	1	555.10	446.05	10		Fixation
199518216	SMP	1	559.57	450.61	10		Fixation
199551452	SMP	1	560.55	447.11	11		Fixation
199585576	SMP	1	560.49	444.22	12		Fixation
199619039	SMP	1	560.47	444.51	13		Fixation
199650539	SMP	1	561.43	442.59	13		Fixation
199684701	SMP	1	561.26	442.09	14		Fixation
199717909	SMP	1	561.33	439.68	15		Fixation
199751578	SMP	1	562.51	439.46	16		Fixation
199783589	SMP	1	563.96	436.94	17		Fixation
199817457	SMP	1	564.70	433.47	18		Fixation
199851416	SMP	1	565.40	431.75	18		Fixation
199883594	SMP	1	565.85	430.80	19		Fixation
199918648	SMP	1	564.00	430.92	20		Fixation
199951650	SMP	1	563.17	432.89	21		Fixation
199983310	SMP	1	561.85	432.50	21		Fixation
200017003	SMP	1	559.79	432.28	21		Fixation
200049789	SMP	1	559.60	433.46	23		Fixation
200083910	SMP	1	558.70	435.93	24		Fixation
200117157	SMP	1	558.33	438.55	25		Fixation
200150760	SMP	1	559.39	440.35	26		Fixation
200183697	SMP	1	559.78	442.26	26		Fixation
200217545	SMP	1	559.53	440.73	27		Fixation
200251210	SMP	1	558.97	440.78	28		Fixation
200285078	SMP	1	558.38	438.70	29		Fixation
200317752	SMP	1	556.82	437.01	30		Fixation
200350517	SMP	1	555.17	437.20	30		Fixation
200383471	SMP	1	554.48	437.43	31		Fixation
200416609	SMP	1	553.55	437.70	32		Fixation
200451160	SMP	1	553.18	436.14	33		Fixation
200482987	SMP	1	549.03	439.56	33		Fixation
200516126	SMP	1	543.61	438.61	34		Fixation
