## [BeGaze]
## Converted from:	E:\aware home\AwareHome RecordingUnit 11-18\AwareHomeGazeStudy-RecordingUnit\jyp-b-[708ad83e-4768-421f-9f6a-8f6531b47ff9]\jyp-b-1-unified.smi
## Date:	04.11.2015 10:37:04
## Version:	BeGaze 3.4.46
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	jyp-b-1-recording.avi
## Number of Samples:	19773
## Reversed:	none
## [Run]
## Subject:	jyp-b-1-unified
## Description:	Run006
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, POR, AOI, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time	Type	Trial	L Pupil Diameter [mm]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B AOI Hit	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1	B Event Info
438688812	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:00		-
438722137	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:01		-
438755340	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:02		-
438788726	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:02		-
438821990	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:03		-
438855194	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:04		-
438888427	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:05		-
438921752	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:06		-
438955078	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:06		-
438988311	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:07		-
439021606	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:08		-
439054840	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:09		-
439088073	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:10		-
439121490	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:10		-
439154693	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:11		-
439187957	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:12		-
439221221	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:12		-
439254577	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:13		-
439287872	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:14		-
439321136	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:15		-
439354309	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:16		-
439387573	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:17		-
439420959	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:17		-
439454223	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:18		-
439487457	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:19		-
439520751	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:20		-
439553955	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:21		-
439587341	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:21		-
439620605	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:22		-
439653839	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:00:23		-
439687072	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:01:00		-
439720367	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:01:01		-
439753723	SMP	1	0.00	3.16	920.03	13.78	0.00	0.00	965.50	-117.65	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.22	0.36	0.91	00:00:01:02		-
439786987	SMP	1	0.00	2.82	832.56	-162.73	0.00	0.00	901.75	-294.10	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.17	0.46	0.87	00:00:01:02		-
439820220	SMP	1	0.00	2.68	839.33	-116.73	0.00	0.00	904.22	-247.35	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.17	0.44	0.88	00:00:01:03		-
439853454	SMP	1	0.00	2.62	764.51	-84.82	0.00	0.00	835.09	-212.62	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.13	0.42	0.90	00:00:01:04		-
439886840	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:01:05		-
439920104	SMP	1	0.00	2.40	530.56	-37.54	0.00	0.00	623.39	-160.12	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	0.03	0.40	0.92	00:00:01:06		-
439953308	SMP	1	0.00	2.68	528.92	31.74	0.00	0.00	615.45	-91.49	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	0.04	0.35	0.93	00:00:01:06		-
439986694	SMP	1	0.00	3.22	551.37	209.42	0.00	0.00	617.73	82.47	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	0.04	0.23	0.97	00:00:01:07		-
440019897	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:01:08		-
440053283	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:01:08		-
440086517	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:01:09		-
440119720	SMP	1	0.00	4.58	720.42	-98.27	0.00	0.00	796.96	-225.00	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.10	0.43	0.90	00:00:01:10		-
440152954	SMP	1	0.00	4.70	600.66	-122.31	0.00	0.00	692.78	-246.17	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.02	0.45	0.89	00:00:01:11		-
440186218	SMP	1	0.00	4.60	600.58	-135.39	0.00	0.00	693.81	-259.34	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.02	0.45	0.89	00:00:01:12		-
440219573	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:01:13		-
440252868	SMP	1	0.00	4.34	642.76	-112.56	0.00	0.00	729.21	-237.40	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.05	0.44	0.90	00:00:01:14		Fixation
440286102	SMP	1	0.00	4.08	658.72	-126.99	0.00	0.00	744.55	-252.38	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.06	0.45	0.89	00:00:01:14		Fixation
440319366	SMP	1	0.00	4.26	628.62	-100.31	0.00	0.00	715.65	-224.72	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.04	0.43	0.90	00:00:01:15		Fixation
440352569	SMP	1	0.00	3.98	639.82	-115.23	0.00	0.00	726.82	-240.01	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.05	0.44	0.90	00:00:01:16		Fixation
440385986	SMP	1	0.00	3.98	647.31	-114.63	0.00	0.00	733.42	-239.60	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.05	0.44	0.90	00:00:01:17		Fixation
440419219	SMP	1	0.00	3.18	710.04	-107.63	0.00	0.00	788.51	-234.20	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.09	0.44	0.89	00:00:01:17		Saccade
440452453	SMP	1	0.00	2.64	596.29	210.11	0.00	0.00	657.84	83.18	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	0.00	0.23	0.97	00:00:01:18		Saccade
440485687	SMP	1	0.00	0.00	596.29	210.11	0.00	0.00	657.84	83.18	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	0.00	0.23	0.97	00:00:01:19		Saccade
440518981	SMP	1	0.00	2.68	549.60	423.51	0.00	0.00	593.44	286.83	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	0.06	0.07	1.00	00:00:01:20		Saccade
440552337	SMP	1	0.00	2.76	554.31	426.23	0.00	0.00	597.39	289.44	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	0.06	0.07	1.00	00:00:01:21		Saccade
440585571	SMP	1	4.08	2.78	737.66	397.79	986.26	-46.34	598.40	289.00	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.27	0.26	0.93	0.06	0.07	1.00	00:00:01:21		-
440618804	SMP	1	4.52	2.76	629.53	835.94	754.56	942.98	607.49	281.36	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.11	-0.50	0.86	0.05	0.08	1.00	00:00:01:22		Saccade
440652069	SMP	1	4.42	2.82	736.16	362.47	972.40	-76.99	613.57	268.71	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.26	0.28	0.92	0.04	0.09	1.00	00:00:01:23		Saccade
440685455	SMP	1	4.48	2.72	729.23	355.70	962.75	-77.07	613.58	263.17	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.26	0.28	0.92	0.04	0.09	0.99	00:00:02:00		Saccade
440718750	SMP	1	0.00	0.00	NaN	NaN	0.00	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	00:00:02:01		-
440752014	SMP	1	4.92	2.60	724.42	883.87	796.57	948.13	736.55	361.18	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.14	-0.50	0.85	-0.06	0.01	1.00	00:00:02:02		Fixation
440785217	SMP	1	5.12	2.48	722.66	870.32	793.66	945.46	738.33	339.27	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.14	-0.50	0.85	-0.06	0.03	1.00	00:00:02:02		Fixation
440818450	SMP	1	5.38	2.46	723.92	870.21	794.10	940.75	739.74	345.02	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.14	-0.50	0.86	-0.07	0.02	1.00	00:00:02:03		Fixation
440851837	SMP	1	5.62	2.50	719.56	862.49	791.27	939.65	735.60	332.14	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.14	-0.50	0.86	-0.06	0.03	1.00	00:00:02:04		Saccade
440885070	SMP	1	4.08	2.50	917.06	505.35	1138.79	83.10	720.82	338.37	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.39	0.17	0.91	-0.05	0.03	1.00	00:00:02:04		Saccade
440918334	SMP	1	3.74	2.92	666.97	588.56	900.64	210.59	547.72	404.23	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.23	0.08	0.97	0.10	-0.03	0.99	00:00:02:05		Saccade
440951568	SMP	1	3.78	2.92	652.51	572.01	879.61	209.34	546.23	392.39	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.21	0.08	0.97	0.10	-0.02	0.99	00:00:02:06		Fixation
440984863	SMP	1	3.86	3.00	650.86	572.65	872.50	211.06	549.48	396.57	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.21	0.08	0.97	0.10	-0.02	1.00	00:00:02:07		Fixation
441018280	SMP	1	3.84	3.02	645.92	569.05	875.44	217.97	540.68	382.78	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.21	0.07	0.97	0.11	-0.01	0.99	00:00:02:08		Fixation
441051452	SMP	1	3.92	3.02	634.10	571.00	856.47	234.09	538.53	382.82	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.20	0.06	0.98	0.11	-0.01	0.99	00:00:02:09		Blink
441084716	SMP	1	4.04	3.12	631.78	575.19	850.52	238.50	539.22	388.90	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.19	0.06	0.98	0.11	-0.01	0.99	00:00:02:09		Blink
441117980	SMP	1	4.06	3.20	631.81	579.77	847.72	242.94	540.87	394.45	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.19	0.05	0.98	0.10	-0.02	0.99	00:00:02:10		Blink
441151184	SMP	1	4.10	3.34	640.23	590.29	853.03	257.82	548.01	400.02	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.19	0.04	0.98	0.10	-0.02	0.99	00:00:02:11		Blink
441184570	SMP	1	0.00	2.80	692.23	636.71	0.00	0.00	700.77	483.34	-	0.00	0.00	0.00	-31.60	2.70	-24.30	0.00	0.00	0.00	-0.03	-0.10	0.99	00:00:02:12		Blink
441217895	SMP	1	0.00	2.74	6658.28	-351.56	37513.40	-17006.96	749.70	527.74	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.90	0.42	0.12	-0.08	-0.13	0.99	00:00:02:13		Blink
441251068	SMP	1	4.46	2.90	1026.12	809.76	1233.60	332.96	762.63	539.14	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.46	-0.02	0.89	-0.09	-0.14	0.99	00:00:02:13		Blink
441284362	SMP	1	4.80	2.74	1025.31	846.19	1236.82	406.37	763.05	529.09	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.47	-0.07	0.88	-0.09	-0.14	0.99	00:00:02:14		Blink
441317779	SMP	1	5.10	2.92	1035.92	868.67	1244.03	436.30	771.66	530.47	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.47	-0.09	0.88	-0.09	-0.14	0.99	00:00:02:15		Blink
441350952	SMP	1	5.00	2.88	991.55	850.21	1206.42	429.01	739.22	515.68	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.45	-0.09	0.89	-0.07	-0.12	0.99	00:00:02:16		Blink
441384216	SMP	1	4.34	3.34	635.56	671.67	883.84	328.67	508.47	422.16	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.22	-0.02	0.98	0.13	-0.04	0.99	00:00:02:17		Blink
441417449	SMP	1	4.42	3.38	620.58	640.75	856.33	307.74	511.39	413.37	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.20	0.00	0.98	0.13	-0.04	0.99	00:00:02:17		Fixation
441450683	SMP	1	4.48	3.34	619.51	631.57	849.54	306.78	516.38	407.05	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.19	0.00	0.98	0.13	-0.03	0.99	00:00:02:18		Fixation
441484069	SMP	1	4.52	3.40	622.54	619.65	848.87	299.61	522.81	398.92	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.19	0.01	0.98	0.12	-0.02	0.99	00:00:02:19		Fixation
441517364	SMP	1	4.74	3.44	629.70	619.65	860.89	298.09	524.14	393.46	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.20	0.01	0.98	0.12	-0.02	0.99	00:00:02:20		Fixation
441550567	SMP	1	4.70	3.40	635.12	627.85	862.99	307.34	529.52	399.80	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.20	0.00	0.98	0.11	-0.02	0.99	00:00:02:21		Fixation
441583831	SMP	1	4.64	3.38	630.17	617.44	857.72	296.25	527.39	395.72	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.20	0.01	0.98	0.12	-0.02	0.99	00:00:02:21		Fixation
441617095	SMP	1	4.82	3.46	632.83	620.65	856.45	300.48	531.85	400.44	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.20	0.01	0.98	0.11	-0.02	0.99	00:00:02:22		Saccade
441650451	SMP	1	4.32	3.24	471.17	691.68	720.52	382.34	396.92	435.69	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.09	-0.06	0.99	0.22	-0.05	0.97	00:00:02:23		Saccade
441683685	SMP	1	4.28	3.28	467.82	697.91	713.66	395.10	396.87	436.26	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.08	-0.07	0.99	0.22	-0.05	0.97	00:00:03:00		Fixation
441716979	SMP	1	4.30	3.16	464.79	696.47	714.50	392.46	392.88	432.99	-	31.60	2.70	-24.30	-31.60	2.70	-24.30	-0.08	-0.07	0.99	0.23	-0.05	0.97	00:00:03:00		Fixation
