## [BeGaze]
## Converted from:	D:\AwareHome - RecordingUnitData\p06b-[136bce44-4397-4daa-8f7a-c2b5525b9040]\p06b-1-unified.smi
## Date:	12.01.2014 22:26:37
## Version:	BeGaze 3.4.46
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	p06b-1-recording.avi
## Number of Samples:	17494
## Reversed:	none
## [Run]
## Subject:	p06b-1-unified
## Description:	Run003
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, POR, AOI, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time	Type	Trial	L Pupil Diameter [mm]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B AOI Hit	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1	B Event Info
170197052	SMP	1	4.00	4.00	478.55	-677.15	451.64	-664.82	748.91	631.93	-	32.47	4.84	-26.53	-30.95	1.85	-22.61	0.10	0.58	0.81	-0.07	-0.22	0.97	00:00:00:00		Blink
170230346	SMP	1	2.94	2.82	879.56	69.89	661.86	621.43	958.30	294.95	-	32.67	5.85	-27.16	-30.65	1.64	-22.27	-0.04	-0.27	0.96	-0.24	0.06	0.97	00:00:00:01		Blink
170263610	SMP	1	3.24	2.46	823.54	223.56	664.04	474.92	908.76	488.27	-	32.82	6.38	-27.44	-30.50	1.56	-22.12	-0.04	-0.14	0.99	-0.21	-0.10	0.97	00:00:00:02		Blink
170296783	SMP	1	3.30	2.46	829.58	237.95	676.70	436.05	910.37	525.57	-	32.93	6.74	-27.60	-30.41	1.50	-22.04	-0.05	-0.11	0.99	-0.21	-0.13	0.97	00:00:00:02		Fixation
170330169	SMP	1	3.18	2.36	822.60	247.65	668.11	453.22	906.85	524.22	-	33.00	7.20	-27.78	-30.34	1.47	-22.00	-0.04	-0.12	0.99	-0.21	-0.13	0.97	00:00:00:03		Fixation
170363464	SMP	1	3.28	2.24	833.41	240.12	678.94	451.56	911.84	517.52	-	33.03	7.46	-27.87	-30.29	1.41	-21.95	-0.05	-0.12	0.99	-0.21	-0.12	0.97	00:00:00:03		Fixation
170396667	SMP	1	3.42	2.56	830.52	244.02	682.10	425.06	908.40	537.90	-	33.03	7.46	-27.87	-30.26	1.40	-21.93	-0.06	-0.10	0.99	-0.21	-0.14	0.97	00:00:00:04		Saccade
170429931	SMP	1	3.06	2.02	835.72	186.47	662.09	406.81	929.75	496.97	-	33.03	7.46	-27.87	-30.21	1.35	-21.91	-0.04	-0.09	1.00	-0.23	-0.10	0.97	00:00:00:05		Saccade
170463165	SMP	1	3.22	2.12	843.50	196.89	672.24	405.44	932.01	507.25	-	33.03	7.46	-27.87	-30.19	1.34	-21.89	-0.05	-0.08	1.00	-0.23	-0.11	0.97	00:00:00:06		Fixation
170496582	SMP	1	3.34	2.44	839.87	220.28	679.50	402.34	923.15	530.60	-	33.03	7.46	-27.87	-30.17	1.33	-21.88	-0.05	-0.08	1.00	-0.22	-0.13	0.97	00:00:00:07		Fixation
170529815	SMP	1	3.34	2.28	844.21	206.01	675.73	401.99	930.84	517.86	-	33.03	7.46	-27.87	-30.16	1.31	-21.87	-0.05	-0.08	1.00	-0.23	-0.12	0.97	00:00:00:08		Fixation
170563079	SMP	1	3.44	2.48	835.26	224.41	680.04	401.83	917.28	534.48	-	33.03	7.46	-27.87	-30.15	1.31	-21.87	-0.05	-0.08	1.00	-0.22	-0.14	0.97	00:00:00:09		Fixation
170596313	SMP	1	3.26	2.44	834.96	219.70	670.84	400.68	923.74	531.75	-	33.03	7.46	-27.87	-30.15	1.31	-21.86	-0.05	-0.08	1.00	-0.22	-0.13	0.97	00:00:00:09		Fixation
170629699	SMP	1	3.38	2.42	843.40	219.41	679.14	401.68	927.72	530.61	-	33.03	7.46	-27.87	-30.14	1.30	-21.85	-0.05	-0.08	1.00	-0.22	-0.13	0.97	00:00:00:10		Saccade
170662933	SMP	1	3.40	2.36	859.08	224.38	690.48	417.46	936.88	525.36	-	33.09	7.56	-27.92	-30.13	1.29	-21.85	-0.06	-0.09	0.99	-0.23	-0.13	0.96	00:00:00:11		Saccade
170696166	SMP	1	3.36	2.46	852.98	231.80	689.39	416.72	930.59	532.60	-	33.09	7.56	-27.92	-30.12	1.29	-21.84	-0.06	-0.09	0.99	-0.23	-0.13	0.96	00:00:00:12		Fixation
170729431	SMP	1	3.46	2.42	861.91	233.14	695.17	422.62	936.56	530.22	-	33.12	7.66	-27.97	-30.12	1.28	-21.84	-0.07	-0.10	0.99	-0.23	-0.13	0.96	00:00:00:13		Fixation
170762695	SMP	1	3.38	2.42	858.47	226.90	696.03	418.90	931.92	526.01	-	33.16	7.73	-28.02	-30.11	1.27	-21.83	-0.07	-0.10	0.99	-0.23	-0.13	0.97	00:00:00:13		Fixation
170796081	SMP	1	3.38	2.26	902.45	252.26	723.43	442.62	963.11	536.63	-	33.16	7.73	-28.02	-30.11	1.24	-21.87	-0.09	-0.12	0.99	-0.25	-0.14	0.96	00:00:00:14		Saccade
170829315	SMP	1	3.40	2.60	1024.80	456.76	849.19	577.21	1010.86	649.31	-	33.16	7.73	-28.02	-30.09	1.26	-21.86	-0.20	-0.22	0.95	-0.29	-0.23	0.93	00:00:00:15		Saccade
170862579	SMP	1	3.36	2.38	1046.66	683.54	833.98	614.26	1053.37	879.55	-	32.96	6.83	-27.91	-30.06	1.32	-21.84	-0.18	-0.26	0.95	-0.31	-0.40	0.87	00:00:00:16		Fixation
170895812	SMP	1	3.46	2.64	940.84	568.39	679.73	613.82	1036.40	763.24	-	31.81	6.84	-28.22	-30.04	1.37	-21.83	-0.05	-0.26	0.96	-0.30	-0.31	0.90	00:00:00:17		Fixation
170929046	SMP	1	3.42	2.20	874.07	659.72	569.82	629.20	1039.08	865.98	-	30.89	6.83	-28.46	-30.02	1.42	-21.81	0.04	-0.27	0.96	-0.30	-0.39	0.87	00:00:00:17		Saccade
170962432	SMP	1	3.50	2.36	843.59	529.96	497.23	620.77	1051.53	732.15	-	30.13	6.87	-28.66	-30.00	1.43	-21.80	0.10	-0.27	0.96	-0.31	-0.29	0.90	00:00:00:18		Saccade
170995666	SMP	1	3.50	2.42	810.66	558.24	431.25	597.51	1064.20	786.64	-	29.51	6.87	-28.81	-29.97	1.48	-21.78	0.16	-0.24	0.96	-0.32	-0.33	0.89	00:00:00:19		Fixation
171028961	SMP	1	3.60	2.48	774.68	510.06	378.54	581.39	1060.33	748.46	-	28.99	6.88	-28.93	-29.95	1.49	-21.77	0.20	-0.23	0.95	-0.32	-0.30	0.90	00:00:00:20		Fixation
171062194	SMP	1	3.42	2.56	729.74	519.79	343.49	568.57	1035.03	769.90	-	28.99	6.88	-28.93	-29.94	1.53	-21.76	0.23	-0.22	0.95	-0.30	-0.32	0.90	00:00:00:21		Saccade
171095550	SMP	1	3.58	2.70	577.90	520.67	222.45	537.18	947.77	800.25	-	29.31	6.81	-28.71	-29.95	1.61	-21.74	0.32	-0.19	0.93	-0.23	-0.35	0.91	00:00:00:22		Saccade
171128814	SMP	1	3.70	2.60	591.29	541.45	241.04	549.59	948.38	813.36	-	29.61	6.82	-28.56	-29.96	1.64	-21.73	0.31	-0.20	0.93	-0.23	-0.36	0.90	00:00:00:22		Saccade
171162048	SMP	1	3.70	2.54	621.86	575.63	283.54	587.62	949.11	820.72	-	29.76	6.89	-28.57	-29.96	1.67	-21.72	0.28	-0.23	0.93	-0.23	-0.36	0.90	00:00:00:23		Fixation
171195312	SMP	1	3.68	2.74	624.88	541.60	289.77	556.18	950.41	804.55	-	29.95	6.38	-28.06	-29.96	1.70	-21.71	0.27	-0.21	0.94	-0.24	-0.35	0.91	00:00:00:23		Fixation
171228576	SMP	1	3.44	2.76	609.43	513.92	282.81	554.33	936.15	773.71	-	30.05	6.37	-27.99	-29.97	1.74	-21.70	0.28	-0.20	0.94	-0.23	-0.33	0.92	00:00:01:00		Fixation
171261932	SMP	1	3.36	2.72	610.10	554.65	279.86	563.04	939.42	814.98	-	30.07	6.13	-27.85	-29.97	1.80	-21.69	0.28	-0.21	0.94	-0.23	-0.36	0.91	00:00:01:01		Fixation
171295196	SMP	1	3.58	2.70	580.42	557.81	261.32	563.92	916.95	818.72	-	30.07	6.13	-27.85	-29.98	1.82	-21.68	0.30	-0.21	0.93	-0.21	-0.36	0.91	00:00:01:02		Fixation
171328430	SMP	1	3.54	2.70	593.02	579.62	286.06	591.88	910.26	820.58	-	30.21	6.21	-27.88	-29.99	1.86	-21.68	0.28	-0.23	0.93	-0.20	-0.37	0.91	00:00:01:03		Fixation
171361694	SMP	1	3.56	2.66	596.92	586.75	286.86	594.21	914.48	827.27	-	30.21	6.21	-27.88	-30.00	1.88	-21.68	0.27	-0.24	0.93	-0.21	-0.37	0.91	00:00:01:04		Fixation
171394927	SMP	1	3.60	2.56	583.22	587.35	279.97	587.73	903.32	833.08	-	30.21	6.21	-27.88	-30.01	1.92	-21.68	0.28	-0.23	0.93	-0.20	-0.38	0.91	00:00:01:05		Saccade
171428314	SMP	1	3.52	2.30	585.03	615.22	279.65	588.33	906.37	865.66	-	30.21	6.21	-27.88	-30.01	1.96	-21.67	0.28	-0.23	0.93	-0.20	-0.40	0.90	00:00:01:05		Saccade
171461547	SMP	1	3.46	2.72	591.57	596.29	286.41	599.81	907.60	833.91	-	30.33	6.30	-27.91	-30.02	1.99	-21.67	0.28	-0.24	0.93	-0.20	-0.38	0.90	00:00:01:06		Fixation
171494812	SMP	1	3.56	2.70	599.79	598.51	297.84	597.11	909.11	837.69	-	30.42	6.23	-27.82	-30.03	2.01	-21.67	0.27	-0.24	0.93	-0.20	-0.38	0.90	00:00:01:07		Fixation
171528045	SMP	1	3.60	2.66	616.06	605.27	326.63	604.11	905.95	837.70	-	30.62	6.37	-27.86	-30.04	2.07	-21.66	0.24	-0.25	0.94	-0.20	-0.38	0.90	00:00:01:08		Fixation
171561340	SMP	1	3.62	2.62	628.99	626.81	347.31	618.01	904.84	850.68	-	30.76	6.41	-27.80	-30.05	2.13	-21.65	0.23	-0.26	0.94	-0.20	-0.39	0.90	00:00:01:09		Blink
171594665	SMP	1	3.60	2.76	633.41	622.57	354.50	618.11	904.60	844.93	-	30.88	6.44	-27.74	-30.06	2.17	-21.64	0.22	-0.26	0.94	-0.20	-0.38	0.90	00:00:01:09		Blink
171627929	SMP	1	3.54	2.70	612.68	598.73	333.96	585.15	897.45	843.57	-	30.80	6.13	-27.73	-30.07	2.22	-21.63	0.24	-0.23	0.94	-0.19	-0.38	0.90	00:00:01:10		Blink
171661193	SMP	1	3.08	2.38	612.76	663.04	342.40	637.05	886.75	878.88	-	30.80	6.13	-27.73	-30.07	2.26	-21.61	0.23	-0.27	0.93	-0.18	-0.41	0.89	00:00:01:11		Blink
171694458	SMP	1	0.00	0.00	608.87	647.69	341.19	607.39	885.37	883.59	-	30.88	5.78	-27.38	-30.09	2.30	-21.60	0.23	-0.25	0.94	-0.18	-0.41	0.89	00:00:01:12		Blink
171727691	SMP	1	0.00	0.00	605.19	632.72	339.96	578.53	884.25	888.17	-	30.96	5.47	-27.07	-30.10	2.33	-21.59	0.23	-0.23	0.95	-0.18	-0.42	0.89	00:00:01:13		Blink
171761047	SMP	1	0.00	0.00	601.56	618.12	338.69	550.70	883.17	892.45	-	31.02	5.19	-26.80	-30.11	2.36	-21.57	0.23	-0.20	0.95	-0.18	-0.42	0.89	00:00:01:13		Blink
171794342	SMP	1	0.00	0.00	597.95	603.80	337.37	523.56	882.13	896.57	-	31.08	4.94	-26.55	-30.12	2.39	-21.56	0.24	-0.18	0.95	-0.18	-0.42	0.89	00:00:01:14		Blink
171827545	SMP	1	2.72	1.72	700.76	1010.03	474.58	1017.08	870.45	973.37	-	31.11	4.81	-26.43	-30.14	2.44	-21.55	0.11	-0.55	0.83	-0.17	-0.47	0.86	00:00:01:15		Blink
171860809	SMP	1	2.60	2.22	5878.55	2063.48	352.15	680.09	2412.66	1243.34	-	31.11	4.81	-26.43	-30.14	2.44	-21.55	0.22	-0.31	0.93	-0.79	-0.39	0.48	00:00:01:16		Blink
171894042	SMP	1	2.66	2.38	633.89	718.71	381.06	680.98	879.81	907.98	-	31.11	4.81	-26.43	-30.15	2.46	-21.54	0.20	-0.31	0.93	-0.18	-0.43	0.89	00:00:01:17		Blink
171927429	SMP	1	2.34	2.68	625.22	713.32	373.82	700.21	872.54	887.19	-	31.11	4.81	-26.43	-30.15	2.47	-21.54	0.20	-0.32	0.92	-0.17	-0.42	0.89	00:00:01:17		Blink
171960662	SMP	1	3.34	2.24	616.59	686.49	366.64	626.15	873.62	912.92	-	31.11	4.81	-26.43	-30.16	2.49	-21.53	0.21	-0.27	0.94	-0.17	-0.43	0.88	00:00:01:18		Blink
171993927	SMP	1	3.32	2.66	613.62	654.49	362.38	609.70	874.32	888.00	-	31.13	4.72	-26.34	-30.17	2.50	-21.52	0.21	-0.25	0.94	-0.17	-0.42	0.89	00:00:01:19		Fixation
172027282	SMP	1	3.42	2.62	617.15	656.47	372.14	609.84	871.02	889.33	-	31.13	4.72	-26.34	-30.18	2.52	-21.52	0.21	-0.25	0.95	-0.17	-0.42	0.89	00:00:01:19		Fixation
172060424	SMP	1	3.36	2.24	605.86	682.38	368.55	618.17	858.79	913.62	-	31.13	4.72	-26.34	-30.19	2.55	-21.51	0.21	-0.26	0.94	-0.16	-0.44	0.89	00:00:01:20		Fixation
172093811	SMP	1	3.46	2.64	625.12	662.17	386.21	617.70	869.30	888.74	-	31.20	4.81	-26.39	-30.20	2.56	-21.50	0.20	-0.26	0.95	-0.17	-0.42	0.89	00:00:01:21		Fixation
172127044	SMP	1	3.44	2.46	628.83	685.50	391.76	626.22	869.15	909.35	-	31.27	4.89	-26.44	-30.21	2.59	-21.49	0.19	-0.27	0.94	-0.17	-0.43	0.89	00:00:01:22		Fixation
172160308	SMP	1	3.46	2.28	632.20	700.87	400.24	634.66	866.06	920.23	-	31.33	4.97	-26.48	-30.21	2.60	-21.49	0.18	-0.27	0.94	-0.16	-0.44	0.88	00:00:01:23		Fixation
172193542	SMP	1	3.40	2.44	649.70	698.77	410.07	635.82	880.80	916.35	-	31.38	5.05	-26.53	-30.22	2.61	-21.48	0.18	-0.27	0.95	-0.18	-0.44	0.88	00:00:02:00		Fixation
172226898	SMP	1	3.44	0.00	649.51	701.86	410.95	638.67	879.63	917.70	-	31.38	5.05	-26.53	-30.23	2.62	-21.48	0.17	-0.28	0.94	-0.18	-0.44	0.88	00:00:02:01		Fixation
172260162	SMP	1	3.12	0.00	655.71	670.22	427.90	586.17	878.50	919.02	-	31.38	5.05	-26.53	-30.24	2.63	-21.47	0.16	-0.23	0.96	-0.17	-0.44	0.88	00:00:02:01		Saccade
172293487	SMP	1	3.00	2.20	714.84	375.76	490.85	388.18	917.98	721.15	-	31.42	5.04	-26.51	-30.24	2.61	-21.48	0.11	-0.07	0.99	-0.21	-0.29	0.93	00:00:02:02		Saccade
172326690	SMP	1	3.46	2.30	720.13	284.00	518.72	303.24	909.46	678.54	-	31.38	5.00	-26.56	-30.23	2.58	-21.49	0.08	0.00	1.00	-0.21	-0.26	0.94	00:00:02:03		Fixation
172359954	SMP	1	3.28	2.42	712.18	285.30	500.67	302.53	913.67	682.40	-	31.34	4.97	-26.62	-30.23	2.56	-21.50	0.10	0.00	1.00	-0.21	-0.26	0.94	00:00:02:04		Fixation
172393310	SMP	1	3.34	2.34	714.95	290.54	510.16	312.87	908.84	679.38	-	31.34	4.97	-26.62	-30.23	2.54	-21.50	0.09	0.00	1.00	-0.21	-0.26	0.94	00:00:02:04		Fixation
172426544	SMP	1	3.28	2.40	709.64	278.80	491.87	305.86	916.88	673.64	-	31.34	4.97	-26.62	-30.23	2.52	-21.51	0.11	0.00	0.99	-0.21	-0.25	0.94	00:00:02:05		Saccade
172459808	SMP	1	3.36	1.86	726.42	253.54	499.34	303.85	931.50	647.64	-	31.32	4.94	-26.66	-30.23	2.49	-21.52	0.10	0.00	0.99	-0.23	-0.23	0.95	00:00:02:06		Saccade
172493072	SMP	1	3.38	2.38	709.71	279.44	505.54	306.78	906.25	671.84	-	31.36	4.97	-26.68	-30.23	2.47	-21.53	0.10	0.00	1.00	-0.21	-0.25	0.95	00:00:02:07		Saccade
172526336	SMP	1	3.30	2.38	699.48	262.09	494.62	292.10	903.06	664.34	-	31.39	4.99	-26.70	-30.22	2.45	-21.53	0.10	0.01	0.99	-0.20	-0.25	0.95	00:00:02:08		Fixation
172559692	SMP	1	3.36	2.30	704.40	255.42	501.34	295.91	903.48	653.55	-	31.39	4.99	-26.70	-30.23	2.44	-21.54	0.10	0.01	1.00	-0.20	-0.24	0.95	00:00:02:09		Fixation
172592956	SMP	1	3.40	2.32	708.13	241.64	513.00	273.53	901.02	653.89	-	31.39	4.99	-26.70	-30.23	2.42	-21.55	0.09	0.03	1.00	-0.20	-0.24	0.95	00:00:02:09		Fixation
172626190	SMP	1	3.42	2.22	709.25	234.40	515.79	274.19	900.04	645.15	-	31.39	4.99	-26.70	-30.23	2.40	-21.56	0.09	0.03	1.00	-0.20	-0.23	0.95	00:00:02:10		Saccade
172659423	SMP	1	3.26	2.06	695.57	222.30	489.31	277.19	903.05	632.27	-	31.39	4.99	-26.70	-30.23	2.37	-21.56	0.11	0.02	0.99	-0.20	-0.22	0.95	00:00:02:11		Saccade
172692687	SMP	1	3.36	2.22	699.68	217.95	506.65	267.77	895.54	632.50	-	31.39	4.99	-26.70	-30.23	2.35	-21.57	0.09	0.03	1.00	-0.20	-0.22	0.96	00:00:02:12		Fixation
172726074	SMP	1	3.30	2.28	693.24	227.50	493.09	271.35	897.90	641.63	-	31.39	4.99	-26.70	-30.23	2.34	-21.58	0.11	0.03	0.99	-0.20	-0.23	0.95	00:00:02:12		Fixation
172759307	SMP	1	3.18	2.18	693.61	209.52	496.34	265.49	896.05	626.01	-	31.43	5.01	-26.71	-30.24	2.32	-21.58	0.10	0.03	0.99	-0.20	-0.21	0.96	00:00:02:13		Fixation
172792541	SMP	1	3.18	2.28	697.23	228.11	504.97	274.63	893.27	638.51	-	31.46	5.04	-26.73	-30.24	2.30	-21.59	0.10	0.03	1.00	-0.20	-0.22	0.95	00:00:02:14		Fixation
172825805	SMP	1	3.26	2.20	707.96	220.37	518.37	275.45	895.97	628.47	-	31.52	5.10	-26.76	-30.24	2.28	-21.59	0.08	0.03	1.00	-0.20	-0.22	0.96	00:00:02:15		Fixation
172859069	SMP	1	3.24	2.16	708.33	229.76	523.11	282.56	892.21	632.76	-	31.58	5.16	-26.80	-30.24	2.26	-21.60	0.08	0.02	1.00	-0.19	-0.22	0.96	00:00:02:15		Fixation
172892425	SMP	1	3.24	2.30	711.62	229.30	524.05	279.59	895.87	634.61	-	31.58	5.16	-26.80	-30.24	2.25	-21.61	0.08	0.02	1.00	-0.20	-0.22	0.95	00:00:02:16		Fixation
172925689	SMP	1	3.30	2.18	710.97	222.36	522.65	281.12	895.86	626.09	-	31.58	5.16	-26.80	-30.24	2.23	-21.61	0.08	0.02	1.00	-0.20	-0.21	0.96	00:00:02:17		Saccade
172958923	SMP	1	3.30	2.16	724.74	217.24	532.95	283.24	904.68	618.72	-	31.60	5.18	-26.83	-30.24	2.22	-21.62	0.07	0.02	1.00	-0.21	-0.21	0.96	00:00:02:18		Saccade
172992187	SMP	1	3.30	2.20	735.38	217.35	538.56	286.04	913.23	616.95	-	31.63	5.20	-26.85	-30.24	2.20	-21.62	0.07	0.02	1.00	-0.21	-0.21	0.96	00:00:02:19		Saccade
173025604	SMP	1	3.34	2.32	732.42	228.01	544.38	281.92	905.74	630.43	-	31.63	5.20	-26.85	-30.24	2.19	-21.62	0.06	0.02	1.00	-0.21	-0.22	0.95	00:00:02:20		Fixation
