clip_name,start_frame,end_frame,verb_id,verb_name,action_id,action_name,noun_ids,noun_names
P21-R04-ContinentalBreakfast-291175-294945,006979,007088,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-551908-569222,013204,013703,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-647208-658969,015504,015844,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-728518-735430,017468,017667,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-770583-775263,018482,018618,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R04-ContinentalBreakfast-79222-82678,001893,001993,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R05-Cheeseburger-101808-103978,002438,002501,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R05-Cheeseburger-125765-128010,003013,003078,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R05-Cheeseburger-175205-181773,004188,004379,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R05-Cheeseburger-225294-238593,005375,005759,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R05-Cheeseburger-331341-337541,007937,008116,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R05-Cheeseburger-43658-47022,001039,001137,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R05-Cheeseburger-505388-514824,012107,012378,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-1095063-1104635,026258,026535,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-161579-166945,003864,004020,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-237399-242175,005686,005824,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-244128-249006,005848,005988,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-441272-452771,010563,010894,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-694203-702608,016640,016883,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-769842-778312,018456,018700,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-812348-819305,019480,019680,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-833818-835192,020008,020048,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-85400-90852,002036,002194,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P21-R06-GreekSalad-899463-903560,021577,021696,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-1026513-1054066,024570,025364,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-1286751-1294817,030863,031095,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-1462031-1466005,035079,035194,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-1584765-1589107,038024,038149,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-1837787-1871470,044025,044997,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-185100-199400,004408,004820,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-1966419-1978700,047165,047518,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-2492488-2497326,059808,059947,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-2593828-2604130,062226,062525,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-260231-266148,006231,006402,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
P22-R03-BaconAndEggs-318238-321711,007629,007730,1,Inspect/Read,1,Inspect/Read recipe,1,recipe
