## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Ahmad_2012_07_13_American.etg.data\Ahmad-8aa6976e-b315-4917-bba8-8933226ad886\Ahmad-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	31862
## Reversed:	none
## [Run]
## Subject:	Ahmad
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
923025594	SMP	1	675.36	636.58	1		Fixation
923058455	SMP	1	679.88	636.65	2		Fixation
923091427	SMP	1	686.36	631.77	3		Fixation
923123959	SMP	1	682.29	632.36	3		Fixation
923156556	SMP	1	686.15	631.03	4		Fixation
923190187	SMP	1	683.26	634.97	5		Fixation
923224589	SMP	1	677.62	631.82	6		Fixation
923257555	SMP	1	681.84	634.96	7		Fixation
923290798	SMP	1	680.51	633.29	7		Fixation
923324492	SMP	1	682.29	631.93	8		Fixation
923358339	SMP	1	702.38	632.54	9		Fixation
923390008	SMP	1	702.01	630.26	9		Fixation
923423805	SMP	1	702.36	630.81	10		Fixation
923456958	SMP	1	705.57	628.33	11		Fixation
923489903	SMP	1	703.17	629.31	12		Fixation
923523799	SMP	1	704.63	627.35	13		Fixation
923556157	SMP	1	705.36	625.95	13		Fixation
923590300	SMP	1	706.96	624.85	14		Fixation
923623124	SMP	1	708.39	621.64	15		Fixation
923657375	SMP	1	710.09	624.05	16		Fixation
923689462	SMP	1	708.38	623.77	16		Fixation
923723170	SMP	1	709.74	621.21	17		Fixation
923756483	SMP	1	709.43	621.12	18		Fixation
923790506	SMP	1	706.64	621.22	19		Fixation
923823363	SMP	1	700.83	617.32	20		Fixation
923856047	SMP	1	686.32	612.16	21		Fixation
923890550	SMP	1	684.74	612.58	21		Fixation
923922333	SMP	1	682.03	616.59	22		Fixation
923955701	SMP	1	685.42	612.95	23		Fixation
923989776	SMP	1	685.60	612.38	24		Fixation
924022273	SMP	1	686.82	612.03	25		Fixation
924055725	SMP	1	685.27	611.72	26		Fixation
924089364	SMP	1	684.59	612.66	26		Fixation
924121940	SMP	1	685.38	610.70	27		Fixation
924155332	SMP	1	683.78	611.30	28		Fixation
924188773	SMP	1	688.26	609.74	29		Fixation
924221572	SMP	1	685.54	611.03	29		Fixation
924256134	SMP	1	686.74	610.27	30		Fixation
924288612	SMP	1	685.00	611.00	31		Fixation
924321795	SMP	1	685.65	611.04	32		Fixation
924355571	SMP	1	686.19	610.31	33		Fixation
924388183	SMP	1	688.78	610.70	33		Fixation
924421407	SMP	1	708.40	614.51	34		Fixation
924455421	SMP	1	707.46	616.91	35		Fixation
924488636	SMP	1	707.29	615.52	36		Fixation
924521362	SMP	1	707.98	617.38	36		Fixation
924554856	SMP	1	708.52	617.68	38		Fixation
924589826	SMP	1	713.00	617.84	38		Fixation
924622535	SMP	1	711.49	617.39	39		Fixation
924655060	SMP	1	711.88	624.60	40		Fixation
924692562	SMP	1	676.00	624.84	41		Saccade
924722119	SMP	1	603.42	636.57	41		Fixation
924754345	SMP	1	609.57	636.80	42		Fixation
924788179	SMP	1	612.59	635.11	43		Fixation
924823917	SMP	1	612.65	636.45	44		Fixation
924862083	SMP	1	611.94	637.86	45		Fixation
924889224	SMP	1	605.33	637.56	46		Fixation
924921407	SMP	1	613.82	635.90	47		Fixation
924954144	SMP	1	612.93	633.02	47		Fixation
924986892	SMP	1	611.74	629.01	48		Fixation
925022262	SMP	1	629.58	628.56	49		Fixation
925053966	SMP	1	628.98	631.01	50		Fixation
925088296	SMP	1	632.17	628.16	50		Fixation
925120323	SMP	1	631.72	628.64	51		Fixation
925153530	SMP	1	632.80	629.27	52		Fixation
925187476	SMP	1	631.10	630.50	53		Fixation
925220085	SMP	1	631.90	627.59	53		Fixation
925253342	SMP	1	633.79	630.54	54		Fixation
