## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Ahmad_2012_07_20_Greek.etg.data\Ahmad-526cbd78-0bea-4870-b63f-7d920bb1e2df\Ahmad-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	21115
## Reversed:	none
## [Run]
## Subject:	Ahmad
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
322798693	SMP	1	663.34	89.59	1		Saccade
322832036	SMP	1	665.56	94.68	2		Saccade
322866003	SMP	1	667.09	101.98	3		Saccade
322898725	SMP	1	666.87	98.83	4		Saccade
322932128	SMP	1	645.85	31.34	4		Fixation
322964606	SMP	1	645.27	31.92	5		Fixation
322998134	SMP	1	647.02	41.09	6		Fixation
323031294	SMP	1	647.09	40.65	7		Fixation
323064956	SMP	1	646.73	48.42	8		Saccade
323098498	SMP	1	645.21	55.84	8		Saccade
323131636	SMP	1	746.45	2.99	9		Saccade
323165894	SMP	1	803.36	-35.96	10		Fixation
323197221	SMP	1	802.54	-35.85	11		Fixation
323231353	SMP	1	800.63	-31.53	11		Fixation
323264290	SMP	1	798.38	-28.34	12		Fixation
323298072	SMP	1	797.53	-22.81	13		Fixation
323330521	SMP	1	796.45	-18.73	14		Fixation
323364450	SMP	1	795.10	-12.25	15		Fixation
323397592	SMP	1	794.99	-3.73	15		Fixation
323430656	SMP	1	795.00	-1.86	16		Fixation
323464308	SMP	1	794.22	3.69	17		Saccade
323497885	SMP	1	792.26	2.63	18		Saccade
323531065	SMP	1	782.89	78.92	18		Saccade
323564154	SMP	1	717.20	281.47	19		Saccade
323596928	SMP	1	698.86	400.04	21		Fixation
323630238	SMP	1	697.33	394.84	21		Fixation
323663783	SMP	1	697.07	393.67	22		Fixation
323697554	SMP	1	694.69	393.80	23		Fixation
323729364	SMP	1	692.41	397.17	24		Fixation
323763027	SMP	1	689.59	399.86	24		Saccade
323797926	SMP	1	686.74	399.80	25		Saccade
323830186	SMP	1	767.43	437.90	26		Saccade
323863183	SMP	1	868.27	457.12	27		Saccade
323897649	SMP	1	989.84	483.28	28		Fixation
323929720	SMP	1	986.32	480.06	28		Fixation
323962823	SMP	1	984.27	474.15	29		Fixation
323996454	SMP	1	981.73	469.17	30		Fixation
324031373	SMP	1	979.89	464.84	31		Fixation
324063079	SMP	1	977.33	461.84	31		Fixation
324096465	SMP	1	975.22	459.95	33		Saccade
324130950	SMP	1	971.20	457.68	33		Saccade
324162988	SMP	1	1022.01	449.94	34		Saccade
324195888	SMP	1	1124.07	436.09	35		Fixation
324229272	SMP	1	1125.20	436.36	35		Fixation
324262418	SMP	1	1120.29	430.44	36		Fixation
324295916	SMP	1	1116.51	427.29	37		Fixation
324329663	SMP	1	1110.15	433.15	38		Fixation
324362489	SMP	1	1102.71	419.96	38		Fixation
324395590	SMP	1	1095.14	417.47	39		Fixation
324428169	SMP	1	1088.75	413.63	40		Saccade
324463684	SMP	1	1050.65	409.43	41		Saccade
324496971	SMP	1	870.78	394.86	42		Fixation
324528360	SMP	1	867.21	393.15	43		Fixation
324561914	SMP	1	865.19	390.68	44		Fixation
324595658	SMP	1	863.69	391.48	45		Fixation
324629355	SMP	1	861.71	389.92	45		Fixation
324662271	SMP	1	859.33	387.32	46		Fixation
324695657	SMP	1	856.51	385.81	47		Fixation
324728608	SMP	1	854.14	383.26	47		Fixation
324761881	SMP	1	850.50	385.17	48		Fixation
324796058	SMP	1	848.75	382.96	49		Fixation
324829080	SMP	1	846.59	385.14	50		Fixation
324861746	SMP	1	846.01	384.69	51		Fixation
324895672	SMP	1	845.33	381.51	52		Fixation
324928522	SMP	1	845.06	381.69	52		Fixation
324961552	SMP	1	845.06	380.62	53		Saccade
324994999	SMP	1	830.30	403.74	53		Saccade
325027765	SMP	1	797.89	510.41	55		Fixation
325061524	SMP	1	791.74	528.70	55		Fixation
325094340	SMP	1	791.30	527.19	56		Fixation
325127880	SMP	1	792.11	528.70	57		Fixation
325161936	SMP	1	792.79	527.31	57		Fixation
325194832	SMP	1	793.71	528.10	58		Fixation
325226789	SMP	1	793.48	526.97	59		Saccade
325261282	SMP	1	794.74	529.14	60		Saccade
325295517	SMP	1	706.18	632.14	61		Saccade
325328395	SMP	1	611.77	709.27	62		Fixation
325361636	SMP	1	613.15	708.32	63		Fixation
325394315	SMP	1	610.49	706.78	63		Fixation
325427008	SMP	1	611.35	703.27	64		Fixation
325460096	SMP	1	610.90	709.06	65		Fixation
325495072	SMP	1	611.30	707.82	66		Fixation
325527103	SMP	1	610.62	702.65	67		Fixation
325560703	SMP	1	610.53	707.20	67		Fixation
325593236	SMP	1	612.79	704.63	68		Fixation
325626345	SMP	1	612.63	706.50	69		Fixation
325660534	SMP	1	608.09	713.38	70		Fixation
325694496	SMP	1	611.02	702.88	70		Fixation
325726184	SMP	1	611.05	704.41	71		Fixation
325760157	SMP	1	609.86	700.56	72		Fixation
325793038	SMP	1	611.47	703.27	73		Saccade
325826655	SMP	1	578.52	710.40	74		Saccade
325861968	SMP	1	487.15	717.80	75		Saccade
325893968	SMP	1	385.54	701.76	75		Fixation
325926325	SMP	1	384.11	700.74	76		Fixation
325959444	SMP	1	384.72	701.28	77		Fixation
325992850	SMP	1	384.06	700.43	78		Fixation
326027202	SMP	1	384.59	700.29	79		Fixation
326060066	SMP	1	386.11	699.15	79		Fixation
326092869	SMP	1	387.42	697.50	80		Fixation
326125735	SMP	1	386.55	697.50	81		Fixation
326159430	SMP	1	347.56	696.36	82		Fixation
326192453	SMP	1	350.05	695.13	83		Fixation
326225818	SMP	1	349.28	697.94	84		Fixation
326258859	SMP	1	352.78	693.58	84		Fixation
326292109	SMP	1	353.15	692.16	85		Fixation
326326100	SMP	1	351.60	692.07	86		Fixation
326358768	SMP	1	352.31	688.22	87		Fixation
326393176	SMP	1	353.02	690.07	87		Saccade
326425562	SMP	1	355.26	687.77	88		Saccade
326458280	SMP	1	457.02	677.68	89		Saccade
326493563	SMP	1	518.65	667.65	90		Saccade
326526214	SMP	1	589.02	673.49	91		Fixation
326557829	SMP	1	591.21	667.77	91		Fixation
326591443	SMP	1	591.33	668.33	92		Fixation
326625351	SMP	1	590.14	673.07	93		Fixation
326659332	SMP	1	594.21	671.19	94		Fixation
326694782	SMP	1	592.74	671.32	95		Fixation
326725058	SMP	1	593.76	673.41	95		Fixation
326758897	SMP	1	592.95	669.46	96		Fixation
326791590	SMP	1	596.26	668.53	97		Fixation
326825026	SMP	1	595.96	668.52	98		Fixation
326857948	SMP	1	597.76	666.50	98		Fixation
326891540	SMP	1	597.49	664.15	99		Fixation
326924542	SMP	1	596.54	665.08	100		Fixation
326957887	SMP	1	597.77	665.28	101		Fixation
326992435	SMP	1	596.48	664.51	102		Fixation
327024154	SMP	1	597.38	664.09	102		Fixation
327058320	SMP	1	596.84	664.96	103		Fixation
327090430	SMP	1	596.83	664.59	104		Fixation
