## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Alireza_2012_04_13_003.etg.data\Alireza-6f280ed6-c85c-4ae4-bc32-3a28f1bf7bee\Alireza-2-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	12558
## Reversed:	none
## [Run]
## Subject:	Alireza
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
200901042	SMP	1	323.96	911.31	0		Fixation
200967201	SMP	1	327.19	914.09	2		Fixation
201001207	SMP	1	322.97	926.77	3		Fixation
201033070	SMP	1	310.80	916.08	4		Fixation
201067254	SMP	1	305.24	916.04	4		Fixation
201100214	SMP	1	292.37	928.68	5		Fixation
201134646	SMP	1	272.20	938.76	6		Fixation
201166186	SMP	1	243.20	954.83	7		Saccade
201200885	SMP	1	269.33	921.65	8		Saccade
201233100	SMP	1	409.62	764.08	8		Saccade
201266851	SMP	1	521.04	611.70	9		Saccade
201299920	SMP	1	521.21	612.11	10		Saccade
201333066	SMP	1	605.53	525.58	11		Saccade
201365374	SMP	1	715.63	451.64	12		Saccade
201400019	SMP	1	810.23	430.89	12		Saccade
201433269	SMP	1	840.51	418.10	13		Saccade
201466319	SMP	1	830.08	412.04	14		Saccade
201499922	SMP	1	772.79	436.63	15		Saccade
201532035	SMP	1	711.42	459.31	15		Saccade
201566054	SMP	1	753.08	465.36	16		Saccade
201599613	SMP	1	832.33	416.13	17		Saccade
201632548	SMP	1	1010.71	347.36	17		Saccade
201665708	SMP	1	1054.51	323.81	19		Saccade
201698578	SMP	1	1223.86	289.81	19		Saccade
201731748	SMP	1	1194.03	307.31	20		Saccade
201765630	SMP	1	1129.36	316.02	21		Saccade
201800867	SMP	1	1070.42	321.97	22		Saccade
201831770	SMP	1	1011.00	332.83	23		Saccade
201865774	SMP	1	968.83	353.74	23		Saccade
201898727	SMP	1	1016.99	435.88	24		Saccade
201931525	SMP	1	1013.30	378.97	25		Saccade
201964690	SMP	1	1040.12	302.49	26		Fixation
201998945	SMP	1	1042.60	290.66	26		Fixation
202030619	SMP	1	1031.18	289.64	27		Fixation
202065521	SMP	1	1025.94	287.89	28		Fixation
202099179	SMP	1	1011.52	290.75	29		Fixation
202132228	SMP	1	1004.10	292.86	30		Fixation
202165386	SMP	1	992.08	295.27	31		Fixation
202198420	SMP	1	986.06	296.38	31		Fixation
202230890	SMP	1	975.90	295.95	32		Fixation
202264826	SMP	1	970.32	296.42	33		Fixation
202297570	SMP	1	963.88	297.18	34		Fixation
202330096	SMP	1	960.71	300.88	35		Fixation
202364390	SMP	1	953.79	310.46	35		Saccade
202397144	SMP	1	943.01	334.90	35		Saccade
202430056	SMP	1	892.98	332.86	37		Fixation
202465829	SMP	1	892.85	331.44	38		Fixation
202497785	SMP	1	856.12	342.55	39		Fixation
