## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Alireza_2012_04_15_003.etg.data\Alireza_2012_04_15_003-5fa57df2-a608-4ea9-99fc-3fa07811363d\Alireza_2012_04_15_003-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	13168
## Reversed:	none
## [Run]
## Subject:	Alireza_2012_04_15_003
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
175958204	SMP	1	959.64	357.05	1		Fixation
175992752	SMP	1	961.05	356.64	2		Fixation
176024583	SMP	1	960.40	351.43	3		Fixation
176058412	SMP	1	960.34	349.88	4		Fixation
176093382	SMP	1	958.36	349.78	5		Fixation
176125780	SMP	1	960.69	350.53	5		Fixation
176159138	SMP	1	961.36	351.51	6		Saccade
176190818	SMP	1	954.69	351.22	6		Saccade
176226580	SMP	1	868.52	362.47	8		Fixation
176260113	SMP	1	865.70	362.64	8		Fixation
176293130	SMP	1	867.66	363.20	9		Fixation
176325260	SMP	1	860.74	392.83	10		Fixation
176358832	SMP	1	860.45	392.73	11		Fixation
176392478	SMP	1	860.45	392.73	12		Saccade
176423739	SMP	1	860.45	392.73	12		Saccade
176457614	SMP	1	816.36	358.78	13		Fixation
176491151	SMP	1	819.61	360.44	14		Fixation
176524488	SMP	1	820.33	355.90	15		Fixation
176557726	SMP	1	820.96	352.55	16		Fixation
176590018	SMP	1	820.87	351.31	16		Fixation
176624706	SMP	1	823.09	351.90	17		Fixation
176657765	SMP	1	822.17	352.52	18		Fixation
176691939	SMP	1	817.89	380.43	19		Fixation
176723468	SMP	1	817.89	380.42	20		Saccade
