## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Carlos_2012_07_18_Turkey.etg.data\Carlos-8d6e4b70-9492-46ac-81a8-a74892b1f277\Carlos-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	12846
## Reversed:	none
## [Run]
## Subject:	Carlos
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
192484474	SMP	1	570.63	236.36	0		Fixation
192517903	SMP	1	566.69	237.14	1		Fixation
192553199	SMP	1	567.40	242.46	2		Fixation
192585111	SMP	1	564.74	242.25	2		Fixation
192617554	SMP	1	561.92	240.22	3		Fixation
192650946	SMP	1	553.10	237.72	4		Fixation
192684414	SMP	1	546.01	230.48	5		Fixation
192717881	SMP	1	543.56	225.64	6		Fixation
192750413	SMP	1	542.25	227.50	7		Fixation
192783721	SMP	1	540.17	228.56	7		Fixation
192817684	SMP	1	536.07	228.82	8		Fixation
192850629	SMP	1	534.54	222.60	9		Fixation
192883873	SMP	1	531.47	214.05	10		Fixation
192916148	SMP	1	527.19	213.19	10		Fixation
192951607	SMP	1	526.42	210.15	11		Fixation
192982846	SMP	1	526.89	215.02	12		Fixation
193016860	SMP	1	530.85	212.22	12		Fixation
193049324	SMP	1	531.09	210.90	13		Fixation
193083147	SMP	1	529.49	210.40	15		Fixation
193117268	SMP	1	536.05	203.88	15		Fixation
193149757	SMP	1	536.07	204.10	16		Fixation
193183504	SMP	1	534.49	204.93	17		Fixation
193218297	SMP	1	528.22	211.18	18		Fixation
193248951	SMP	1	542.05	202.36	19		Fixation
193283494	SMP	1	545.98	203.69	19		Fixation
193318077	SMP	1	542.32	202.50	20		Fixation
193350095	SMP	1	541.12	204.47	21		Fixation
193382551	SMP	1	538.60	206.57	22		Fixation
193416353	SMP	1	541.05	206.15	22		Fixation
193449108	SMP	1	539.80	206.58	23		Fixation
193483303	SMP	1	538.49	212.50	24		Fixation
193515421	SMP	1	538.25	212.23	25		Fixation
193549714	SMP	1	540.56	208.30	26		Fixation
193582178	SMP	1	539.96	205.13	27		Fixation
193614991	SMP	1	535.73	210.53	27		Fixation
193649393	SMP	1	532.80	207.62	28		Fixation
193682094	SMP	1	535.88	205.90	29		Fixation
193715593	SMP	1	534.33	206.12	30		Fixation
193748469	SMP	1	532.46	207.05	31		Fixation
193781954	SMP	1	531.92	207.30	31		Fixation
193816052	SMP	1	527.13	206.57	32		Fixation
193848412	SMP	1	530.74	209.96	32		Fixation
193881822	SMP	1	530.40	207.04	33		Fixation
193914983	SMP	1	533.07	206.98	34		Fixation
193948413	SMP	1	534.96	207.99	35		Fixation
193982145	SMP	1	537.73	209.67	36		Fixation
194015174	SMP	1	533.65	213.65	37		Fixation
194048899	SMP	1	538.02	211.12	38		Fixation
194080854	SMP	1	539.49	218.76	39		Fixation
194114582	SMP	1	541.02	211.51	39		Fixation
194148806	SMP	1	542.85	217.13	40		Fixation
194180792	SMP	1	544.72	214.68	41		Fixation
194214298	SMP	1	550.13	209.37	42		Fixation
194247812	SMP	1	549.98	215.59	42		Fixation
194280444	SMP	1	549.84	212.46	43		Fixation
194314576	SMP	1	548.67	215.24	44		Fixation
194348082	SMP	1	550.26	213.46	45		Fixation
194380781	SMP	1	550.12	214.38	46		Fixation
194415385	SMP	1	551.46	213.82	47		Fixation
194447970	SMP	1	549.88	219.31	47		Fixation
194481421	SMP	1	552.95	217.97	48		Fixation
194514212	SMP	1	554.48	218.90	49		Fixation
194548626	SMP	1	563.67	219.18	50		Fixation
194580110	SMP	1	563.83	217.54	50		Fixation
194613359	SMP	1	564.54	215.75	51		Fixation
194647694	SMP	1	565.04	216.89	52		Fixation
194680100	SMP	1	566.40	214.56	52		Fixation
194713158	SMP	1	565.67	214.16	53		Fixation
194747090	SMP	1	568.52	216.19	55		Fixation
194782443	SMP	1	566.94	217.12	55		Fixation
194813141	SMP	1	569.29	213.37	56		Fixation
194846880	SMP	1	571.16	219.18	57		Fixation
194881609	SMP	1	571.47	220.98	58		Fixation
194912911	SMP	1	572.06	221.59	58		Fixation
194946851	SMP	1	571.34	224.26	59		Fixation
194979968	SMP	1	574.87	226.36	60		Fixation
195014604	SMP	1	573.00	225.97	61		Fixation
195047612	SMP	1	572.09	229.87	62		Fixation
195080439	SMP	1	573.37	225.63	62		Fixation
195113348	SMP	1	576.77	222.61	63		Fixation
195146598	SMP	1	577.25	226.49	64		Fixation
195180310	SMP	1	577.74	227.34	65		Fixation
195212972	SMP	1	582.51	224.37	66		Fixation
195246204	SMP	1	581.76	226.76	66		Fixation
195278843	SMP	1	581.16	230.33	67		Fixation
195313521	SMP	1	580.24	227.59	68		Fixation
195345970	SMP	1	580.67	227.84	69		Fixation
195379611	SMP	1	581.41	230.36	69		Fixation
195412092	SMP	1	579.91	229.63	70		Fixation
195445459	SMP	1	580.22	231.95	71		Fixation
195479034	SMP	1	580.19	233.41	72		Fixation
195512301	SMP	1	580.89	230.71	72		Fixation
195546286	SMP	1	580.11	232.15	73		Fixation
195578966	SMP	1	581.16	232.33	74		Fixation
195614431	SMP	1	581.88	233.53	75		Fixation
195645572	SMP	1	584.73	234.56	76		Fixation
195681782	SMP	1	555.79	245.64	77		Fixation
195711277	SMP	1	554.52	245.52	78		Fixation
195745132	SMP	1	553.42	244.83	78		Fixation
195778151	SMP	1	552.95	245.84	79		Fixation
195812498	SMP	1	554.83	245.62	80		Fixation
195845339	SMP	1	556.13	247.59	81		Fixation
195877946	SMP	1	552.41	249.87	81		Fixation
195910920	SMP	1	556.53	252.91	82		Fixation
195945284	SMP	1	556.84	256.21	83		Fixation
195977824	SMP	1	557.91	260.89	84		Fixation
196011316	SMP	1	558.72	259.41	85		Fixation
196044768	SMP	1	560.89	258.16	86		Fixation
196079181	SMP	1	560.25	258.32	87		Fixation
196112120	SMP	1	561.42	256.88	87		Fixation
196145206	SMP	1	562.25	255.81	88		Fixation
196178455	SMP	1	563.92	256.95	89		Fixation
196210904	SMP	1	566.53	260.04	89		Fixation
196244717	SMP	1	567.52	263.49	90		Fixation
196277593	SMP	1	567.06	260.52	91		Fixation
196311490	SMP	1	570.35	264.50	92		Fixation
196344715	SMP	1	569.79	262.70	92		Fixation
196377037	SMP	1	570.65	263.93	93		Fixation
196410626	SMP	1	573.82	263.31	94		Fixation
196446309	SMP	1	576.51	266.15	95		Fixation
196477572	SMP	1	576.65	265.16	96		Fixation
196510689	SMP	1	578.04	264.84	97		Fixation
196543438	SMP	1	578.77	266.84	98		Fixation
196577448	SMP	1	579.90	263.92	98		Fixation
196610138	SMP	1	579.88	263.03	99		Fixation
196644123	SMP	1	580.75	266.15	100		Fixation
