## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Carlos_2012_06_29_Pizza.etg.data\Carlos-98395b92-b57c-4b7f-8bcf-d66d6808df0d\Carlos-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	19210
## Reversed:	none
## [Run]
## Subject:	Carlos
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
277660143	SMP	1	702.39	460.47	1		Saccade
277693456	SMP	1	513.38	645.17	2		Saccade
277725278	SMP	1	477.52	680.74	3		Fixation
277758506	SMP	1	441.10	673.24	4		Fixation
277791805	SMP	1	439.96	672.43	4		Fixation
277825399	SMP	1	433.12	676.12	5		Fixation
277858789	SMP	1	424.55	675.22	6		Fixation
277891032	SMP	1	413.39	671.36	6		Fixation
277924498	SMP	1	405.65	657.28	7		Fixation
277956932	SMP	1	406.80	635.53	8		Fixation
277991084	SMP	1	416.33	614.94	9		Saccade
278024014	SMP	1	429.12	604.32	10		Saccade
278058314	SMP	1	504.69	653.33	10		Fixation
278123342	SMP	1	520.95	659.84	12		Fixation
278156987	SMP	1	532.04	651.41	13		Fixation
278190761	SMP	1	543.52	646.19	14		Fixation
278223463	SMP	1	549.89	653.89	15		Fixation
278256885	SMP	1	560.10	661.15	15		Fixation
278290433	SMP	1	576.39	660.48	16		Fixation
278323294	SMP	1	579.51	666.37	17		Fixation
278358046	SMP	1	579.64	664.19	18		Fixation
278389768	SMP	1	591.38	659.80	19		Fixation
278423111	SMP	1	604.65	668.04	19		Fixation
278457657	SMP	1	605.36	677.64	20		Fixation
