## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Rahul_2012_07_18_Turkey.etg.data\Rahul-837e5b80-64d5-4b09-a49c-e1f276067c63\Rahul-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	9327
## Reversed:	none
## [Run]
## Subject:	Rahul
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
323520535	SMP	1	577.20	519.09	2		Fixation
323549845	SMP	1	560.17	515.75	2		Fixation
323582877	SMP	1	547.60	518.76	3		Fixation
323616010	SMP	1	536.84	523.64	4		Fixation
323649570	SMP	1	517.03	538.35	4		Fixation
323681967	SMP	1	490.28	559.08	5		Fixation
323714753	SMP	1	499.01	549.02	6		Fixation
323749225	SMP	1	514.71	534.69	7		Fixation
323782619	SMP	1	536.38	524.83	8		Fixation
323814540	SMP	1	561.82	517.57	9		Fixation
323850343	SMP	1	586.53	515.86	10		Fixation
323884241	SMP	1	608.52	517.96	11		Fixation
323915200	SMP	1	626.39	522.09	12		Fixation
323949868	SMP	1	637.85	528.62	12		Fixation
323982086	SMP	1	643.37	534.94	13		Fixation
324015554	SMP	1	643.72	540.72	14		Fixation
324048671	SMP	1	639.89	545.82	14		Fixation
324082612	SMP	1	634.01	547.86	15		Fixation
324114770	SMP	1	628.75	543.70	16		Fixation
324147275	SMP	1	626.60	528.88	17		Fixation
324180648	SMP	1	626.12	512.14	18		Fixation
324214903	SMP	1	626.94	495.60	18		Fixation
324248769	SMP	1	624.97	485.60	19		Fixation
324282988	SMP	1	627.31	481.54	20		Fixation
324314680	SMP	1	636.51	486.12	21		Fixation
