## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Rahul_2012_07_18_Burger.etg.data\Rahul-b04d40da-13d7-447d-9074-9f91d4835e71\Rahul-1-recording.idf
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	13522
## Reversed:	none
## [Run]
## Subject:	Rahul
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
348593678	SMP	1	108.33	615.10	0		Saccade
348626730	SMP	1	141.10	615.40	2		Saccade
348692874	SMP	1	201.27	596.02	4		Saccade
348726443	SMP	1	213.85	571.60	4		Saccade
348759680	SMP	1	253.88	582.00	5		Saccade
348792559	SMP	1	266.56	575.93	6		Saccade
348826129	SMP	1	240.63	612.53	7		Saccade
348859119	SMP	1	209.16	707.95	8		Fixation
348892091	SMP	1	239.25	698.21	8		Fixation
348926313	SMP	1	236.69	697.71	9		Fixation
348959793	SMP	1	219.72	705.74	9		Fixation
348991564	SMP	1	208.51	703.80	10		Fixation
349025815	SMP	1	189.66	702.23	11		Fixation
349058724	SMP	1	186.09	701.11	12		Fixation
349092887	SMP	1	179.76	698.65	13		Fixation
349125580	SMP	1	208.70	667.07	14		Saccade
349159906	SMP	1	186.48	684.32	15		Saccade
349192412	SMP	1	141.57	588.01	15		Saccade
349225507	SMP	1	130.89	595.13	16		Saccade
349258496	SMP	1	153.64	583.77	17		Saccade
349291947	SMP	1	186.98	550.84	18		Fixation
349324954	SMP	1	158.03	577.44	18		Fixation
349358553	SMP	1	158.82	574.41	19		Fixation
349390984	SMP	1	157.98	573.04	21		Fixation
349424904	SMP	1	159.42	560.21	21		Fixation
349457554	SMP	1	176.62	570.31	22		Fixation
349491263	SMP	1	191.16	528.85	23		Fixation
349524593	SMP	1	191.05	545.49	24		Fixation
349558198	SMP	1	199.71	541.61	24		Fixation
349591998	SMP	1	210.11	542.41	25		Fixation
349625048	SMP	1	225.75	567.14	26		Saccade
349657693	SMP	1	212.92	578.78	27		Saccade
349691266	SMP	1	119.06	603.31	27		Saccade
349725125	SMP	1	128.35	606.68	28		Saccade
349757546	SMP	1	179.58	581.95	29		Saccade
349790847	SMP	1	129.80	601.48	29		Fixation
349824184	SMP	1	162.53	597.16	30		Fixation
349858428	SMP	1	173.76	616.54	31		Fixation
349892673	SMP	1	195.47	614.15	32		Saccade
349924614	SMP	1	203.71	613.28	33		Saccade
349957632	SMP	1	327.58	602.87	34		Saccade
349993755	SMP	1	390.93	607.23	35		Fixation
350025174	SMP	1	404.71	598.73	35		Fixation
350057414	SMP	1	409.25	599.28	36		Fixation
350090275	SMP	1	416.84	593.81	37		Fixation
350124685	SMP	1	424.53	582.32	38		Fixation
350156468	SMP	1	427.10	605.68	39		Fixation
350190710	SMP	1	431.50	615.05	40		Fixation
350224130	SMP	1	435.56	621.97	40		Fixation
350256142	SMP	1	446.52	625.17	41		Fixation
350290773	SMP	1	443.95	637.51	42		Fixation
350322933	SMP	1	442.46	644.73	43		Saccade
350357664	SMP	1	433.36	657.83	44		Saccade
350390875	SMP	1	492.41	651.79	44		Saccade
350424141	SMP	1	614.23	577.93	45		Saccade
350457058	SMP	1	640.46	554.85	46		Saccade
350489593	SMP	1	650.67	511.44	47		Saccade
350523312	SMP	1	667.69	463.57	47		Fixation
350556455	SMP	1	637.57	467.66	48		Fixation
350589657	SMP	1	611.03	468.78	49		Fixation
350622227	SMP	1	584.72	451.89	49		Fixation
350656116	SMP	1	566.96	480.96	51		Fixation
350690711	SMP	1	550.55	489.75	51		Fixation
350722537	SMP	1	543.52	498.94	52		Fixation
350756019	SMP	1	531.94	516.66	53		Fixation
350790289	SMP	1	532.63	528.30	54		Fixation
350823855	SMP	1	540.15	540.34	55		Fixation
350855015	SMP	1	554.75	549.47	55		Fixation
350889001	SMP	1	559.17	558.03	56		Fixation
350923039	SMP	1	562.79	561.24	57		Fixation
350955534	SMP	1	563.41	563.52	58		Fixation
350990294	SMP	1	563.71	561.67	59		Fixation
351022830	SMP	1	561.74	555.50	59		Fixation
351055286	SMP	1	562.82	551.07	60		Fixation
351089353	SMP	1	567.75	546.89	61		Fixation
351122167	SMP	1	572.40	545.03	62		Fixation
351156362	SMP	1	573.90	540.60	63		Saccade
351188915	SMP	1	573.35	542.84	64		Saccade
351223068	SMP	1	485.83	550.23	64		Saccade
351254678	SMP	1	484.99	549.98	65		Saccade
351288210	SMP	1	315.39	605.40	66		Fixation
351321836	SMP	1	317.86	602.26	66		Fixation
351355300	SMP	1	318.34	599.53	67		Fixation
351388305	SMP	1	322.24	598.09	69		Fixation
351421643	SMP	1	327.98	597.95	69		Fixation
351454524	SMP	1	336.06	595.81	69		Saccade
351487610	SMP	1	317.80	593.79	70		Saccade
351520490	SMP	1	92.46	480.99	71		Fixation
351555393	SMP	1	75.88	498.93	72		Fixation
351588790	SMP	1	62.49	497.79	73		Fixation
351621898	SMP	1	80.32	492.05	74		Fixation
351655368	SMP	1	76.94	498.64	74		Fixation
351688002	SMP	1	70.77	496.98	75		Fixation
351721372	SMP	1	88.40	498.67	76		Fixation
351754694	SMP	1	83.77	507.05	77		Fixation
351790893	SMP	1	81.02	525.68	78		Fixation
351822397	SMP	1	105.73	531.04	78		Fixation
351853886	SMP	1	116.80	533.12	79		Fixation
351887277	SMP	1	121.05	528.96	80		Fixation
351920720	SMP	1	146.06	533.09	81		Fixation
351954021	SMP	1	163.83	522.15	82		Saccade
351986976	SMP	1	176.53	516.74	83		Saccade
352025708	SMP	1	198.37	640.89	83		Saccade
352054203	SMP	1	188.87	677.75	84		Saccade
352086639	SMP	1	257.23	710.80	85		Saccade
352127114	SMP	1	229.19	749.60	86		Saccade
352154491	SMP	1	305.67	723.78	87		Fixation
352187590	SMP	1	264.62	710.71	88		Fixation
352220488	SMP	1	290.73	714.78	88		Fixation
352254724	SMP	1	297.30	735.35	89		Saccade
352285834	SMP	1	311.17	716.00	89		Saccade
352320495	SMP	1	263.91	742.34	90		Saccade
352354471	SMP	1	254.92	734.84	91		Saccade
352386305	SMP	1	443.85	730.27	92		Saccade
352420476	SMP	1	542.62	743.81	93		Fixation
352452187	SMP	1	530.97	745.14	94		Fixation
352486732	SMP	1	510.87	760.08	94		Fixation
352519772	SMP	1	501.73	750.05	95		Fixation
352552659	SMP	1	486.34	752.30	96		Saccade
352586001	SMP	1	467.39	749.26	97		Saccade
352620326	SMP	1	590.26	660.64	98		Saccade
352651859	SMP	1	671.97	638.10	98		Saccade
352686257	SMP	1	705.39	646.95	99		Saccade
352719222	SMP	1	871.33	593.36	100		Saccade
352752253	SMP	1	952.39	607.83	101		Saccade
352786421	SMP	1	883.83	584.84	102		Saccade
352818256	SMP	1	828.37	581.24	102		Saccade
352851988	SMP	1	772.24	586.86	103		Saccade
352885971	SMP	1	728.86	610.20	104		Saccade
352919114	SMP	1	659.06	595.44	105		Saccade
352951537	SMP	1	750.74	590.23	106		Saccade
352985438	SMP	1	813.75	588.49	106		Saccade
353018529	SMP	1	827.63	593.22	107		Saccade
353051705	SMP	1	781.31	591.01	108		Saccade
353085764	SMP	1	725.56	591.24	109		Saccade
353118465	SMP	1	699.34	591.47	109		Saccade
353151615	SMP	1	628.63	592.99	110		Saccade
353185971	SMP	1	584.70	594.90	111		Saccade
353218939	SMP	1	544.49	595.46	112		Saccade
353254674	SMP	1	557.82	610.84	113		Saccade
353285032	SMP	1	640.21	637.69	114		Saccade
353318646	SMP	1	710.29	658.25	115		Fixation
353351845	SMP	1	678.42	655.99	115		Fixation
353384407	SMP	1	650.24	654.31	116		Fixation
353417383	SMP	1	626.42	640.61	117		Fixation
353450941	SMP	1	618.42	636.23	117		Fixation
353487079	SMP	1	583.54	645.66	118		Fixation
353517679	SMP	1	564.68	642.90	120		Fixation
353551706	SMP	1	543.66	645.95	120		Fixation
353584404	SMP	1	533.70	637.38	121		Fixation
353616832	SMP	1	523.81	643.35	121		Fixation
353651701	SMP	1	525.68	642.93	123		Fixation
353683943	SMP	1	526.99	641.86	123		Fixation
353717462	SMP	1	532.77	638.55	124		Saccade
353750740	SMP	1	543.06	641.38	125		Saccade
353783262	SMP	1	463.64	663.12	126		Saccade
353817256	SMP	1	385.68	687.74	126		Saccade
353850768	SMP	1	320.83	730.37	127		Saccade
353883750	SMP	1	180.61	770.97	128		Saccade
353916324	SMP	1	220.09	757.99	129		Saccade
353950767	SMP	1	285.36	731.53	129		Saccade
353983303	SMP	1	316.24	721.65	130		Saccade
354016878	SMP	1	373.89	697.52	131		Saccade
354052094	SMP	1	331.57	729.40	132		Saccade
354086404	SMP	1	180.28	757.70	133		Saccade
354118390	SMP	1	27.72	817.65	135		Saccade
354152529	SMP	1	90.57	787.68	135		Saccade
354187740	SMP	1	130.95	794.05	136		Saccade
354218729	SMP	1	186.90	790.05	137		Saccade
354252937	SMP	1	229.80	753.33	138		Saccade
354290696	SMP	1	284.98	763.39	138		Saccade
354321915	SMP	1	219.18	772.13	140		Saccade
354382938	SMP	1	315.05	769.19	140		Saccade
354415423	SMP	1	345.53	757.04	141		Saccade
354449255	SMP	1	392.05	750.24	141		Fixation
354482593	SMP	1	422.84	751.30	142		Fixation
354515212	SMP	1	455.06	742.09	143		Fixation
354548538	SMP	1	487.73	725.89	144		Fixation
354581872	SMP	1	514.93	735.30	144		Fixation
354615293	SMP	1	543.62	728.69	146		Fixation
354648656	SMP	1	572.81	720.77	146		Fixation
354681838	SMP	1	601.65	707.93	147		Saccade
354715101	SMP	1	601.55	707.96	148		Saccade
354748777	SMP	1	586.75	647.34	149		Saccade
354781590	SMP	1	381.54	798.22	149		Saccade
354814964	SMP	1	352.52	832.74	150		Fixation
354849638	SMP	1	370.36	841.13	151		Fixation
354881812	SMP	1	391.44	831.96	152		Fixation
354914774	SMP	1	395.78	822.01	152		Fixation
354947863	SMP	1	422.07	852.39	154		Fixation
354981678	SMP	1	449.39	820.68	154		Fixation
355014278	SMP	1	432.51	801.48	158		Fixation
355148856	SMP	1	446.48	835.36	160		Fixation
355184142	SMP	1	447.30	825.40	160		Fixation
355217900	SMP	1	429.26	852.93	160		Fixation
355248025	SMP	1	439.67	817.78	161		Fixation
355285564	SMP	1	441.57	809.20	162		Fixation
355314751	SMP	1	423.65	824.32	163		Fixation
355347870	SMP	1	417.98	827.32	163		Fixation
355381004	SMP	1	386.77	812.30	164		Fixation
355414346	SMP	1	386.84	838.38	165		Saccade
355447555	SMP	1	386.58	854.02	166		Saccade
355481161	SMP	1	404.17	812.97	166		Fixation
355513928	SMP	1	385.90	815.56	167		Fixation
355548495	SMP	1	385.25	807.90	168		Fixation
355580736	SMP	1	386.86	791.98	169		Fixation
355614051	SMP	1	370.78	786.66	169		Saccade
355646556	SMP	1	371.20	749.68	170		Saccade
355681896	SMP	1	324.69	802.50	172		Saccade
355715583	SMP	1	345.47	762.01	172		Saccade
355780862	SMP	1	399.43	665.23	173		Fixation
355813616	SMP	1	391.25	651.27	174		Fixation
355847843	SMP	1	364.39	661.45	175		Fixation
355881821	SMP	1	364.16	655.68	176		Fixation
355913885	SMP	1	355.05	654.52	177		Fixation
355947547	SMP	1	326.47	645.06	178		Fixation
355981084	SMP	1	304.98	640.07	178		Fixation
356013280	SMP	1	307.62	629.37	179		Fixation
356046029	SMP	1	292.31	654.53	180		Fixation
356079591	SMP	1	291.41	655.57	181		Fixation
356112911	SMP	1	307.76	638.46	182		Fixation
356146325	SMP	1	297.86	644.75	183		Fixation
356179524	SMP	1	317.91	659.60	183		Saccade
356212506	SMP	1	323.07	660.11	184		Saccade
356246043	SMP	1	279.28	623.05	185		Saccade
356278783	SMP	1	288.45	612.42	186		Saccade
356314146	SMP	1	268.04	541.39	186		Fixation
356345592	SMP	1	284.02	539.21	187		Fixation
356379521	SMP	1	286.27	530.23	188		Fixation
356412819	SMP	1	311.80	535.67	189		Fixation
356446506	SMP	1	340.46	528.24	189		Fixation
356479895	SMP	1	370.35	521.12	190		Saccade
356512902	SMP	1	385.75	539.10	191		Saccade
356546796	SMP	1	431.64	531.35	192		Saccade
356580570	SMP	1	221.63	456.05	193		Saccade
356613520	SMP	1	178.42	424.83	194		Saccade
356646874	SMP	1	146.11	356.20	194		Saccade
356679900	SMP	1	195.77	365.39	195		Saccade
356711861	SMP	1	223.45	369.63	196		Saccade
356745200	SMP	1	302.26	399.71	197		Fixation
356778607	SMP	1	294.19	402.19	197		Fixation
356811861	SMP	1	306.68	404.11	198		Fixation
356844936	SMP	1	313.95	401.54	199		Fixation
356879026	SMP	1	314.39	397.80	200		Fixation
356912751	SMP	1	333.54	400.90	201		Fixation
356944365	SMP	1	348.67	386.09	201		Fixation
356979047	SMP	1	358.76	379.79	202		Fixation
357012881	SMP	1	347.35	376.03	203		Fixation
357045238	SMP	1	357.84	364.28	204		Fixation
357079385	SMP	1	325.63	384.14	205		Saccade
357110679	SMP	1	327.16	386.03	206		Saccade
357145014	SMP	1	279.47	392.08	206		Saccade
357178599	SMP	1	279.17	393.30	207		Saccade
357211232	SMP	1	268.54	464.74	208		Saccade
357245466	SMP	1	274.92	463.56	209		Saccade
357277808	SMP	1	182.75	443.22	209		Saccade
357310927	SMP	1	127.68	383.85	209		Saccade
357343550	SMP	1	138.47	380.56	211		Saccade
357379123	SMP	1	138.65	381.68	212		Saccade
357411201	SMP	1	132.17	424.96	212		Saccade
357446198	SMP	1	1.94	369.42	213		Saccade
357477955	SMP	1	261.20	457.54	214		Saccade
357511397	SMP	1	28.29	345.42	215		Saccade
357544744	SMP	1	26.54	335.30	216		Saccade
357577271	SMP	1	33.15	336.12	217		Saccade
357610416	SMP	1	92.98	339.07	217		Saccade
357644641	SMP	1	91.69	339.72	218		Saccade
357676498	SMP	1	109.65	324.30	219		Saccade
357710884	SMP	1	307.03	453.07	220		Saccade
357743843	SMP	1	307.46	451.98	221		Saccade
357776657	SMP	1	-158.43	278.42	222		Saccade
357811001	SMP	1	-157.84	281.27	222		Saccade
357844038	SMP	1	-85.90	333.42	223		Saccade
357877011	SMP	1	178.15	350.23	224		Saccade
357910040	SMP	1	183.11	357.51	224		Saccade
357942656	SMP	1	0.54	402.61	226		Saccade
357976650	SMP	1	235.65	380.68	226		Saccade
358010075	SMP	1	-150.39	363.81	227		Saccade
358044159	SMP	1	-157.62	367.29	228		Saccade
358076828	SMP	1	-93.51	373.52	229		Saccade
358110792	SMP	1	-108.92	358.14	229		Saccade
358142864	SMP	1	-45.74	374.61	229		Saccade
358176097	SMP	1	-81.14	443.21	230		Saccade
358210259	SMP	1	124.98	423.51	232		Saccade
358242192	SMP	1	312.74	445.68	233		Saccade
358276089	SMP	1	484.01	437.97	233		Fixation
358310489	SMP	1	471.22	414.07	234		Fixation
358343017	SMP	1	441.09	425.94	235		Fixation
358376746	SMP	1	422.74	418.43	236		Fixation
358408559	SMP	1	403.72	431.90	237		Saccade
358443589	SMP	1	386.66	415.13	237		Saccade
358476452	SMP	1	555.08	345.36	238		Saccade
358510586	SMP	1	568.63	395.81	239		Saccade
358542750	SMP	1	536.83	400.12	240		Saccade
358575793	SMP	1	479.94	413.19	241		Saccade
358608879	SMP	1	409.55	423.77	242		Saccade
358641971	SMP	1	375.05	426.41	242		Saccade
358675065	SMP	1	585.29	434.75	243		Saccade
358708021	SMP	1	664.05	474.31	244		Saccade
358742057	SMP	1	723.91	486.90	245		Saccade
358775409	SMP	1	793.31	523.58	245		Saccade
358808661	SMP	1	708.50	559.47	246		Saccade
358841735	SMP	1	622.37	564.03	247		Saccade
358875724	SMP	1	546.89	590.24	248		Saccade
358907996	SMP	1	553.31	601.53	249		Saccade
358942251	SMP	1	660.15	622.02	249		Saccade
358974729	SMP	1	745.94	639.77	250		Saccade
359008511	SMP	1	668.02	634.30	251		Saccade
359041346	SMP	1	616.14	629.12	251		Saccade
359075600	SMP	1	583.01	634.13	252		Saccade
359108924	SMP	1	535.57	630.11	253		Saccade
359141192	SMP	1	499.04	646.46	254		Saccade
359174890	SMP	1	521.20	625.54	255		Saccade
359210419	SMP	1	624.39	616.84	256		Saccade
359241796	SMP	1	696.30	638.62	256		Fixation
359274771	SMP	1	673.96	629.74	257		Fixation
359307597	SMP	1	639.34	637.67	258		Fixation
359340935	SMP	1	607.51	642.32	259		Saccade
359374119	SMP	1	574.76	649.02	260		Saccade
359408262	SMP	1	622.66	651.84	260		Saccade
359441224	SMP	1	678.41	655.10	261		Saccade
359474773	SMP	1	780.54	651.49	262		Fixation
359507756	SMP	1	740.22	653.04	263		Fixation
359541150	SMP	1	710.08	652.01	264		Fixation
359573682	SMP	1	686.01	656.47	265		Fixation
359606990	SMP	1	659.09	636.82	265		Saccade
359640133	SMP	1	636.11	653.55	266		Saccade
359673649	SMP	1	687.79	671.91	267		Saccade
359706599	SMP	1	817.86	699.26	268		Fixation
359740185	SMP	1	794.01	713.96	269		Fixation
359773857	SMP	1	766.72	712.08	269		Fixation
359807382	SMP	1	760.64	692.43	270		Fixation
359840066	SMP	1	739.34	718.54	270		Fixation
359873120	SMP	1	728.06	709.46	271		Saccade
359906737	SMP	1	717.42	686.55	272		Saccade
359941045	SMP	1	597.42	645.02	273		Saccade
359972995	SMP	1	529.65	619.82	274		Fixation
360006538	SMP	1	538.04	617.38	275		Fixation
360041353	SMP	1	540.81	616.18	276		Fixation
360072348	SMP	1	545.10	614.42	277		Fixation
360106579	SMP	1	539.25	610.26	277		Fixation
360139353	SMP	1	533.62	611.23	278		Fixation
360173333	SMP	1	535.70	606.69	279		Fixation
360205926	SMP	1	531.89	605.17	280		Saccade
360240090	SMP	1	497.59	605.60	280		Saccade
360272492	SMP	1	410.17	616.12	282		Fixation
360305833	SMP	1	416.84	638.71	282		Fixation
360338989	SMP	1	417.88	637.99	283		Fixation
360373467	SMP	1	421.88	625.34	284		Fixation
360406677	SMP	1	421.94	634.49	285		Fixation
360438821	SMP	1	416.87	634.49	285		Fixation
360471659	SMP	1	420.53	634.81	286		Fixation
360504853	SMP	1	417.26	638.63	287		Fixation
360539684	SMP	1	402.94	656.42	288		Fixation
360571483	SMP	1	415.31	619.39	288		Fixation
360605571	SMP	1	410.71	635.90	289		Fixation
360638459	SMP	1	399.84	643.78	289		Saccade
360671470	SMP	1	392.32	630.36	290		Saccade
360705018	SMP	1	452.45	620.18	292		Saccade
360740559	SMP	1	558.51	598.10	293		Fixation
360775206	SMP	1	549.05	588.79	294		Fixation
360805094	SMP	1	542.73	594.31	295		Fixation
360840013	SMP	1	531.45	589.17	295		Fixation
360875122	SMP	1	523.64	582.69	296		Fixation
360938529	SMP	1	509.29	563.66	297		Fixation
360971502	SMP	1	497.34	552.81	298		Fixation
361004808	SMP	1	490.13	550.83	299		Fixation
361037936	SMP	1	483.15	547.74	300		Fixation
361071421	SMP	1	472.54	543.73	301		Saccade
361104276	SMP	1	497.27	555.94	301		Saccade
