## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Shaghayegh_2012_07_05_Pizza_2.etg.data\Anonymous-0034d80f-dce4-47f2-b6ec-fc9a0c52a6cf\Anonymous-1-recording.idf
## Date:	05.07.2012 20:21:08
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	11994
## Reversed:	none
## [Run]
## Subject:	Anonymous
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
201848004	SMP	1	1105.27	980.20	0		Saccade
201881361	SMP	1	1109.08	1193.87	2		Saccade
201947489	SMP	1	1104.69	991.08	3		Saccade
201980071	SMP	1	1541.73	825.02	4		Saccade
202014083	SMP	1	1161.11	776.54	5		Saccade
202048215	SMP	1	782.66	668.24	5		Fixation
202079321	SMP	1	758.04	655.70	6		Fixation
202113117	SMP	1	759.48	653.91	7		Fixation
202145791	SMP	1	762.05	657.89	8		Fixation
202180246	SMP	1	763.24	660.41	9		Fixation
202212867	SMP	1	766.37	662.28	10		Saccade
202246491	SMP	1	767.35	660.35	10		Saccade
202280745	SMP	1	732.75	554.22	11		Fixation
202313765	SMP	1	724.20	511.98	11		Fixation
202345507	SMP	1	724.48	510.80	12		Fixation
202378938	SMP	1	723.20	509.90	14		Fixation
202412629	SMP	1	721.71	510.81	15		Fixation
202446571	SMP	1	722.55	512.99	15		Saccade
202479435	SMP	1	705.21	504.93	16		Saccade
202512528	SMP	1	663.62	473.48	17		Fixation
202546345	SMP	1	667.09	473.63	17		Fixation
202579342	SMP	1	668.93	473.18	18		Fixation
202611908	SMP	1	674.10	473.88	19		Fixation
202648013	SMP	1	676.77	474.60	20		Saccade
202680613	SMP	1	678.23	475.45	20		Saccade
202712770	SMP	1	680.85	406.72	21		Saccade
202746908	SMP	1	679.81	409.39	22		Saccade
202778409	SMP	1	603.90	1454.95	23		Saccade
202812902	SMP	1	-801.32	1181.94	24		Saccade
202847065	SMP	1	-800.19	1185.08	24		Saccade
202879544	SMP	1	-800.15	1188.58	26		Saccade
202912064	SMP	1	-804.46	1194.35	26		Saccade
202946310	SMP	1	689.48	300.77	27		Fixation
202977671	SMP	1	687.54	284.39	27		Fixation
203011696	SMP	1	684.64	289.73	29		Fixation
203045417	SMP	1	681.57	291.74	29		Fixation
203079098	SMP	1	678.58	295.95	30		Fixation
203111451	SMP	1	673.84	300.52	31		Saccade
203145109	SMP	1	670.29	314.64	32		Saccade
203178082	SMP	1	657.19	469.40	32		Saccade
203212625	SMP	1	677.91	656.63	33		Fixation
203244646	SMP	1	673.52	693.51	34		Fixation
203278552	SMP	1	671.35	690.24	35		Fixation
203310985	SMP	1	669.87	684.02	36		Fixation
203345187	SMP	1	669.89	681.96	37		Saccade
203377510	SMP	1	661.76	691.95	37		Saccade
203411967	SMP	1	627.52	757.77	37		Fixation
203443626	SMP	1	628.47	756.70	39		Fixation
203478511	SMP	1	629.08	754.36	40		Fixation
203511005	SMP	1	631.42	747.91	40		Fixation
203547519	SMP	1	632.98	747.72	42		Fixation
203581201	SMP	1	633.42	740.20	42		Saccade
203611926	SMP	1	635.09	736.99	43		Saccade
203644234	SMP	1	516.65	734.30	44		Saccade
203679241	SMP	1	399.78	709.93	45		Fixation
203709967	SMP	1	401.57	708.92	46		Fixation
203744682	SMP	1	410.14	704.94	46		Fixation
203777056	SMP	1	412.04	702.78	47		Fixation
203810269	SMP	1	411.15	702.95	48		Fixation
203842999	SMP	1	411.99	699.46	49		Fixation
203877092	SMP	1	410.74	697.62	49		Fixation
203911048	SMP	1	406.31	691.49	50		Fixation
203944244	SMP	1	408.03	693.30	51		Fixation
203976649	SMP	1	407.29	692.25	52		Fixation
204010998	SMP	1	400.89	688.09	52		Fixation
204042996	SMP	1	409.40	689.97	53		Fixation
204076462	SMP	1	418.53	685.84	54		Fixation
204109364	SMP	1	422.12	682.21	55		Fixation
204143349	SMP	1	429.76	675.90	56		Fixation
204175647	SMP	1	429.35	674.10	57		Fixation
204210108	SMP	1	430.00	666.71	57		Fixation
204243228	SMP	1	434.51	664.92	57		Fixation
204275410	SMP	1	437.49	662.76	59		Fixation
204310308	SMP	1	433.36	658.76	60		Fixation
204343400	SMP	1	438.01	664.79	61		Fixation
204378120	SMP	1	440.60	667.84	61		Saccade
204411486	SMP	1	448.78	673.87	62		Saccade
204442528	SMP	1	580.54	1509.66	63		Saccade
204476383	SMP	1	529.42	1584.89	64		Saccade
204509042	SMP	1	529.78	1583.26	65		Saccade
204542934	SMP	1	212.05	1440.31	65		Saccade
204575499	SMP	1	708.71	610.08	66		Fixation
204608459	SMP	1	711.74	611.17	67		Fixation
204644132	SMP	1	714.75	601.62	68		Fixation
204675099	SMP	1	715.07	598.03	69		Fixation
204709889	SMP	1	716.74	600.72	69		Fixation
204742151	SMP	1	717.04	600.12	70		Fixation
204775166	SMP	1	715.32	600.08	71		Fixation
204808727	SMP	1	714.87	599.81	72		Fixation
204841773	SMP	1	713.27	599.72	73		Fixation
204875177	SMP	1	712.08	601.36	73		Saccade
204908068	SMP	1	712.37	593.34	74		Saccade
204941567	SMP	1	787.44	408.29	75		Saccade
204976055	SMP	1	768.78	333.93	75		Fixation
205008435	SMP	1	769.35	333.18	76		Fixation
205042045	SMP	1	768.72	332.10	77		Fixation
205076653	SMP	1	768.70	334.82	77		Fixation
205108540	SMP	1	766.13	336.77	79		Saccade
205141081	SMP	1	755.89	341.67	79		Saccade
205174762	SMP	1	702.45	384.72	80		Fixation
205210031	SMP	1	701.01	379.66	81		Fixation
205243250	SMP	1	702.42	381.74	82		Fixation
205273607	SMP	1	703.11	379.73	83		Saccade
205308177	SMP	1	702.10	379.18	83		Saccade
205340994	SMP	1	671.38	448.25	84		Saccade
205374193	SMP	1	625.75	640.23	85		Fixation
205407627	SMP	1	621.04	650.00	86		Fixation
205440439	SMP	1	622.16	645.71	87		Fixation
205475219	SMP	1	622.48	641.40	88		Fixation
205508389	SMP	1	621.91	637.71	89		Fixation
205541454	SMP	1	622.66	633.64	90		Fixation
205574734	SMP	1	622.78	631.19	90		Fixation
205608786	SMP	1	622.69	628.76	91		Fixation
205640435	SMP	1	622.47	627.26	92		Fixation
205673984	SMP	1	622.81	624.57	92		Saccade
205707337	SMP	1	612.72	647.97	93		Saccade
205741413	SMP	1	584.97	722.89	94		Fixation
205774089	SMP	1	589.43	721.52	95		Fixation
205808048	SMP	1	588.81	719.44	96		Fixation
205841213	SMP	1	588.07	718.82	96		Fixation
205874256	SMP	1	586.82	720.04	97		Fixation
205906429	SMP	1	588.23	718.77	98		Fixation
205940258	SMP	1	589.19	719.76	99		Fixation
205972866	SMP	1	588.28	717.33	100		Fixation
