## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Yin_2012_04_13.etg.data\Yin-2012_04_13_001-2314bbdd-30c8-47fe-8bf4-ce6d396d67a9\Yin-2012_04_13_001-1-recording.idf
## Date:	13.04.2012 15:20:03
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	22820
## Reversed:	none
## [Run]
## Subject:	Yin-2012_04_13_001
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
251048546	SMP	1	590.09	561.54	1		Fixation
251082818	SMP	1	589.86	561.79	1		Fixation
251116365	SMP	1	591.47	560.54	2		Fixation
251148018	SMP	1	591.23	560.42	3		Saccade
251181302	SMP	1	591.09	560.08	4		Saccade
251215238	SMP	1	634.83	611.28	5		Fixation
251249294	SMP	1	639.69	613.11	5		Fixation
251281802	SMP	1	641.20	614.24	5		Fixation
251314415	SMP	1	644.44	604.91	7		Fixation
251347958	SMP	1	644.11	604.68	8		Fixation
251382409	SMP	1	644.99	605.05	9		Fixation
251415321	SMP	1	646.17	602.26	9		Fixation
251447614	SMP	1	646.40	605.23	10		Fixation
251481729	SMP	1	646.30	605.57	11		Fixation
251515510	SMP	1	646.80	606.54	12		Fixation
251547730	SMP	1	648.08	612.29	12		Fixation
251580936	SMP	1	656.90	634.67	14		Fixation
251615425	SMP	1	657.84	634.36	14		Fixation
251647682	SMP	1	657.67	636.52	15		Fixation
251681943	SMP	1	655.66	644.43	16		Fixation
251714451	SMP	1	657.69	635.53	17		Fixation
251748246	SMP	1	656.57	635.36	18		Saccade
251783051	SMP	1	656.74	635.08	18		Saccade
251847458	SMP	1	532.84	554.15	20		Saccade
251880910	SMP	1	506.74	510.63	21		Fixation
251914152	SMP	1	507.90	500.86	21		Fixation
251948705	SMP	1	506.35	512.01	22		Fixation
251980176	SMP	1	507.79	498.58	23		Fixation
252014108	SMP	1	508.07	498.67	23		Fixation
252046782	SMP	1	483.23	485.12	24		Fixation
252083034	SMP	1	485.42	485.18	25		Fixation
252113270	SMP	1	485.09	481.58	25		Fixation
252146316	SMP	1	484.51	480.00	26		Fixation
252180266	SMP	1	484.22	477.19	28		Fixation
252214063	SMP	1	485.52	476.25	29		Fixation
252248576	SMP	1	486.93	477.60	30		Fixation
252281532	SMP	1	488.93	477.00	31		Fixation
252313433	SMP	1	490.68	477.44	31		Fixation
252347922	SMP	1	493.02	477.52	32		Fixation
252379841	SMP	1	493.85	477.75	33		Fixation
252412938	SMP	1	496.86	479.08	33		Fixation
252449441	SMP	1	499.22	479.64	34		Fixation
252481937	SMP	1	502.09	480.82	35		Fixation
252513898	SMP	1	503.92	481.83	36		Fixation
252546355	SMP	1	506.50	482.71	37		Fixation
252582054	SMP	1	508.32	485.38	37		Fixation
252613495	SMP	1	508.27	484.93	38		Fixation
252645956	SMP	1	510.39	486.57	39		Fixation
252680026	SMP	1	512.59	487.72	40		Fixation
252714070	SMP	1	514.24	486.65	41		Fixation
252745935	SMP	1	515.16	488.89	41		Fixation
252780099	SMP	1	516.99	489.00	42		Fixation
252812564	SMP	1	517.09	488.58	43		Saccade
252845604	SMP	1	517.97	489.27	44		Saccade
252878894	SMP	1	501.62	573.24	44		Fixation
252913125	SMP	1	505.51	577.13	45		Fixation
252945127	SMP	1	505.80	577.17	45		Fixation
252978091	SMP	1	506.36	575.21	46		Fixation
253011986	SMP	1	506.88	575.16	48		Fixation
253048060	SMP	1	507.48	572.85	48		Fixation
253080057	SMP	1	508.86	575.49	49		Fixation
253112492	SMP	1	508.70	573.90	50		Fixation
253146052	SMP	1	507.59	575.42	51		Fixation
253178780	SMP	1	510.37	563.79	52		Fixation
253211917	SMP	1	508.13	573.74	52		Fixation
253245090	SMP	1	507.69	574.60	53		Fixation
253278765	SMP	1	506.63	574.63	54		Fixation
253314038	SMP	1	502.65	553.61	55		Fixation
253345136	SMP	1	502.32	552.95	56		Fixation
253378141	SMP	1	498.37	562.86	56		Fixation
253413208	SMP	1	496.47	566.37	57		Fixation
253445104	SMP	1	493.53	569.80	58		Fixation
253478555	SMP	1	494.17	563.54	59		Fixation
253511786	SMP	1	490.89	569.02	60		Fixation
253544343	SMP	1	488.66	589.76	61		Fixation
253578462	SMP	1	486.94	588.59	62		Fixation
253612702	SMP	1	485.14	584.56	62		Saccade
253644837	SMP	1	477.92	590.01	63		Saccade
253677233	SMP	1	520.83	620.56	64		Saccade
253710664	SMP	1	576.29	670.78	64		Fixation
253744831	SMP	1	575.14	682.71	65		Fixation
253777333	SMP	1	579.39	671.36	65		Fixation
253810102	SMP	1	579.55	669.00	66		Fixation
253844069	SMP	1	578.95	657.46	68		Fixation
253877224	SMP	1	579.33	658.02	68		Fixation
253910426	SMP	1	582.47	669.10	69		Fixation
253943819	SMP	1	583.29	667.48	70		Fixation
253980119	SMP	1	584.73	673.83	71		Fixation
254010218	SMP	1	586.50	674.13	72		Saccade
254043434	SMP	1	565.60	681.60	72		Saccade
254077114	SMP	1	474.05	694.22	73		Fixation
254110882	SMP	1	479.12	706.71	74		Fixation
254144444	SMP	1	478.79	710.19	75		Fixation
254177050	SMP	1	484.19	719.54	75		Fixation
254211115	SMP	1	489.15	727.76	76		Fixation
254244593	SMP	1	497.67	727.87	77		Fixation
254277090	SMP	1	506.68	728.38	78		Fixation
254310067	SMP	1	513.27	727.40	79		Fixation
254343592	SMP	1	519.13	728.03	80		Fixation
254377439	SMP	1	521.94	725.41	80		Saccade
254411345	SMP	1	519.49	721.70	81		Saccade
254443563	SMP	1	578.79	690.52	82		Fixation
254476064	SMP	1	595.03	677.29	83		Fixation
254509602	SMP	1	592.45	672.20	84		Fixation
254542546	SMP	1	589.74	670.17	84		Fixation
254576699	SMP	1	586.20	668.78	85		Fixation
254611213	SMP	1	585.42	668.72	85		Fixation
254641904	SMP	1	585.11	667.35	86		Fixation
254676735	SMP	1	585.01	667.18	87		Fixation
254711090	SMP	1	586.11	669.16	88		Fixation
254742071	SMP	1	586.69	669.38	89		Fixation
254778419	SMP	1	584.39	685.23	90		Fixation
254810480	SMP	1	580.05	710.94	91		Fixation
254843492	SMP	1	578.15	716.60	92		Fixation
254876637	SMP	1	579.38	710.46	92		Fixation
254911036	SMP	1	578.56	716.47	93		Fixation
254942092	SMP	1	581.28	709.74	94		Fixation
254976878	SMP	1	581.31	709.40	95		Fixation
255007967	SMP	1	581.55	710.85	96		Fixation
255041359	SMP	1	581.52	709.20	96		Saccade
255075267	SMP	1	581.55	710.93	97		Saccade
255109029	SMP	1	522.88	703.13	98		Fixation
255142683	SMP	1	492.59	696.49	99		Fixation
255174839	SMP	1	489.29	693.52	100		Fixation
255209487	SMP	1	488.51	694.07	100		Fixation
255242135	SMP	1	487.25	693.54	101		Fixation
255274985	SMP	1	486.68	693.82	102		Fixation
255308102	SMP	1	486.66	698.08	103		Fixation
255340872	SMP	1	484.11	691.79	104		Fixation
255374214	SMP	1	484.52	691.67	104		Fixation
255408340	SMP	1	484.75	691.83	105		Fixation
255443103	SMP	1	481.78	689.48	105		Fixation
255473772	SMP	1	484.50	694.58	106		Fixation
255508566	SMP	1	483.21	694.82	107		Fixation
255543442	SMP	1	481.97	688.91	108		Fixation
255575032	SMP	1	481.95	687.02	109		Fixation
255607707	SMP	1	481.89	687.63	110		Fixation
255640891	SMP	1	482.48	687.35	111		Fixation
255673824	SMP	1	482.32	686.56	112		Fixation
255707964	SMP	1	482.71	686.88	112		Fixation
255741710	SMP	1	483.35	687.31	113		Fixation
255773710	SMP	1	483.45	684.22	114		Fixation
255808836	SMP	1	485.32	683.56	115		Fixation
255840147	SMP	1	487.12	682.65	116		Fixation
255873714	SMP	1	488.09	680.89	116		Fixation
255906920	SMP	1	482.45	687.46	117		Fixation
255941103	SMP	1	504.45	697.79	118		Fixation
255974508	SMP	1	547.60	699.33	119		Fixation
256006697	SMP	1	547.80	718.10	119		Fixation
256040183	SMP	1	547.94	717.73	120		Fixation
256073922	SMP	1	548.88	717.67	121		Fixation
256107680	SMP	1	551.06	711.35	122		Fixation
256139783	SMP	1	550.94	711.11	123		Fixation
256173770	SMP	1	551.17	708.90	123		Fixation
256207744	SMP	1	551.72	707.39	124		Fixation
256240877	SMP	1	553.10	706.15	125		Fixation
256274836	SMP	1	554.86	704.22	125		Fixation
256305588	SMP	1	553.39	708.26	126		Saccade
256339540	SMP	1	554.47	706.06	127		Saccade
256373050	SMP	1	528.32	665.10	128		Fixation
256407708	SMP	1	528.87	663.03	129		Fixation
256441137	SMP	1	530.81	658.62	130		Fixation
256472998	SMP	1	534.57	640.39	131		Fixation
256507409	SMP	1	541.49	639.41	131		Fixation
256540577	SMP	1	546.65	634.56	132		Fixation
256573364	SMP	1	550.50	637.74	133		Fixation
256606940	SMP	1	554.35	633.20	134		Fixation
256638969	SMP	1	559.44	629.21	135		Fixation
256672305	SMP	1	563.94	617.74	135		Fixation
256706207	SMP	1	543.97	640.32	136		Fixation
256740804	SMP	1	547.75	634.35	137		Fixation
256771911	SMP	1	550.58	632.01	138		Fixation
256804633	SMP	1	553.90	625.65	139		Fixation
256838033	SMP	1	556.62	622.15	139		Fixation
256872311	SMP	1	556.72	618.84	140		Fixation
256904699	SMP	1	561.62	602.64	141		Fixation
256938798	SMP	1	561.83	600.91	142		Fixation
256971001	SMP	1	569.11	596.94	143		Fixation
257006060	SMP	1	571.77	594.69	143		Fixation
257038222	SMP	1	570.86	601.64	144		Fixation
257074011	SMP	1	567.57	601.76	145		Fixation
257105870	SMP	1	555.49	591.16	145		Fixation
257137641	SMP	1	556.14	588.77	146		Fixation
257171953	SMP	1	556.61	589.47	147		Fixation
257204363	SMP	1	553.21	590.98	148		Fixation
257238396	SMP	1	558.86	591.02	149		Fixation
257271512	SMP	1	556.29	592.66	150		Fixation
257306405	SMP	1	554.36	595.66	150		Fixation
257338781	SMP	1	551.24	599.19	151		Fixation
257371318	SMP	1	550.40	615.71	152		Fixation
257404412	SMP	1	552.59	608.28	153		Fixation
257437767	SMP	1	551.94	610.37	154		Saccade
257471618	SMP	1	547.46	625.35	155		Saccade
257504705	SMP	1	523.79	701.64	155		Fixation
257538120	SMP	1	521.94	736.11	156		Fixation
257572562	SMP	1	519.41	738.87	157		Fixation
257604729	SMP	1	518.37	739.96	158		Fixation
257637661	SMP	1	516.21	740.86	159		Fixation
257670365	SMP	1	514.14	755.03	160		Fixation
257703398	SMP	1	517.18	749.98	161		Fixation
257739623	SMP	1	514.92	748.55	161		Fixation
257771567	SMP	1	512.48	747.89	162		Fixation
257803961	SMP	1	514.64	747.65	162		Fixation
257837034	SMP	1	513.70	747.86	163		Fixation
257869731	SMP	1	513.98	746.20	164		Fixation
257903197	SMP	1	514.84	752.25	165		Fixation
257938890	SMP	1	513.87	746.72	165		Fixation
257969477	SMP	1	514.44	744.45	166		Fixation
258003360	SMP	1	514.50	745.61	167		Saccade
258036698	SMP	1	513.45	743.55	168		Saccade
258071835	SMP	1	511.25	694.61	169		Fixation
258102602	SMP	1	511.17	694.25	170		Fixation
258137249	SMP	1	512.16	704.71	170		Fixation
258169557	SMP	1	510.34	692.34	171		Fixation
258202510	SMP	1	511.83	679.17	173		Fixation
258236579	SMP	1	509.76	707.06	173		Fixation
258269792	SMP	1	510.57	706.51	174		Fixation
258304414	SMP	1	540.04	708.35	175		Fixation
258335548	SMP	1	582.51	710.63	175		Fixation
258369800	SMP	1	583.26	715.45	176		Fixation
258404872	SMP	1	583.69	705.26	177		Fixation
258437275	SMP	1	583.50	713.43	178		Fixation
258469874	SMP	1	583.79	702.86	179		Fixation
258503706	SMP	1	584.30	699.50	179		Fixation
258536042	SMP	1	582.56	701.55	180		Fixation
258568730	SMP	1	581.11	701.92	181		Fixation
258604514	SMP	1	588.71	699.32	182		Fixation
258635449	SMP	1	605.66	662.13	182		Fixation
258668290	SMP	1	606.16	660.74	183		Fixation
258701468	SMP	1	608.39	664.31	184		Fixation
258734937	SMP	1	606.72	658.60	185		Fixation
258769435	SMP	1	607.56	652.45	185		Fixation
258801483	SMP	1	605.78	655.54	185		Fixation
258834720	SMP	1	601.71	666.11	187		Fixation
258867926	SMP	1	598.08	681.14	188		Fixation
258902035	SMP	1	604.97	674.79	189		Fixation
258934539	SMP	1	604.71	695.62	190		Saccade
258969399	SMP	1	606.37	704.67	190		Saccade
259001096	SMP	1	649.26	656.69	191		Saccade
259034680	SMP	1	662.12	578.24	192		Fixation
259068213	SMP	1	655.47	564.03	193		Fixation
259100893	SMP	1	652.42	552.26	194		Fixation
259134534	SMP	1	647.92	543.64	194		Fixation
259167419	SMP	1	645.41	544.06	195		Saccade
259200790	SMP	1	643.05	544.71	196		Saccade
259234102	SMP	1	576.49	652.87	197		Fixation
259267612	SMP	1	560.55	691.20	198		Fixation
259300400	SMP	1	560.16	686.12	199		Fixation
259335991	SMP	1	558.06	686.17	200		Fixation
259369664	SMP	1	555.50	686.28	201		Fixation
259404003	SMP	1	553.28	689.29	202		Fixation
259434194	SMP	1	552.06	690.60	203		Saccade
259500629	SMP	1	546.87	695.99	205		Saccade
259535459	SMP	1	516.74	741.31	205		Fixation
259575026	SMP	1	519.86	749.35	205		Fixation
259602203	SMP	1	518.35	752.69	206		Fixation
259633707	SMP	1	519.50	746.65	207		Fixation
259677688	SMP	1	518.41	746.42	207		Fixation
259700312	SMP	1	517.65	751.25	208		Fixation
259733838	SMP	1	520.54	743.94	209		Fixation
259766818	SMP	1	521.58	742.68	210		Fixation
259801341	SMP	1	523.61	733.23	211		Fixation
259834968	SMP	1	526.53	740.35	212		Fixation
259868844	SMP	1	528.11	750.75	213		Fixation
259903948	SMP	1	529.02	751.02	214		Saccade
259935120	SMP	1	523.86	750.39	214		Saccade
259968728	SMP	1	421.14	733.18	215		Fixation
260004070	SMP	1	415.95	734.58	216		Fixation
260033021	SMP	1	415.45	742.81	216		Fixation
260067167	SMP	1	413.75	744.93	217		Fixation
260099941	SMP	1	412.56	745.06	217		Fixation
260132939	SMP	1	415.75	742.62	219		Fixation
260166283	SMP	1	416.34	740.09	219		Fixation
260200088	SMP	1	416.88	740.26	221		Fixation
260233401	SMP	1	418.54	737.37	221		Fixation
260267861	SMP	1	418.48	738.66	222		Fixation
