## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Yin_2012_04_15_005.etg.data\Yin_2012_04_15_005-55bf75dc-afb8-4d43-8506-d160073980bb\Yin_2012_04_15_005-1-recording.idf
## Date:	01.01.2001 00:48:07
## Version:	BeGaze 3.1.77
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	0
## Uses Plane File:	False
## Number of Samples:	19555
## Reversed:	none
## [Run]
## Subject:	Yin_2012_04_15_005
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, POR, FRAMECOUNTER
##
Time	Type	Trial	L POR X [px]	L POR Y [px]	Frame	Aux1	L Event Info
139188270	SMP	1	926.37	498.06	1		Fixation
139223058	SMP	1	932.05	493.24	1		Fixation
139260740	SMP	1	935.60	497.45	1		Fixation
139321414	SMP	1	944.82	503.90	3		Fixation
139353904	SMP	1	949.57	505.30	4		Saccade
139387590	SMP	1	954.00	507.14	5		Saccade
139421011	SMP	1	915.73	535.44	6		Saccade
139453409	SMP	1	914.99	539.08	7		Saccade
139489607	SMP	1	922.81	570.98	7		Saccade
139522780	SMP	1	922.81	570.98	8		-
139555542	SMP	1	741.20	506.48	9		Saccade
139587805	SMP	1	573.88	458.22	10		Fixation
139621161	SMP	1	578.74	455.94	11		Fixation
139653072	SMP	1	582.90	453.62	11		Fixation
139686791	SMP	1	585.99	453.91	12		Fixation
139720883	SMP	1	588.97	452.83	13		Fixation
139753928	SMP	1	590.67	450.57	14		Fixation
139786930	SMP	1	592.69	448.81	15		Fixation
139821008	SMP	1	593.73	447.29	16		Fixation
139853689	SMP	1	595.50	444.84	16		Fixation
139886545	SMP	1	598.55	444.99	17		Fixation
139920427	SMP	1	599.79	443.80	18		Fixation
139952892	SMP	1	603.98	439.91	19		Fixation
139986571	SMP	1	632.31	417.34	19		Fixation
140019977	SMP	1	658.06	386.93	20		Fixation
140054313	SMP	1	660.55	379.41	21		Fixation
140087271	SMP	1	663.02	376.36	21		Fixation
140118950	SMP	1	664.59	373.79	22		Fixation
140152849	SMP	1	665.74	372.99	23		Fixation
140186930	SMP	1	667.74	371.76	24		Fixation
140223060	SMP	1	667.63	371.42	25		Fixation
140256615	SMP	1	670.13	371.06	26		Fixation
140285945	SMP	1	675.46	371.03	27		Fixation
140319228	SMP	1	683.60	361.94	27		Fixation
140352600	SMP	1	685.22	360.29	28		Fixation
140386810	SMP	1	689.48	360.07	29		Fixation
140418577	SMP	1	692.20	358.84	30		Fixation
140453642	SMP	1	694.70	358.89	31		Fixation
140484881	SMP	1	697.66	357.75	31		Fixation
140519026	SMP	1	700.40	381.31	32		Saccade
140552028	SMP	1	700.53	381.91	33		Saccade
140585346	SMP	1	776.21	633.71	34		Saccade
140619682	SMP	1	420.52	1101.08	35		Saccade
140652520	SMP	1	-739.33	1493.94	35		Blink
140686992	SMP	1	-757.16	1509.67	36		Blink
140719980	SMP	1	672.54	1305.75	37		Blink
140754722	SMP	1	1164.18	1710.68	38		Blink
140785007	SMP	1	793.07	1397.36	39		Saccade
140819310	SMP	1	800.68	1311.61	39		Saccade
140851795	SMP	1	476.90	724.47	41		Fixation
140884875	SMP	1	485.53	699.62	41		Fixation
140918536	SMP	1	496.86	697.39	41		Fixation
140950781	SMP	1	508.60	693.93	42		Fixation
140984913	SMP	1	518.96	693.71	43		Fixation
141019242	SMP	1	527.95	693.19	44		Saccade
141051249	SMP	1	527.53	691.55	45		Saccade
141084182	SMP	1	500.10	646.77	46		Fixation
141118118	SMP	1	501.69	656.35	47		Fixation
141151031	SMP	1	506.39	655.88	47		Fixation
141184472	SMP	1	507.74	653.67	48		Fixation
141217675	SMP	1	510.48	655.66	49		Fixation
141250811	SMP	1	512.21	658.33	50		Fixation
141283977	SMP	1	514.43	659.64	50		Fixation
141317409	SMP	1	515.49	661.99	52		Fixation
141350608	SMP	1	517.55	662.20	52		Fixation
141383406	SMP	1	518.95	664.37	53		Fixation
141416512	SMP	1	519.56	660.66	53		Fixation
141450334	SMP	1	520.26	663.18	55		Fixation
141483565	SMP	1	520.17	664.51	55		Fixation
141516798	SMP	1	520.76	671.54	56		Saccade
141549699	SMP	1	521.65	670.06	57		Saccade
141584629	SMP	1	311.64	791.17	58		Saccade
141618941	SMP	1	-135.25	941.51	58		Saccade
141650070	SMP	1	-139.99	946.76	59		Saccade
141683325	SMP	1	-193.13	943.06	60		Saccade
141716900	SMP	1	-43.29	928.36	61		Saccade
141749425	SMP	1	145.04	717.34	61		Saccade
141782603	SMP	1	339.80	516.49	62		Fixation
141816983	SMP	1	345.33	523.89	63		Fixation
141849206	SMP	1	353.00	524.59	64		Fixation
141882483	SMP	1	359.63	528.15	65		Fixation
141915789	SMP	1	363.99	529.73	66		Fixation
141949162	SMP	1	371.21	538.70	66		Saccade
141983449	SMP	1	374.75	540.18	66		Saccade
142019275	SMP	1	353.04	496.23	68		Fixation
142052081	SMP	1	362.17	500.87	68		Fixation
142088028	SMP	1	374.44	503.23	70		Fixation
142118144	SMP	1	385.46	506.87	71		Fixation
142155932	SMP	1	395.86	509.34	72		Fixation
142216378	SMP	1	412.88	518.71	73		Fixation
142249933	SMP	1	424.56	526.88	74		Fixation
142285283	SMP	1	419.09	544.65	75		Fixation
142316549	SMP	1	427.88	551.17	75		Fixation
