## [BeGaze]
## Converted from:	D:\AwareHomeGazeStudy\p09-r2-[1bca1b72-8db4-4ee3-b1dd-6b529d904edc]\p09-r2-2-recording.idf
## Date:	20.10.2015 16:28:13
## Version:	BeGaze 3.4.46
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Stimulus:	p09-r2-2-recording.avi
## Number of Samples:	21002
## Reversed:	none
## [Run]
## Subject:	p09-r2-2-recording
## Description:	Run001
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, POR, AOI, EYEPOSITION, GAZEVECTOR, FRAMECOUNTER
##
Time	Type	Trial	L Pupil Diameter [mm]	R Pupil Diameter [mm]	B POR X [px]	B POR Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	B AOI Hit	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1	B Event Info
2222920418	SMP	1	3.60	3.60	295.12	679.71	249.69	660.20	354.56	615.82	-	31.63	-3.69	-23.59	-31.14	-2.65	-25.23	0.26	-0.24	0.93	0.31	-0.25	0.92	00:00:00:00		Fixation
2222953229	SMP	1	3.62	3.62	294.22	678.42	248.67	658.92	353.59	614.59	-	31.63	-3.69	-23.59	-31.14	-2.65	-25.23	0.26	-0.24	0.94	0.31	-0.25	0.92	00:00:00:01		Fixation
2222986704	SMP	1	3.66	3.64	293.26	676.95	247.46	656.50	352.69	614.08	-	31.63	-3.69	-23.59	-31.14	-2.65	-25.23	0.26	-0.24	0.94	0.31	-0.25	0.92	00:00:00:02		Fixation
2223020406	SMP	1	3.64	3.62	292.02	680.28	246.54	659.54	350.79	617.56	-	31.63	-3.69	-23.59	-31.14	-2.65	-25.23	0.26	-0.24	0.93	0.31	-0.25	0.92	00:00:00:03		Fixation
2223053748	SMP	1	3.68	3.62	291.76	680.16	245.05	659.30	351.68	617.68	-	31.63	-3.69	-23.59	-31.14	-2.65	-25.23	0.26	-0.24	0.93	0.31	-0.25	0.92	00:00:00:04		Fixation
2223087016	SMP	1	3.66	3.64	290.52	681.54	244.57	662.22	349.39	617.53	-	31.63	-3.69	-23.59	-31.14	-2.65	-25.23	0.26	-0.24	0.93	0.31	-0.25	0.92	00:00:00:04		Fixation
2223119826	SMP	1	3.66	3.64	290.94	680.41	245.64	660.29	349.29	617.11	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.24	0.93	0.31	-0.25	0.92	00:00:00:06		Fixation
2223153905	SMP	1	3.62	3.60	290.73	679.42	243.93	660.59	350.53	615.12	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.27	-0.24	0.93	0.31	-0.25	0.92	00:00:00:06		Fixation
2223186192	SMP	1	3.62	3.62	292.27	673.60	245.42	655.19	352.57	609.11	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.24	0.94	0.31	-0.25	0.92	00:00:00:07		Saccade
2223219437	SMP	1	3.64	3.60	298.16	666.93	254.23	645.87	357.04	604.70	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.23	0.94	0.30	-0.24	0.92	00:00:00:08		Saccade
2223252794	SMP	1	3.62	3.60	300.77	663.60	254.69	645.12	362.42	599.30	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.23	0.94	0.30	-0.24	0.92	00:00:00:09		Saccade
2223287010	SMP	1	3.60	3.56	284.55	682.17	238.60	662.58	342.07	618.48	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.27	-0.24	0.93	0.31	-0.25	0.91	00:00:00:10		Fixation
2223319531	SMP	1	3.64	3.62	280.29	690.12	237.78	669.61	333.32	626.72	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.27	-0.25	0.93	0.32	-0.26	0.91	00:00:00:10		Fixation
2223353205	SMP	1	3.60	3.62	285.03	677.91	241.19	657.48	340.65	614.91	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.27	-0.24	0.93	0.32	-0.25	0.92	00:00:00:11		Fixation
2223385797	SMP	1	3.64	3.62	289.37	666.96	246.54	645.74	345.18	604.90	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.23	0.94	0.31	-0.24	0.92	00:00:00:12		Fixation
2223419428	SMP	1	3.62	3.62	291.91	659.02	247.70	639.42	349.82	595.82	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.22	0.94	0.31	-0.24	0.92	00:00:00:13		Fixation
2223453543	SMP	1	3.64	3.64	294.42	649.57	251.16	627.40	352.12	588.89	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.21	0.94	0.31	-0.23	0.92	00:00:00:13		Fixation
2223486251	SMP	1	3.62	3.66	295.22	643.24	250.12	624.03	355.04	580.22	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.21	0.94	0.31	-0.22	0.93	00:00:00:14		Fixation
2223518930	SMP	1	3.62	3.62	290.32	638.66	244.77	617.83	349.59	577.38	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.27	-0.21	0.94	0.31	-0.22	0.92	00:00:00:15		Saccade
2223552868	SMP	1	3.72	3.72	291.68	627.33	248.78	607.94	348.85	564.77	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.20	0.94	0.31	-0.21	0.93	00:00:00:16		Saccade
2223585481	SMP	1	3.74	3.74	291.61	618.20	248.43	597.91	349.23	556.74	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.19	0.95	0.31	-0.20	0.93	00:00:00:17		Saccade
2223619585	SMP	1	3.76	3.68	290.69	610.98	248.14	589.30	347.62	550.94	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.18	0.95	0.31	-0.20	0.93	00:00:00:18		Saccade
2223652611	SMP	1	3.80	3.80	292.69	599.03	249.26	579.21	351.17	537.62	-	31.63	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.18	0.95	0.31	-0.19	0.93	00:00:00:18		Saccade
2223685536	SMP	1	3.78	3.82	294.14	590.98	250.36	570.43	353.46	530.45	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.17	0.95	0.31	-0.18	0.93	00:00:00:19		Saccade
2223718859	SMP	1	3.82	3.82	297.10	582.53	254.53	562.16	356.05	521.87	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.16	0.95	0.31	-0.17	0.94	00:00:00:20		Fixation
2223752212	SMP	1	3.84	3.86	299.05	578.01	256.03	559.32	358.98	515.92	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.16	0.95	0.31	-0.17	0.94	00:00:00:20		Fixation
2223785176	SMP	1	3.86	3.84	300.98	577.26	259.94	557.13	359.41	516.31	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.16	0.95	0.31	-0.17	0.94	00:00:00:21		Fixation
2223818784	SMP	1	3.88	3.90	302.35	572.68	260.92	555.32	361.54	509.26	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.16	0.95	0.30	-0.16	0.94	00:00:00:22		Fixation
2223852389	SMP	1	3.86	3.92	302.88	573.62	261.71	557.34	361.93	509.17	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.23	0.26	-0.16	0.95	0.30	-0.16	0.94	00:00:00:23		Fixation
2223885915	SMP	1	3.90	3.90	305.28	571.96	264.06	554.77	364.94	508.35	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.22	0.25	-0.16	0.95	0.30	-0.16	0.94	00:00:01:00		Fixation
2223918561	SMP	1	3.90	3.88	307.20	570.66	266.37	552.89	366.93	507.55	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.22	0.25	-0.16	0.95	0.30	-0.16	0.94	00:00:01:00		Fixation
2223951938	SMP	1	3.86	3.84	308.89	568.70	268.08	551.09	369.04	505.47	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.22	0.25	-0.15	0.96	0.30	-0.16	0.94	00:00:01:02		Fixation
2223984925	SMP	1	3.82	3.86	310.52	564.45	269.33	548.41	371.47	499.86	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.22	0.25	-0.15	0.96	0.30	-0.16	0.94	00:00:01:02		Fixation
2224018253	SMP	1	3.86	3.90	314.08	557.50	275.78	542.21	373.13	492.03	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.22	0.25	-0.15	0.96	0.30	-0.15	0.94	00:00:01:03		Fixation
2224051282	SMP	1	3.80	3.88	315.94	553.15	276.01	539.08	377.10	486.75	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.22	0.25	-0.15	0.96	0.29	-0.14	0.94	00:00:01:04		Fixation
2224084652	SMP	1	3.82	3.84	318.35	550.59	281.09	533.85	377.47	486.44	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.22	0.24	-0.14	0.96	0.29	-0.14	0.94	00:00:01:05		Fixation
2224118279	SMP	1	3.82	3.84	322.00	545.94	285.02	529.30	381.74	481.70	-	31.62	-3.69	-23.59	-31.15	-2.65	-25.22	0.24	-0.14	0.96	0.29	-0.14	0.95	00:00:01:06		Saccade
2224151737	SMP	1	3.80	3.82	341.15	534.75	304.87	518.65	404.70	469.90	-	31.62	-3.69	-23.59	-31.15	-2.64	-25.22	0.23	-0.13	0.97	0.28	-0.13	0.95	00:00:01:06		Saccade
2224184740	SMP	1	3.78	3.82	342.43	533.32	306.64	515.77	405.83	469.78	-	31.62	-3.69	-23.59	-31.15	-2.64	-25.22	0.22	-0.13	0.97	0.27	-0.13	0.95	00:00:01:07		Fixation
